material_id,formula,K_VRH,G_VRH
mp-10037,AlCo3C,234.00000000000006,116.00000000000003
mp-10055,Co2B4Mo,302.99999999999983,179.00000000000006
mp-1007730,HfAl3,105.00000000000004,50.999999999999986
mp-1008224,CrCo2Si,203.00000000000003,91.00000000000001
mp-1008625,W2C,302.99999999999983,159.99999999999991
mp-1008752,CeTe,9.0,20.000000000000004
mp-10159,K3Sb,13.999999999999998,7.0
mp-1018031,KInO2,50.999999999999986,39.99999999999999
mp-1018042,UBi,75.00000000000001,20.000000000000004
mp-1018082,CrCo2Sb,171.99999999999991,79.99999999999999
mp-1018699,EuZnGe,47.00000000000001,37.0
mp-10564,SrN2,59.00000000000001,35.0
mp-10749,SrCuSb,47.99999999999999,34.0
mp-11157,SmMgGa,55.00000000000001,42.99999999999999
mp-11481,MoIr,309.99999999999994,174.00000000000009
mp-11534,Np,170.99999999999991,111.00000000000004
mp-11576,YbTl,33.0,20.000000000000004
mp-11693,TePt,47.99999999999999,21.0
mp-11752,Lu7(NiTe)2,61.000000000000014,34.0
mp-11836,ErSbPd,90.00000000000003,45.00000000000001
mp-12058,Er(PRu)2,158.0,100.0
mp-12110,TaRu,264.0000000000001,64.99999999999999
mp-1232,Mo3Pt,266.00000000000006,84.99999999999999
mp-12444,SrCuSF,75.00000000000001,38.99999999999999
mp-12550,AlCuPt2,195.99999999999994,82.0
mp-12599,PrTl,50.999999999999986,16.0
mp-1261,EuZn,37.0,22.999999999999996
mp-13121,CeGe3Rh,96.0,37.0
mp-13164,Ti2Pd,141.99999999999994,62.0
mp-1342,BaO,68.00000000000001,37.99999999999999
mp-13474,LiErGe,60.0,48.99999999999999
mp-13503,ScZn2,81.0,47.99999999999999
mp-13920,Ba(ZnSn)2,44.0,22.999999999999996
mp-1399,AlAu,103.99999999999997,30.999999999999996
mp-140,Ga,48.99999999999999,6.0
mp-1471,Zr3Al,101.00000000000001,55.00000000000001
mp-1490,AlAu4,126.99999999999999,16.0
mp-15051,Nd(PdO2)2,146.99999999999997,49.99999999999999
mp-15053,Y(PdO2)2,154.0,58.00000000000001
mp-1513,Co9S8,130.00000000000006,63.999999999999986
mp-1543,Ge2Pt,115.00000000000003,52.00000000000001
mp-1550,AlP,84.99999999999999,47.00000000000001
mp-15695,YAsPt,109.99999999999997,46.0
mp-16648,LiSn4Rh,63.999999999999986,39.99999999999999
mp-16733,Sc2GaC,85.99999999999999,50.999999999999986
mp-16764,RbYTe2,27.000000000000004,16.0
mp-1688,ErAs,78.99999999999999,54.000000000000014
mp-171,VNi3,212.99999999999994,101.00000000000001
mp-1852,UF5,15.000000000000004,11.000000000000002
mp-18759,Mn3O4,126.99999999999999,47.00000000000001
mp-1911,CeSn3,60.0,30.999999999999996
mp-19241,BaNiO3,83.00000000000001,23.999999999999993
mp-19252,K2NiO2,29.0,15.000000000000004
mp-1935,BaMg2,21.999999999999996,12.999999999999998
mp-1938,Al2O3,231.00000000000009,144.99999999999997
mp-19391,NaVO2,114.00000000000003,49.99999999999999
mp-1953,TiAl,115.00000000000003,70.00000000000001
mp-19940,VAs,140.00000000000006,85.99999999999999
mp-1995,PrC2,92.00000000000001,29.0
mp-20238,Th(FeGe)2,126.00000000000001,72.00000000000001
mp-20310,LiInSe2,29.999999999999996,13.999999999999998
mp-20401,HfCuSi2,135.0,86.99999999999999
mp-20601,NdPb3,47.00000000000001,7.999999999999999
mp-20618,Y2Co3Si5,140.00000000000006,61.000000000000014
mp-20674,Ba2YCu3O7,109.00000000000004,55.00000000000001
mp-2078,TiCu,130.00000000000006,62.0
mp-20887,VSn2,98.0,52.00000000000001
mp-20897,Ba4Y2Cu6O13,93.99999999999997,47.00000000000001
mp-21090,MnNiGe,131.00000000000006,60.0
mp-2130,LuNi2,109.00000000000004,44.0
mp-21340,HfGePt,177.00000000000009,78.99999999999999
mp-21385,In3Ni2,92.00000000000001,46.0
mp-215,YSb,46.0,29.0
mp-22266,GdB6,170.99999999999991,91.00000000000001
mp-22289,Mn2CoGe,183.99999999999997,83.99999999999999
mp-2254,Al2O3,201.00000000000009,102.99999999999996
mp-22747,Pb(CO2)2,20.000000000000004,11.000000000000002
mp-22922,AgCl,42.99999999999999,7.0
mp-22939,BiClO,26.0,17.999999999999996
mp-230,SbO2,96.0,55.00000000000001
mp-23037,CsPbCl3,21.0,9.0
mp-2311,NbO,242.99999999999997,140.00000000000006
mp-23219,CuBr2,7.0,4.0
mp-23313,InBi,33.0,16.0
mp-23846,KHF2,26.0,12.999999999999998
mp-24093,CuH,108.00000000000004,33.0
mp-24095,PrH2,77.0,38.99999999999999
mp-24152,HoH2,88.00000000000001,42.99999999999999
mp-2619,FeSb,93.99999999999997,54.000000000000014
mp-2663,Nb3Pt,207.00000000000003,79.99999999999999
mp-2677,ScPd3,154.99999999999997,52.00000000000001
mp-2697,SrO2,70.99999999999999,37.99999999999999
mp-27418,KAuO2,39.99999999999999,16.0
mp-2748,CeAs,61.000000000000014,42.99999999999999
mp-27691,K2PtBr6,10.0,6.0
mp-2782,ZnP2,68.00000000000001,42.00000000000001
mp-28336,Li3P7,23.999999999999993,12.000000000000002
mp-28376,CuAuF5,28.0,12.000000000000002
mp-2857,ScN,200.00000000000003,156.0
mp-29752,NiGePt2,195.99999999999994,59.00000000000001
mp-30206,CsClO4,12.999999999999998,5.000000000000001
mp-3035,Ce(FeSi)2,144.00000000000003,76.0
mp-30364,BaAu5,76.0,13.999999999999998
mp-30403,Li2PbAu,58.00000000000001,40.99999999999999
mp-30494,ScCd3,61.000000000000014,27.000000000000004
mp-30497,TbCd2,56.00000000000001,32.00000000000001
mp-30506,CeHg2,56.00000000000001,29.0
mp-3053,DyAlNi,100.0,33.0
mp-30815,LaAl3Pd2,117.00000000000001,48.99999999999999
mp-30819,LiAl2Pt,126.99999999999999,54.000000000000014
mp-3097,Tb(SiRh)2,156.99999999999994,90.00000000000003
mp-3155,Sc3FeC4,178.00000000000003,119.99999999999996
mp-3216,Li2ZrN2,132.00000000000006,112.99999999999994
mp-333,HfFe2,161.99999999999994,82.0
mp-3359,Ba2SnO4,96.0,52.00000000000001
mp-33708,Mn(FeO2)2,161.99999999999994,63.0
mp-3433,YMgNi4,123.00000000000003,56.00000000000001
mp-3470,MgSiO3,96.0,67.0
mp-3536,MgAl2O4,179.99999999999997,96.0
mp-36508,SnHgF6,3.0,12.999999999999998
mp-3689,NdCo4B,150.00000000000003,63.999999999999986
mp-37091,Sr(AlTe2)2,22.999999999999996,13.999999999999998
mp-3710,HoBRh3,182.99999999999991,84.99999999999999
mp-38725,NaBH4,18.999999999999996,10.0
mp-3927,CaAsAu,57.00000000000001,26.0
mp-399,Te2Pt,48.99999999999999,28.0
mp-4008,ZnGeAs2,61.000000000000014,37.0
mp-4180,Ca2SiO4,96.0,47.99999999999999
mp-4192,Ca3AsN,60.0,45.00000000000001
mp-429,ZnNi,146.00000000000003,63.0
mp-4342,KNbO3,102.99999999999996,40.99999999999999
mp-4366,Na2PtC2,52.00000000000001,23.999999999999993
mp-4481,Ca2SiO4,90.00000000000003,48.99999999999999
mp-4636,ScCuO2,135.0,46.0
mp-4652,MnRh2Pb,107.00000000000001,47.00000000000001
mp-4771,TiAlCu2,134.00000000000003,62.0
mp-4992,ScCrC2,209.0000000000001,133.0
mp-505110,FeCuO2,144.00000000000003,49.99999999999999
mp-505540,TiAsRh,178.00000000000003,76.0
mp-5076,SrZrO3,144.00000000000003,86.99999999999999
mp-510404,GdSe,90.00000000000003,37.0
mp-510430,Li13In3,22.999999999999996,17.0
mp-5112,Pr(CoSi)2,118.00000000000003,84.99999999999999
mp-5122,Na3AlP2,28.0,16.0
mp-5396,MnCo2Sb,150.00000000000003,73.0
mp-5400,Th(CrSi)2,146.00000000000003,39.99999999999999
mp-542429,Mg3Rh,66.00000000000001,27.000000000000004
mp-542583,EuTe,33.0,22.999999999999996
mp-546546,SiO2,83.00000000000001,37.99999999999999
mp-546633,KClO4,46.0,7.999999999999999
mp-5501,Tl(CoS)2,56.00000000000001,23.999999999999993
mp-551918,AlBiO3,127.99999999999999,70.99999999999999
mp-554352,Ba2CuF6,58.00000000000001,23.999999999999993
mp-554601,RbCuF3,63.999999999999986,29.999999999999996
mp-554769,MoSBr,56.00000000000001,29.0
mp-556194,SrSbSe2F,44.0,16.0
mp-5566,KCuF3,57.00000000000001,25.000000000000007
mp-556961,SiO2,25.000000000000007,30.999999999999996
mp-558518,K(NiS)2,29.999999999999996,21.0
mp-558781,ScTaO4,177.00000000000009,72.00000000000001
mp-559,YPd3,126.00000000000001,56.00000000000001
mp-559998,Cs(OsO3)2,133.0,83.00000000000001
