compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,agl_gruneisen,agl_thermal_conductivity_300K,agl_debye,agl_heat_capacity_Cv_300K,ael_bulk_modulus_vrh,ael_shear_modulus_vrh,natoms,density
He8Ne4,aflow:0c36787efc568915,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/He2Ne1_ICSD_659143,194,hP12,0.00210114,0.0423603,62.8615,35.9206,3.77037,1.1662,12,1.01028
Al1Co2Ti1,aflow:7fd9c09131def966,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1Co2Ti1_ICSD_185966,225,cF16,0.436803,213.507,480.001,10.5929,105.533,76.2483,4,5.76491
Co2Ge1Zn1,aflow:6be08f2a9d7b1505,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co2Ge1Zn1_ICSD_52994,225,cF16,0.597264,10.6235,181.003,11.7862,73.8333,13.0602,4,7.5727
Cr1N1,aflow:f9fa918a66519781,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cr1N1_ICSD_181079,216,cF8,0.637592,45.6585,331.006,5.6509,157.294,30.5686,2,4.54363
Ag1Mn3N1,aflow:c568d79d0d0e9fc8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Mn3N1_ICSD_52592,221,cP5,0.840364,16.2358,274.028,14.3976,58.2889,29.2627,5,6.13433
Al1Co2Hf1,aflow:c7c796937969b5fa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1Co2Hf1_ICSD_110809,225,cF16,0.863232,61.6353,369.974,11.1352,118.944,70.9509,4,8.91382
Cl8Co1Li6,aflow:40fd346993f7f6ee,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cl8Co1Li6_ICSD_202401,225,cF60,1.07688,3.7919,326.676,42.492,50.4167,23.0011,15,2.33074
Co4Ge4Ta4,aflow:3893846e555c633e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Co1Ge1Ta1_ICSD_623611,62,oP12,1.08316,16.4019,326.014,33.9683,144.315,64.7056,12,11.3759
B2Mn1,aflow:0e5997687be5d3dc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Mn1_ICSD_187733,191,hP3,1.09402,113.623,774.954,6.5862,151.559,111.453,3,4.53738
Ba1,aflow:7b2394cca289b7b1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ba1_ICSD_52679,225,cF4,1.10473,3.00786,83.9735,2.98859,8.37778,3.85914,1,3.56738
Cu5Nd1,aflow:7f5f2aeb8ddd6aa8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Cu5Nd1_ICSD_103059,191,hP6,1.14215,6.53662,235.015,17.4685,101.426,29.7935,6,8.21214
Co2Ga1Ti1,aflow:14af98168fbd6e8e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co2Ga1Ti1_ICSD_102453,225,cF16,1.15756,31.807,406.992,10.9658,110.267,61.8344,4,6.95317
