compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,agl_gruneisen,agl_thermal_conductivity_300K,agl_debye,agl_heat_capacity_Cv_300K,ael_bulk_modulus_vrh,ael_shear_modulus_vrh,natoms,density,poscar_file
He8Ne4,aflow:0c36787efc568915,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/He2Ne1_ICSD_659143,194,hP12,0.00210114,0.0423603,62.8615,35.9206,3.77037,1.1662,12,1.01028,aflow_0c36787efc568915.poscar
Co2Ge1Zn1,aflow:6be08f2a9d7b1505,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co2Ge1Zn1_ICSD_52994,225,cF16,0.597264,10.6235,181.003,11.7862,73.8333,13.0602,4,7.5727,aflow_6be08f2a9d7b1505.poscar
Ba1,aflow:7b2394cca289b7b1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ba1_ICSD_52679,225,cF4,1.10473,3.00786,83.9735,2.98859,8.37778,3.85914,1,3.56738,aflow_7b2394cca289b7b1.poscar
Sr2,aflow:91f8e6a03809ef58,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Sr1_ICSD_44722,194,hP2,1.17362,2.94654,120.01,5.95417,11.6072,5.09916,2,2.63911,aflow_91f8e6a03809ef58.poscar
Ca1,aflow:da235dae85798482,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca1_ICSD_181067,225,cF4,1.22539,9.44272,208.968,2.9309,17.3889,7.74843,1,1.5784,aflow_da235dae85798482.poscar
Ba2,aflow:863dc62f92621e76,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ba1_ICSD_52680,194,hP2,1.27614,1.81851,92.0006,5.97341,8.42265,4.63406,2,3.60231,aflow_863dc62f92621e76.poscar
Al1C1Er3,aflow:89e7078d2a0917cb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1C1Er3_ICSD_606192,221,cP5,1.36713,3.45882,173.043,14.7598,37.0278,15.383,5,6.00638,aflow_89e7078d2a0917cb.poscar
Co2Zr4,aflow:0a22469748423b7e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Co1Zr2_ICSD_625671,140,tI12,1.39221,3.04521,201.976,17.6024,98.1264,18.2566,6,6.72505,aflow_0a22469748423b7e.poscar
Cs1,aflow:5acbf212d1783298,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Cs1_ICSD_426937,229,cI2,1.48274,0.148068,36.0384,2.99834,2.22778,0.630101,1,1.91348,aflow_5acbf212d1783298.poscar
Al1C1Tb3,aflow:b3744e8adac37cc5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1C1Tb3_ICSD_606265,221,cP5,1.49762,2.00545,156.05,14.8061,35.6278,11.9888,5,5.5375,aflow_b3744e8adac37cc5.poscar
B1H4Na1,aflow:3a531e5b3aa9205e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B1H4Na1_ICSD_165835,216,cF24,1.53076,7.46572,734.611,13.5892,20.9167,12.4896,6,1.10257,aflow_3a531e5b3aa9205e.poscar
B4H16Na4,aflow:6460fdfb6bb26434,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/B1H4Na1_ICSD_182734,215,cP24,1.5363,3.12794,753.86,53.5484,20.4,12.5613,24,1.13721,aflow_6460fdfb6bb26434.poscar
Mg1Tb2,aflow:b423dadc0febee94,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Mg1Tb2_ICSD_55549,139,tI6,1.53909,4.649,182.962,8.84013,39.5953,18.5495,3,6.49411,aflow_b423dadc0febee94.poscar
Ho1Mg1,aflow:726d2384643098a1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ho1Mg1_ICSD_104417,221,cP2,1.54628,6.36478,200.003,5.87393,41.5833,19.6042,2,5.85147,aflow_726d2384643098a1.poscar
Ca7Ge1,aflow:4f2cacf7ff9a274e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca7Ge1_ICSD_43321,225,cF32,1.55078,1.29657,199.941,23.5061,19.35,7.87138,8,2.01044,aflow_4f2cacf7ff9a274e.poscar
Li2,aflow:5588568293d3f856,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Li1_ICSD_44760,194,hP2,1.5621,3.15764,390.198,5.56879,13.9884,6.79437,2,0.568605,aflow_5588568293d3f856.poscar
B12H12Tl2,aflow:0e2d4391f6123980,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B12H12Tl2_ICSD_151981,202,cF104,1.56692,1.89286,428.177,70.7769,12.1451,4.31411,26,2.85714,aflow_0e2d4391f6123980.poscar
B4H16Hf1,aflow:26c10d524c048ff1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/B4H16Hf1_ICSD_35379,215,cP21,1.56821,13.1745,974.856,38.8306,3.93333,5.81964,21,1.81118,aflow_26c10d524c048ff1.poscar
B6H24Y2,aflow:235095bcd59919a5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B3H12Y1_ICSD_169076,226,cF128,1.57124,3.08241,731.63,72.6148,29.5333,17.3461,32,1.31951,aflow_235095bcd59919a5.poscar
Li23Sr6,aflow:9e7d5ff7423c0535,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Li23Sr6_ICSD_15702,225,cF116,1.57131,0.511623,250.066,84.3566,12.8167,7.41574,29,1.40868,aflow_9e7d5ff7423c0535.poscar
