gid,formula,n_sites,K_VRH,G_VRH,gamma,kappa_agl,density_g_cm3,volume_m3
ag-0c36787efc56,He8Ne4,12,3.77037,1.1662,0.00210114,0.0423603,1.01028,1.853036155535915e-28
ag-7fd9c09131de,Al1Co2Ti1,4,105.533,76.2483,0.436803,213.507,5.76491,5.551008908332126e-29
ag-6be08f2a9d7b,Co2Ge1Zn1,4,73.8333,13.0602,0.597264,10.6235,7.5727,5.611703921179697e-29
ag-f9fa918a6651,Cr1N1,2,157.294,30.5686,0.637592,45.6585,4.54363,2.4121732602563693e-29
ag-c568d79d0d0e,Ag1Mn3N1,5,58.2889,29.2627,0.840364,16.2358,6.13433,7.760559712036275e-29
ag-c7c796937969,Al1Co2Hf1,4,118.944,70.9509,0.863232,61.6353,8.91382,6.023402560897814e-29
ag-40fd346993f7,Cl8Co1Li6,15,50.4167,23.0011,1.07688,3.7919,2.33074,2.737261190909487e-28
ag-3893846e555c,Co4Ge4Ta4,12,144.315,64.7056,1.08316,16.4019,11.3759,1.8247468918444383e-28
ag-0e5997687be5,B2Mn1,3,151.559,111.453,1.09402,113.623,4.53738,2.801858025185327e-29
ag-7b2394cca289,Ba1,1,8.37778,3.85914,1.10473,3.00786,3.56738,6.3922780415593e-29
ag-7f5f2aeb8ddd,Cu5Nd1,6,101.426,29.7935,1.14215,6.53662,8.21214,9.341323378258715e-29
ag-14af98168fbd,Co2Ga1Ti1,4,110.267,61.8344,1.15756,31.807,6.95317,5.623111962969487e-29
ag-8396cacfcd09,P2V2,4,92.2379,59.9642,1.1629,38.4159,4.45643,6.104594606075914e-29
ag-91f8e6a03809,Sr2,2,11.6072,5.09916,1.17362,2.94654,2.63911,1.102617420384084e-28
ag-a3351de2d57d,C1Ti3Tl1,5,106.889,82.9119,1.21312,31.3673,6.97303,8.572826465405528e-29
ag-865e8621089a,B2Co3Y1,6,178.696,127.109,1.22341,57.2399,7.38306,6.462339879717517e-29
ag-da235dae8579,Ca1,1,17.3889,7.74843,1.22539,9.44272,1.5784,4.216363704459884e-29
ag-5a12ca65b4af,Y2,2,41.5471,28.96,1.2669,20.2194,4.50513,6.553934611177906e-29
ag-863dc62f9262,Ba2,2,8.42265,4.63406,1.27614,1.81851,3.60231,1.2660589921410327e-28
ag-bc507e8b0778,Mo1P1,2,87.5056,45.8248,1.27731,19.4741,6.09755,3.4562284834101324e-29
ag-799112d927e1,Co2Ge1Mn1,4,82.3056,44.0454,1.28226,14.6521,7.19524,5.664440282701681e-29
ag-e219dcbe6a16,Er2,2,44.2931,32.3288,1.29092,16.1785,9.01113,6.164379023284524e-29
ag-89d43c69edb6,Cr4Ga2N2,8,110.617,77.8289,1.30722,25.5787,5.84867,1.0659502027174674e-28
ag-cfd5feaf2819,Ho2,2,42.971,30.9191,1.31226,14.7772,8.7312,6.273438694036085e-29
ag-7ed1a2917374,Be8Fe4,12,125.394,122.369,1.34616,28.6224,4.41738,1.110730475955391e-28
ag-65e867bc2a96,Dy2,2,39.3711,26.484,1.35155,12.2794,8.47208,6.370043680477521e-29
ag-56108ea12b0c,Er1Mg1,2,42.7056,24.678,1.35962,11.4835,5.96179,5.33563754768555e-29
ag-70e694f77ce2,Co2Ga1Hf1,4,122.5,61.0838,1.367,18.1245,10.1369,5.996795159980834e-29
ag-89e7078d2a09,Al1C1Er3,5,37.0278,15.383,1.36713,3.45882,6.00638,1.4950243686061098e-28
ag-0a2246974842,Co2Zr4,6,98.1264,18.2566,1.39221,3.04521,6.72505,1.19202951424924e-28
ag-a2d0b7c455ed,Co2Sb4,6,58.0376,27.5785,1.39347,5.81571,7.37156,1.3626297448992826e-28
ag-46c1e43233ab,Tb2,2,39.0225,23.0423,1.39627,9.35495,8.16454,6.464583487816295e-29
ag-138912092bc1,C1Mn3Sn1,5,78.8778,45.3543,1.40259,11.2367,5.8055,8.453141659782705e-29
ag-66c24085ff2e,Co2Fe1Ga1,4,106.367,66.0041,1.41004,20.0452,7.76553,5.205469745773185e-29
ag-e44f5279fe7e,Bi4Fe4O12,20,160.815,68.4832,1.42213,12.5194,8.31948,2.497539792171875e-28
ag-266a4c0484d7,Mn1,1,54.3111,30.4187,1.43004,20.9082,4.80399,1.8989791811625087e-29
ag-582d36d531b9,Mg1Y1,2,41.4889,23.0863,1.43089,12.4829,3.42165,5.494163318515704e-29
ag-fb5e653ad146,Bi4O14Ru4,22,171.556,71.6833,1.43411,6.47422,8.40279,2.89350324076892e-28
ag-6fd30ea64b36,Be2Hf2,4,121.158,61.9621,1.45115,16.0243,9.96577,6.248482521345432e-29
ag-f6ae26d8aef8,Tb6,6,40.1712,25.8364,1.45627,4.67276,8.2746,1.9135795254011915e-28
ag-fb1cd92584ed,C1Pa1,2,185.272,77.7165,1.46294,30.8236,12.3228,3.275135043119439e-29
ag-e226cfd7bcb7,Ni2S2,4,101.337,41.3398,1.4784,11.9317,4.94486,6.095536327504091e-29
