mb_id,formula,n_sites,K_VRH,G_VRH,source
mb-00000,Ca(AgGe)2,5,50.99999999999999,28.0,matbench
mb-00001,Ba(MgGe)2,5,42.99999999999999,33.0,matbench
mb-00002,Sr(CuSi)2,5,81.0,55.00000000000001,matbench
mb-00003,DyPd3,4,131.00000000000006,50.99999999999999,matbench
mb-00004,Ba(MgSi)2,5,48.99999999999999,39.99999999999999,matbench
mb-00005,TiAl,2,115.00000000000004,70.00000000000001,matbench
mb-00006,ErPd,2,99.0,31.0,matbench
mb-00007,TePd,4,98.0,20.000000000000004,matbench
mb-00008,MnNbSi,9,209.0000000000001,105.00000000000004,matbench
mb-00009,MgSO4,12,70.00000000000001,47.99999999999999,matbench
mb-00010,TmAl3,4,77.0,59.00000000000001,matbench
mb-00011,Ba3N,8,12.999999999999998,6.0,matbench
mb-00012,TlPd2Se3,12,21.0,12.000000000000002,matbench
mb-00013,TbCo3B2,6,209.0000000000001,118.00000000000004,matbench
mb-00014,CaHgO2,4,64.99999999999999,13.999999999999998,matbench
mb-00015,LuPt3,4,184.0,75.00000000000001,matbench
mb-00016,RbAuO2,8,28.0,12.000000000000002,matbench
mb-00017,RbCuO2,8,32.00000000000001,13.999999999999998,matbench
mb-00018,FeSb3,16,82.0,44.0,matbench
mb-00019,RbHg2,6,11.000000000000002,5.000000000000001,matbench
mb-00020,Ba3(AlSi)2,7,35.0,22.0,matbench
mb-00021,ZrSiRu,9,191.00000000000009,100.0,matbench
mb-00022,HoGa2Pd,8,93.99999999999996,47.99999999999999,matbench
mb-00023,Li2Sb,18,32.00000000000001,23.0,matbench
mb-00024,Rb(ThSe3)2,9,38.99999999999999,19.0,matbench
mb-00025,CaSbPt,12,82.0,35.0,matbench
mb-00026,Sr(SbPd)2,10,77.0,17.999999999999996,matbench
mb-00027,SiPd2,9,179.99999999999997,50.99999999999999,matbench
mb-00028,Te2Pd,3,52.99999999999999,22.0,matbench
mb-00029,CdSO4,12,58.00000000000001,26.0,matbench
mb-00030,Ca(AlGa)2,5,58.00000000000001,28.0,matbench
mb-00031,Y4C5,18,101.0,52.00000000000001,matbench
mb-00032,ErZnAsO,8,77.0,35.0,matbench
mb-00033,CsCu3S2,6,15.000000000000004,7.999999999999999,matbench
mb-00034,K2CuP,8,22.0,11.000000000000002,matbench
mb-00035,Ca3N2,40,68.00000000000001,34.0,matbench
mb-00036,Cs2KCuF6,10,33.0,13.999999999999998,matbench
mb-00037,YbAgSb,12,52.00000000000001,25.000000000000007,matbench
mb-00038,ZrCoP,12,193.00000000000009,115.00000000000004,matbench
mb-00039,CuBSe2,8,77.0,48.99999999999999,matbench
mb-00040,Yb3Ge5,8,26.0,29.0,matbench
mb-00041,Na3Cd,8,12.000000000000002,5.000000000000001,matbench
mb-00042,CsSbF6,8,15.000000000000004,5.000000000000001,matbench
mb-00043,Th2TeN2,5,84.99999999999999,37.99999999999999,matbench
mb-00044,LuAsO4,12,135.99999999999997,63.0,matbench
mb-00045,AlAgO2,8,154.0,60.0,matbench
mb-00046,ErF3,16,72.00000000000001,44.0,matbench
mb-00047,TiSiRh,12,187.00000000000003,88.00000000000001,matbench
mb-00048,Li2PdO3,12,105.00000000000004,57.00000000000001,matbench
mb-00049,Ti2MnBe,4,153.00000000000003,52.99999999999999,matbench
mb-00050,K3Cu3P2,8,28.0,12.000000000000002,matbench
mb-00051,RbLuO2,4,93.0,52.99999999999999,matbench
mb-00052,Ba3FeN3,14,33.0,19.0,matbench
mb-00053,RbTmO2,4,83.99999999999999,50.99999999999999,matbench
mb-00054,RbErO2,4,82.0,49.99999999999999,matbench
mb-00055,RbDyO2,4,79.99999999999999,47.99999999999999,matbench
