mp_id,mb_id,formula
mp-10037,mb-08507,AlCo3C
mp-10055,mb-08220,Co2B4Mo
mp-1007730,mb-08602,HfAl3
mp-1008224,mb-09254,CrCo2Si
mp-1008625,mb-10946,W2C
mp-1008752,mb-10815,CeTe
mp-10159,mb-08944,K3Sb
mp-1018031,mb-02539,KInO2
mp-1018042,mb-10857,UBi
mp-1018082,mb-10901,CrCo2Sb
mp-1018699,mb-09846,EuZnGe
mp-10564,mb-03403,SrN2
mp-10749,mb-04054,SrCuSb
mp-11157,mb-04215,SmMgGa
mp-11481,mb-04356,MoIr
mp-11534,mb-03080,Np
mp-11576,mb-03692,YbTl
mp-11693,mb-03745,TePt
mp-11752,mb-03781,Lu7(NiTe)2
mp-11836,mb-04241,ErSbPd
mp-12058,mb-00057,Er(PRu)2
mp-12110,mb-04413,TaRu
mp-1232,mb-10026,Mo3Pt
mp-12444,mb-04020,SrCuSF
mp-12550,mb-05293,AlCuPt2
mp-12599,mb-04078,PrTl
mp-1261,mb-04084,EuZn
mp-13121,mb-03048,CeGe3Rh
mp-13164,mb-00829,Ti2Pd
mp-1342,mb-06024,BaO
mp-13474,mb-03683,LiErGe
mp-13503,mb-03698,ScZn2
mp-13920,mb-03847,Ba(ZnSn)2
mp-1399,mb-03889,AlAu
mp-140,mb-08816,Ga
mp-1471,mb-03471,Zr3Al
mp-1490,mb-04120,AlAu4
mp-15051,mb-04164,Nd(PdO2)2
mp-15053,mb-04165,Y(PdO2)2
mp-1513,mb-03087,Co9S8
mp-1543,mb-07178,Ge2Pt
mp-1550,mb-01512,AlP
mp-15695,mb-04348,YAsPt
mp-16648,mb-00377,LiSn4Rh
mp-16733,mb-09851,Sc2GaC
mp-16764,mb-05386,RbYTe2
mp-1688,mb-00950,ErAs
mp-171,mb-06372,VNi3
mp-1852,mb-03115,UF5
mp-18759,mb-02759,Mn3O4
mp-1911,mb-02838,CeSn3
mp-19241,mb-04517,BaNiO3
mp-19252,mb-04522,K2NiO2
mp-1935,mb-04239,BaMg2
mp-1938,mb-10522,Al2O3
mp-19391,mb-02501,NaVO2
mp-1953,mb-00005,TiAl
mp-19940,mb-04860,VAs
mp-1995,mb-08370,PrC2
mp-20238,mb-01265,Th(FeGe)2
mp-20310,mb-06806,LiInSe2
mp-20401,mb-01342,HfCuSi2
mp-20601,mb-01476,NdPb3
mp-20618,mb-01738,Y2Co3Si5
mp-20674,mb-09253,Ba2YCu3O7
mp-2078,mb-03604,TiCu
mp-20887,mb-01663,VSn2
mp-20897,mb-09399,Ba4Y2Cu6O13
mp-21090,mb-09102,MnNiGe
mp-2130,mb-06142,LuNi2
mp-21340,mb-05324,HfGePt
mp-21385,mb-07434,In3Ni2
mp-215,mb-06282,YSb
mp-22266,mb-05724,GdB6
mp-22289,mb-09033,Mn2CoGe
mp-2254,mb-08312,Al2O3
mp-22747,mb-09968,Pb(CO2)2
mp-22922,mb-06302,AgCl
mp-22939,mb-04931,BiClO
mp-230,mb-05467,SbO2
mp-23037,mb-07396,CsPbCl3
mp-2311,mb-01435,NbO
mp-23219,mb-01117,CuBr2
mp-23313,mb-07167,InBi
mp-23846,mb-01382,KHF2
mp-24093,mb-09942,CuH
mp-24095,mb-05651,PrH2
mp-24152,mb-04922,HoH2
mp-2619,mb-09390,FeSb
mp-2663,mb-01843,Nb3Pt
mp-2677,mb-04197,ScPd3
mp-2697,mb-04224,SrO2
mp-27418,mb-08928,KAuO2
mp-2748,mb-05910,CeAs
mp-27691,mb-01586,K2PtBr6
mp-2782,mb-01515,ZnP2
mp-28336,mb-03661,Li3P7
mp-28376,mb-04749,CuAuF5
mp-2857,mb-06264,ScN
mp-29752,mb-04763,NiGePt2
mp-30206,mb-01311,CsClO4
mp-3035,mb-00779,Ce(FeSi)2
mp-30364,mb-01434,BaAu5
mp-30403,mb-07671,Li2PbAu
mp-30494,mb-01539,ScCd3
mp-30497,mb-06188,TbCd2
mp-30506,mb-00381,CeHg2
mp-3053,mb-00772,DyAlNi
mp-30815,mb-04541,LaAl3Pd2
mp-30819,mb-05884,LiAl2Pt
mp-3097,mb-04848,Tb(SiRh)2
mp-3155,mb-00774,Sc3FeC4
mp-3216,mb-05370,Li2ZrN2
mp-333,mb-06433,HfFe2
mp-3359,mb-04728,Ba2SnO4
mp-33708,mb-04764,Mn(FeO2)2
mp-3433,mb-03191,YMgNi4
mp-3470,mb-07445,MgSiO3
mp-3536,mb-05263,MgAl2O4
mp-36508,mb-03181,SnHgF6
mp-3689,mb-08513,NdCo4B
mp-37091,mb-01874,Sr(AlTe2)2
mp-3710,mb-02012,HoBRh3
mp-38725,mb-01671,NaBH4
mp-3927,mb-01704,CaAsAu
mp-399,mb-05468,Te2Pt
mp-4008,mb-05092,ZnGeAs2
mp-4180,mb-09198,Ca2SiO4
mp-4192,mb-04452,Ca3AsN
mp-429,mb-03362,ZnNi
mp-4342,mb-00148,KNbO3
mp-4366,mb-09845,Na2PtC2
mp-4481,mb-04605,Ca2SiO4
mp-4636,mb-06716,ScCuO2
