material_id,formula,cif_key,file,status,n_sites,spacegroup
a0e05c85e7,MoBr5Cl,Br5Cl1Mo1,MoBr5Cl__a0e05c85e7.cif,ok,7,Cm
027d726fb6,ZrPbBr6,Br6Pb1Zr1,ZrPbBr6__027d726fb6.cif,ok,8,R3
f44c7a640e,TbBiCl8,Bi1Cl8Tb1,TbBiCl8__f44c7a640e.cif,ok,10,C2
9da6fbeed0,YBiCl8,Bi1Cl8Y1,YBiCl8__9da6fbeed0.cif,ok,10,C2
81af9a1cba,WBrCl3,Br2Cl6W2,WBrCl3__81af9a1cba.cif,ok,10,C2/m
098403e1ae,Pt2ICl7,Cl7I1Pt2,Pt2ICl7__098403e1ae.cif,ok,10,P1
0fd53e916f,Cs4BeZnTe4,Be1Cs4Te4Zn1,Cs4BeZnTe4__0fd53e916f.cif,ok,10,I222
5a06b134b6,Cs4MnBeTe4,Be1Cs4Mn1Te4,Cs4MnBeTe4__5a06b134b6.cif,ok,10,I222
1ef9dbf9a2,Cs4CdHgSe4,Cd1Cs4Hg1Se4,Cs4CdHgSe4__1ef9dbf9a2.cif,ok,10,I222
f0ceb2e700,Cs4Sb4PdPt,Cs4Pd1Pt1Sb4,Cs4Sb4PdPt__f0ceb2e700.cif,ok,10,C2/m
997187ed8b,Cs4MgMnTe4,Cs4Mg1Mn1Te4,Cs4MgMnTe4__997187ed8b.cif,ok,10,I222
5249fac9ad,CsRbSe3,Cs2Rb2Se6,CsRbSe3__5249fac9ad.cif,ok,10,Cmc2_1
a679a9434e,Cs4MnZnTe4,Cs4Mn1Te4Zn1,Cs4MnZnTe4__a679a9434e.cif,ok,10,I222
df6bc2655d,Rb4MnBeTe4,Be1Mn1Rb4Te4,Rb4MnBeTe4__df6bc2655d.cif,ok,10,I222
abb586635b,Be4FeSi,Be4Fe1Si1,Be4FeSi__abb586635b.cif,ok,6,F-43m
a209f791ac,Be3AlFeB,Al1B1Be3Fe1,Be3AlFeB__a209f791ac.cif,ok,6,R3m
9bc429a1fc,Be4BIr,B1Be4Ir1,Be4BIr__9bc429a1fc.cif,ok,6,R3m
dee8db3886,NaBC7,B1C7Na1,NaBC7__dee8db3886.cif,ok,9,Amm2
