run_order,arm,formula,gnome_material_id,cif_key_in_archive,n_atoms,space_group,crystal_system,volume_A3,density_g_cm3,K_pred_alignn_GPa,G_pred_alignn_GPa,K_pred_round9_GPa,G_pred_round9_GPa,kappa_alignn,kappa_cgcnn_ens,kappa_round9,kappa_tree,what_this_tests
1,B: adjudication,MoBr5Cl,a0e05c85e7,Br5Cl1Mo1,7,Cm,monoclinic,239.96625930935124,3.673857238242029,5.545167922973633,1.4582427740097046,127.56639582835832,35.19376700341947,0.027895193759416,0.0466373695071553,4.523983490772558,0.2483869185120273,"matbench+tree say low, round 9 says high - DFT settles which"
2,B: adjudication,ZrPbBr6,027d726fb6,Br6Pb1Zr1,8,R3,trigonal,319.77937820830306,4.039181641162333,5.01692533493042,1.3062127828598022,66.62998518682396,33.08713788579314,0.0214784149986359,0.1764117789586002,3.332092650401647,0.0501677275038084,"matbench+tree say low, round 9 says high - DFT settles which"
3,B: adjudication,TbBiCl8,f44c7a640e,Bi1Cl8Tb1,10,C2,monoclinic,383.799259704294,2.8188970590309244,7.543740749359131,1.7269442081451416,88.12527319443245,34.40120761021527,0.0288488445159872,0.1816475175801853,3.623543680766802,0.4897642994762407,"matbench+tree say low, round 9 says high - DFT settles which"
4,B: adjudication,YBiCl8,9da6fbeed0,Bi1Cl8Y1,10,C2,monoclinic,393.5723091015788,2.4534766973486826,6.912527084350586,1.7601261138916016,87.39080810616883,34.37231857135074,0.0360604430398129,0.0878917994228778,3.902988013440125,0.4737626223094152,"matbench+tree say low, round 9 says high - DFT settles which"
5,B: adjudication,WBrCl3,81af9a1cba,Br2Cl6W2,10,C2/m,monoclinic,289.3301033128833,4.248230543504134,6.587401390075684,2.2262396812438965,135.46109724523373,49.22880989318472,0.0481224385881826,0.0422437690547967,4.600088921983622,0.3657728099748566,"matbench+tree say low, round 9 says high - DFT settles which"
6,B: adjudication,Pt2ICl7,098403e1ae,Cl7I1Pt2,10,P1,triclinic,297.35230690765457,4.273438105746871,4.770090103149414,1.9208348989486692,124.60782960752788,47.070942791152326,0.0469981090478868,0.1447031594785217,4.207551905736906,0.3227170679087557,"matbench+tree say low, round 9 says high - DFT settles which"
7,A: consensus low,Cs4BeZnTe4,0fd53e916f,Be1Cs4Te4Zn1,10,I222,orthorhombic,430.1728878229304,4.309656082313942,16.094898223876953,7.561285972595215,18.74369558172753,9.637841537154646,0.4871665798619473,0.4202757349708201,0.4769842616559842,0.3618959392942256,all four models agree; ranked by the most pessimistic of them
8,A: consensus low,Cs4MnBeTe4,5a06b134b6,Be1Cs4Mn1Te4,10,I222,orthorhombic,430.3712742062953,4.267268478764509,15.545947074890137,7.520330429077148,19.423991635667527,9.97361297016039,0.5007602355710995,0.4529990905838464,0.5038771457327573,0.327532633379778,all four models agree; ranked by the most pessimistic of them
9,A: consensus low,Cs4CdHgSe4,1ef9dbf9a2,Cd1Cs4Hg1Se4,10,I222,orthorhombic,406.619224766459,4.739062279101924,16.456905364990234,6.370869159698486,20.57109247376824,10.538115982386838,0.2867110521919211,0.3666907827993036,0.505724310394782,0.3762622682641757,all four models agree; ranked by the most pessimistic of them
10,A: consensus low,Cs4Sb4PdPt,f0ceb2e700,Cs4Pd1Pt1Sb4,10,C2/m,monoclinic,407.9356143893677,5.373855146855891,16.2265625,7.896844863891602,19.690777562206115,10.797889641696257,0.4746219094727428,0.4733192738890098,0.5108376148635555,0.3470556636007288,all four models agree; ranked by the most pessimistic of them
11,A: consensus low,Cs4MgMnTe4,997187ed8b,Cs4Mg1Mn1Te4,10,I222,orthorhombic,460.39686878569296,4.0441284912730575,13.134507179260254,6.950620174407959,18.614113020109247,9.138366614406122,0.5126685958624798,0.3990935223358979,0.4743784950461305,0.3194426620862134,all four models agree; ranked by the most pessimistic of them
12,A: consensus low,CsRbSe3,5249fac9ad,Cs2Rb2Se6,10,Cmc2_1,orthorhombic,386.1629821894611,3.9152681427239058,10.691688537597656,4.77836275100708,17.78880426850981,9.449659149607228,0.2350023494859694,0.2380034627056284,0.5404130443680252,0.3446436771886192,all four models agree; ranked by the most pessimistic of them
13,A: consensus low,Cs4MnZnTe4,a679a9434e,Cs4Mn1Te4Zn1,10,I222,orthorhombic,448.3659645273696,4.304873797172868,13.355536460876465,7.491597175598144,21.24864908905416,10.738867246601073,0.5844394720071708,0.2821077217128326,0.578454434779736,0.3370491945819504,all four models agree; ranked by the most pessimistic of them
14,A: consensus low,Rb4MnBeTe4,df6bc2655d,Be1Mn1Rb4Te4,10,I222,orthorhombic,391.3204732573907,3.8879168847228174,17.213674545288086,5.607759475708008,21.9086100519144,11.21106663471108,0.2135661731079189,0.5386876409599931,0.6102161362117273,0.3817495928100058,all four models agree; ranked by the most pessimistic of them
15,C: negative control,Be4FeSi,abb586635b,Be4Fe1Si1,6,F-43m,cubic,50.109773064909966,3.9758750312995113,140.09414672851562,132.03086853027344,268.2957062237527,128.0547019788896,57.69604770449113,80.25088077604364,21.69234796050832,22.13669092061689,all four models call it stiff; guards against a pipeline that calls everything soft
16,C: negative control,Be3AlFeB,a209f791ac,Al1B1Be3Fe1,6,R3m,trigonal,49.48098094191701,4.049718260833935,149.20018005371094,135.29872131347656,243.38914749895915,148.54344869214896,57.24833752446517,79.73271797801091,29.56055171007485,18.97605722917877,all four models call it stiff; guards against a pipeline that calls everything soft
17,C: negative control,Be4BIr,9bc429a1fc,B1Be4Ir1,6,R3m,trigonal,49.55679435221726,8.010934777015045,195.31719970703125,162.69020080566406,201.2692031349476,126.38546394627244,50.03195901277241,37.29245309426116,16.36767954836374,16.816907593199197,all four models call it stiff; guards against a pipeline that calls everything soft
18,C: negative control,NaBC7,dee8db3886,B1C7Na1,9,Amm2,orthorhombic,103.74969255091916,1.8866287629572245,114.01667785644533,86.65718078613281,163.79172246833647,104.95623737787172,31.565923569447456,41.73422322396758,21.992690799462377,21.129265317364645,all four models call it stiff; guards against a pipeline that calls everything soft
