arm,tag,member,tp,fp,fn,tn,n_called,n_true_low,precision,recall,f1,spearman,recall10,n_bin10,recall20,n_bin20,mae_log10,median_ae_log10
direct,s1,seed,20,14,73,728,34,93,0.5882352941176471,0.21505376344086022,0.3149606299212598,0.6863928952531755,38.095238095238095,84,56.287425149700596,167,0.2628473904932329,0.19232128556018502
direct,s2,seed,19,13,74,729,32,93,0.59375,0.20430107526881722,0.304,0.7110911288159972,41.66666666666667,84,59.2814371257485,167,0.2594304948455678,0.19949642078306556
direct,s42,seed,28,22,65,720,50,93,0.56,0.3010752688172043,0.39160839160839167,0.7013193811337773,42.857142857142854,84,59.2814371257485,167,0.25277548813376455,0.17847410755143134
direct,direct ensemble,ensemble,23,12,70,730,35,93,0.6571428571428571,0.24731182795698925,0.359375,0.7278409206852207,44.047619047619044,84,59.2814371257485,167,0.24607312430329187,0.18214558522760133
control,control_s1,seed,36,36,57,706,72,93,0.5,0.3870967741935484,0.43636363636363634,0.7199836875764839,46.42857142857143,84,58.08383233532935,167,0.2539685503930945,0.18880459889905687
control,control_s2,seed,24,19,69,723,43,93,0.5581395348837209,0.25806451612903225,0.3529411764705882,0.7022086699892013,39.285714285714285,84,55.08982035928144,167,0.26602152956979674,0.19596673961519281
control,control_s42,seed,33,32,60,710,65,93,0.5076923076923077,0.3548387096774194,0.4177215189873418,0.7375430818855216,42.857142857142854,84,60.47904191616767,167,0.2502576599458669,0.18491476583631933
control,control ensemble,ensemble,28,19,65,723,47,93,0.5957446808510638,0.3010752688172043,0.4,0.7426378182329364,46.42857142857143,84,58.08383233532935,167,0.24313125324588966,0.1760927927947169
round 9,r9_full_s1,seed,36,36,57,706,72,93,0.5,0.3870967741935484,0.43636363636363634,0.7199836875764839,46.42857142857143,84,58.08383233532935,167,0.2539685503930945,0.18880459889905687
round 9,r9_full_s2,seed,24,19,69,723,43,93,0.5581395348837209,0.25806451612903225,0.3529411764705882,0.7022086699892013,39.285714285714285,84,55.08982035928144,167,0.26602152956979674,0.19596673961519281
round 9,r9_full_s42,seed,33,32,60,710,65,93,0.5076923076923077,0.3548387096774194,0.4177215189873418,0.7375430818855216,42.857142857142854,84,60.47904191616767,167,0.2502576599458669,0.18491476583631933
round 9,round 9 ensemble,ensemble,28,19,65,723,47,93,0.5957446808510638,0.3010752688172043,0.4,0.7426378182329364,46.42857142857143,84,58.08383233532935,167,0.24313125324588966,0.1760927927947169
tree,tree (random_forest),ensemble,63,39,30,703,102,93,0.6176470588235294,0.6774193548387096,0.6461538461538462,0.875298015033236,67.85714285714286,84,77.84431137724552,167,0.18560992035687013,0.1278832329489162
