target,model,n,mae_log10,r2,ci_lo,ci_hi
K,ALIGNN seed 42,1648,0.054855910207704243,0.9166495991613048,,
K,ALIGNN seed 1,1648,0.055679797009836975,0.91750147055255,,
K,ALIGNN seed 2,1648,0.054639567501791234,0.919499357222675,,
K,ALIGNN 3-ens,1648,0.05336123218314942,0.9212308702496,,
K,ALIGNN single (existing),1648,0.05391239873833965,0.9196985665411229,,
K,d(ens - single),1648,-0.0005416693162498333,,-0.0017964529781382779,0.0006983170856605963
K,CGCNN 3-ens,1648,0.06301523221008475,0.9012431995576528,,
K,d(ALIGNN ens - CGCNN ens),1648,-0.009651854901732973,,-0.012427435319054976,-0.006915070099885175
G,ALIGNN seed 42,1648,0.07262790028159433,0.9000962717212726,,
G,ALIGNN seed 1,1648,0.0718288824424451,0.899958368993878,,
G,ALIGNN seed 2,1648,0.07295542475023895,0.8965663004144295,,
G,ALIGNN 3-ens,1648,0.07075517985216052,0.9035685553791718,,
G,ALIGNN single (existing),1648,0.07250267872126609,0.9007389250419768,,
G,d(ens - single),1648,-0.0017500569558002311,,-0.003327715051000229,-0.00020795574032156442
G,CGCNN 3-ens,1648,0.07809694786157238,0.8991675178277387,,
G,d(ALIGNN ens - CGCNN ens),1648,-0.007329459645573264,,-0.00997784900917435,-0.0046196125232808236
