chemsys,mp_id,formula,spacegroup,e_above_hull,K_mp,G_mp
W-Cl,mp-23178,WCl6,P-3m1,0.00036721619047774823,1.108,0.59
W-Cl,mp-571518,WCl6,R-3,0.0,1.611,0.526
Bi-Cl,mp-22908,BiCl3,Pnma,0.0,4.002,3.6950000000000003
Pb-Br,mp-2456335,PbBr2,Cmce,0.0,4.359,1.297
Mo-Br,mp-23312,MoBr3,Pmmn,0.0,4.428,2.4939999999999998
Zr-Br,mp-23247,ZrBr3,P6_3/mcm,0.0,5.309,3.074
Pt-Cl,mp-567484,PtCl2,Pnnm,0.04601806499999794,5.439,-12.744
Y-Cl,mp-27455,YCl3,C2/m,0.0,5.717,3.334
Mo-Cl,mp-22853,MoCl3,C2/m,0.034518016145833386,12.057,8.227
Tb-Cl,mp-570232,TbCl3,P4_2/mnm,0.016494364374999293,12.883,8.631
Y-Cl,mp-27678,Y2Cl3,C2/m,0.0,15.328,11.944
Zr-Br,mp-504594,ZrBr,R-3m,0.0,20.885,-6.901
Pb-Br,mp-862868,PbBr2,P4_2/mnm,0.010890884166665504,24.977,7.332
Tb-Cl,mp-568170,TbCl3,P6_3/m,0.007308905000000365,26.359,14.238
