model,target,group,n,mae_log10,relative_error_pct,optimism_vs_unseen,diff_ci_lo,diff_ci_hi
ALIGNN ens,G,formula NOT seen in train,1397,0.07010469341587086,17.51808163454589,,,
ALIGNN ens,G,formula ALSO in train,251,0.07437561631230663,18.679474957094943,,,
ALIGNN ens,G,ALL,1648,0.07075517985216054,17.694232147083923,0.0006504864362896767,-0.006857372565377866,0.015998142621307804
ALIGNN ens,K,formula NOT seen in train,1397,0.052059715392402076,12.735245622513913,,,
ALIGNN ens,K,formula ALSO in train,251,0.06060513240894241,14.975453807894912,,,
ALIGNN ens,K,ALL,1648,0.05336123218314942,13.07360335065244,0.0013015167907473452,-0.0029007517515157013,0.021052512318200406
CGCNN ens,G,formula NOT seen in train,1397,0.07763154448799575,19.572564701266582,,,
CGCNN ens,G,formula ALSO in train,251,0.08068724409992477,20.416844966410473,,,
CGCNN ens,G,ALL,1648,0.07809694533908444,19.700770340244954,0.00046540085108869034,-0.007738457613530786,0.014725806461996916
CGCNN ens,K,formula NOT seen in train,1397,0.06225072285833747,15.41193510001957,,,
CGCNN ens,K,formula ALSO in train,251,0.06727028047421064,16.753599978768353,,,
CGCNN ens,K,ALL,1648,0.06301523072337642,15.615278780171238,0.0007645078650389478,-0.006557694714885702,0.016502921878641486
