status,arm,formula,material_id,Number of Atoms,space_group,crystal_system,kappa_alignn,CGCNN-ens,round9,tree,kappa_min,kappa_max,model_spread_x,K_alignn,G_alignn,n_models_low,reason
CONTROL,C: negative control,NaBC7,dee8db3886,9,Amm2,orthorhombic,31.565923569447456,41.73422322396758,21.992690799462377,21.129265317364645,21.129265317364645,41.73422322396758,1.9751857244969697,114.01667785644533,86.65718078613281,0,stiff by every model - guards against a pipeline that calls everything soft
CONTROL,C: negative control,Be4BIr,9bc429a1fc,6,R3m,trigonal,50.03195901277241,37.29245309426116,16.36767954836374,16.816907593199197,16.36767954836374,50.03195901277241,3.056753332989957,195.31719970703125,162.69020080566406,0,stiff by every model - guards against a pipeline that calls everything soft
CONTROL,C: negative control,Be3AlFeB,a209f791ac,6,R3m,trigonal,57.24833752446517,79.73271797801091,29.56055171007485,18.97605722917877,18.97605722917877,79.73271797801091,4.201753663316787,149.20018005371094,135.29872131347656,0,stiff by every model - guards against a pipeline that calls everything soft
CONTROL,C: negative control,Be4FeSi,abb586635b,6,F-43m,cubic,57.69604770449113,80.25088077604364,21.69234796050832,22.13669092061689,21.69234796050832,80.25088077604364,3.699501820740806,140.09414672851562,132.03086853027344,0,stiff by every model - guards against a pipeline that calls everything soft
DROPPED,B: adjudication,ZrPbBr6,027d726fb6,8,R3,trigonal,0.0214784149986359,0.1764117789586002,3.332092650401647,0.0501677275038084,0.0214784149986359,3.332092650401647,155.13680365209765,5.01692533493042,1.3062127828598022,3,round 9 refuted by step 64: its K exceeds every real measured K for this chemistry
DROPPED,B: adjudication,MoBr5Cl,a0e05c85e7,7,Cm,monoclinic,0.027895193759416,0.0466373695071553,4.523983490772558,0.2483869185120273,0.027895193759416,4.523983490772558,162.17788375266227,5.545167922973633,1.4582427740097046,3,round 9 refuted by step 64: its K exceeds every real measured K for this chemistry
DROPPED,B: adjudication,TbBiCl8,f44c7a640e,10,C2,monoclinic,0.0288488445159872,0.1816475175801853,3.623543680766802,0.4897642994762407,0.0288488445159872,3.623543680766802,125.60446498156065,7.543740749359131,1.7269442081451416,3,round 9 refuted by step 64: its K exceeds every real measured K for this chemistry
DROPPED,B: adjudication,YBiCl8,9da6fbeed0,10,C2,monoclinic,0.0360604430398129,0.0878917994228778,3.902988013440125,0.4737626223094152,0.0360604430398129,3.902988013440125,108.23461068215362,6.912527084350586,1.7601261138916016,3,round 9 refuted by step 64: its K exceeds every real measured K for this chemistry
DROPPED,B: adjudication,Pt2ICl7,098403e1ae,10,P1,triclinic,0.0469981090478868,0.1447031594785217,4.207551905736906,0.3227170679087557,0.0469981090478868,4.207551905736906,89.52598287411507,4.770090103149414,1.9208348989486688,3,round 9 refuted by step 64: its K exceeds every real measured K for this chemistry
DROPPED,B: adjudication,WBrCl3,81af9a1cba,10,C2/m,monoclinic,0.0481224385881826,0.0422437690547967,4.600088921983622,0.3657728099748566,0.0422437690547967,4.600088921983622,108.89390376167893,6.587401390075684,2.2262396812438965,3,round 9 refuted by step 64: its K exceeds every real measured K for this chemistry
QUEUE,A: consensus low,Rb4MnBeTe4,df6bc2655d,10,I222,orthorhombic,0.2135661731079189,0.5386876409599931,0.6102161362117273,0.3817495928100058,0.2135661731079189,0.6102161362117273,2.857269610311245,17.213674545288086,5.607759475708008,4,four models agree it is ultralow - the actual candidates
QUEUE,A: consensus low,CsRbSe3,5249fac9ad,10,Cmc2_1,orthorhombic,0.2350023494859694,0.2380034627056284,0.5404130443680252,0.3446436771886192,0.2350023494859694,0.5404130443680252,2.299606984994378,10.691688537597656,4.77836275100708,4,four models agree it is ultralow - the actual candidates
QUEUE,A: consensus low,Cs4CdHgSe4,1ef9dbf9a2,10,I222,orthorhombic,0.2867110521919211,0.3666907827993036,0.505724310394782,0.3762622682641757,0.2867110521919211,0.505724310394782,1.7638814636844065,16.456905364990234,6.370869159698486,4,four models agree it is ultralow - the actual candidates
QUEUE,A: consensus low,Cs4Sb4PdPt,f0ceb2e700,10,C2/m,monoclinic,0.4746219094727428,0.4733192738890098,0.5108376148635555,0.3470556636007288,0.3470556636007288,0.5108376148635555,1.4719183936189848,16.2265625,7.896844863891602,4,four models agree it is ultralow - the actual candidates
QUEUE,A: consensus low,Cs4BeZnTe4,0fd53e916f,10,I222,orthorhombic,0.4871665798619473,0.4202757349708201,0.4769842616559842,0.3618959392942256,0.3618959392942256,0.4871665798619473,1.346150998024532,16.094898223876953,7.561285972595215,4,four models agree it is ultralow - the actual candidates
QUEUE,A: consensus low,Cs4MnBeTe4,5a06b134b6,10,I222,orthorhombic,0.5007602355710995,0.4529990905838464,0.5038771457327573,0.327532633379778,0.327532633379778,0.5038771457327573,1.5384028777019778,15.545947074890137,7.520330429077148,4,four models agree it is ultralow - the actual candidates
QUEUE,A: consensus low,Cs4MgMnTe4,997187ed8b,10,I222,orthorhombic,0.5126685958624798,0.3990935223358979,0.4743784950461305,0.3194426620862134,0.3194426620862134,0.5126685958624798,1.604884558982661,13.134507179260254,6.950620174407959,4,four models agree it is ultralow - the actual candidates
QUEUE,A: consensus low,Cs4MnZnTe4,a679a9434e,10,I222,orthorhombic,0.5844394720071708,0.2821077217128326,0.578454434779736,0.3370491945819504,0.2821077217128326,0.5844394720071708,2.071689028782035,13.355536460876465,7.491597175598144,4,four models agree it is ultralow - the actual candidates
