rank,material_id,formula,n_atoms,space_group,crystal_system,kappa_CGCNN,kappa_ALIGNN,kappa_worse_of_two,kappa_p05_recal,kappa_p50_recal,kappa_p95_recal,p95_p05_ratio_recal,confidence,clears_p95_threshold,gnome_source_id,K_baseline_rf,G_baseline_rf,gamma_baseline_rf,Kappa_baseline_rf,K_baseline_xgb,G_baseline_xgb,gamma_baseline_xgb,Kappa_baseline_xgb,Kappa_baseline,Kappa_baseline_vs_r9_ratio
1,32e397f80a,HfRuI6,8,P-31m,trigonal,0.0834,0.3373,0.3373,0.0339,0.0805,0.1951,5.75,wide,True,32e397f80a,31.574586160051624,9.354330597709971,2.2012189224325533,0.4792074971427472,15.848685,5.3254533,2.197225,0.2062133591990064,0.4792074971427472,0.1995499693931924
2,5fbe5bcacf,PdSe2I5Br,9,P1,triclinic,0.0601,0.0708,0.0708,0.0107,0.0605,0.2618,24.57,wide,True,5fbe5bcacf,15.67178889079232,9.157596618690633,2.336586300371412,0.3954252945244219,13.716386,6.4668703,2.4594862,0.2085561425702086,0.3954252945244219,0.3334913758608406
3,332f7fe495,TeClF5,7,P1,triclinic,0.1903,0.0596,0.1903,0.1262,0.1878,0.2776,2.2,moderate,True,332f7fe495,32.702666415953644,12.15520361735368,2.205104198025185,0.7852280450397713,18.706665,8.829548,2.1252685,0.5239211019037538,0.7852280450397713,0.9781736338802104
4,f58888cfa6,LuSbI6,8,R3,trigonal,0.0519,0.4674,0.4674,0.0071,0.051,0.3961,55.9,wide,True,f58888cfa6,12.633436855501726,7.479617800172451,2.3772855736813425,0.2924646494493408,9.6374,3.7559597,2.2705,0.1168860912486502,0.2924646494493408,0.2427054623422903
5,3b333fcade,SrZrBr6,8,P312,trigonal,0.1894,0.376,0.376,0.076,0.1876,0.4352,5.72,wide,True,3b333fcade,7.270409601995139,3.3426627956064245,2.1609780555420417,0.1281481602277412,8.357889,2.0058484,2.1424844,0.0613992023344382,0.1281481602277412,0.0354396621830789
6,9811b7fd74,GdGaI6,8,R3,trigonal,0.1071,0.7336,0.7336,0.0174,0.1094,0.4473,25.73,wide,True,9811b7fd74,16.73036972954798,9.332379690300437,2.232284938173445,0.4621822935822928,20.275627,5.5228925,2.2465694,0.210418014315677,0.4621822935822928,0.3223817464591212
7,9fdae5c922,KRbSeBr6,9,F-43m,cubic,0.2466,0.1688,0.2466,0.0991,0.2439,0.5702,5.75,wide,True,9fdae5c922,10.06263299724566,5.123809954365395,2.2734697821312717,0.1775305447528873,9.956211,4.913948,2.291965,0.1637969798465432,0.1775305447528873,0.0509586716398391
8,3d3f3d098a,InAgI4,6,I-4,tetragonal,0.0988,0.5608,0.5608,0.0183,0.1013,0.5788,31.66,wide,True,3d3f3d098a,19.06897530111269,9.014935730748745,2.3279388771790903,0.5467024835403823,10.714828,6.5674353,2.3525288,0.3296688811981685,0.5467024835403823,0.1592956717723431
9,e8275d9285,ZrFeI6,8,P-31m,trigonal,0.136,0.3543,0.3543,0.0313,0.1385,0.5954,19.05,wide,True,e8275d9285,31.28051903025121,8.958113558244207,2.249456831259681,0.4430033741596426,16.972408,5.3687587,2.1929517,0.217121240674002,0.4430033741596426,0.2345597277999513
10,262ae9057a,Cs2TaSBr5,9,Cm,monoclinic,0.1159,0.2489,0.2489,0.0228,0.1162,0.5972,26.15,wide,True,262ae9057a,8.872397204020965,5.361898992095589,2.1410585375538886,0.2027061672663394,8.31182,5.585004,2.2584245,0.1911217305679769,0.2027061672663394,0.0679253500504161
