mb_id,formula,n_sites,K_VRH,G_VRH,_rf,_key,agl_kappa,agl_kappa_min,agl_kappa_max,agl_gamma,agl_K,agl_G,density,natoms,compound,spacegroup,n_aflow_entries,cell_volume_m3
mb-00000,Ca(AgGe)2,5,50.99999999999999,28.0,Ca(AgGe)2,Ca(AgGe)2|5,1.74161,1.74161,1.74161,2.40893,57.0356,25.6591,6.27451,5.0,Ag2Ca1Ge2,139,1,1.0614899343927314e-28
mb-00003,DyPd3,4,131.00000000000006,50.99999999999999,DyPd3,DyPd3|4,4.62863,4.62863,4.62863,2.34529,133.561,59.1834,11.636,4.0,Dy1Pd3,221,1,6.875054150925339e-29
mb-00004,Ba(MgSi)2,5,48.99999999999999,39.99999999999999,Ba(MgSi)2,Ba(MgSi)2|5,6.89108,6.89108,6.89108,1.99344,49.7584,40.5821,3.3481,5.0,Ba1Mg2Si2,139,1,1.2007699664744951e-28
mb-00005,TiAl,2,115.00000000000004,70.00000000000001,TiAl,TiAl|2,20.0674,20.0674,20.0674,2.10303,105.084,66.6863,3.63343,2.0,Al1Ti1,123,1,3.4207050215958374e-29
mb-00006,ErPd,2,99.0,31.0,ErPd,ErPd|2,4.43326,4.43326,4.43326,2.08031,93.0222,30.4102,10.8167,2.0,Er1Pd1,221,1,4.2014169882225736e-29
mb-00015,LuPt3,4,184.0,75.00000000000001,LuPt3,LuPt3|4,4.2309,4.2309,4.2309,2.38152,207.483,70.7192,18.9914,4.0,Lu1Pt3,221,1,6.64707893629661e-29
mb-00016,RbAuO2,8,28.0,12.000000000000002,RbAuO2,RbAuO2|8,1.67784,1.67784,1.67784,2.36253,27.7935,12.4272,5.67883,8.0,Au2O4Rb2,63,1,1.8388596282677113e-28
mb-00021,ZrSiRu,9,191.00000000000009,100.0,ZrSiRu,ZrSiRu|9,10.8946,10.8946,10.8946,2.02064,192.222,99.4006,7.61265,9.0,Ru3Si3Zr3,189,1,1.4421342214113564e-28
mb-00022,HoGa2Pd,8,93.99999999999996,47.99999999999999,HoGa2Pd,HoGa2Pd|8,2.78277,2.78277,2.78277,2.27119,97.6385,46.7327,9.23415,8.0,Ga4Ho2Pd2,63,1,1.4774361213782513e-28
mb-00026,Sr(SbPd)2,10,77.0,17.999999999999996,Sr(SbPd)2,Sr(SbPd)2|10,0.654346,0.654346,0.654346,2.31863,75.5398,17.0698,7.60083,10.0,Pd4Sb4Sr2,129,1,2.3768457964754614e-28
mb-00027,SiPd2,9,179.99999999999997,50.99999999999999,SiPd2,SiPd2|9,2.03844,2.03844,2.03844,2.46685,182.861,48.569,9.37915,9.0,Pd6Si3,189,1,1.2796453997272437e-28
mb-00035,Ca3N2,40,68.00000000000001,34.0,Ca3N2,Ca3N2|40,1.73152,1.71879,1.74598,1.90284,67.3215,33.8479,2.60704,40.0,Ca24N16,206,5,7.554026000581445e-28
mb-00043,Th2TeN2,5,84.99999999999999,37.99999999999999,Th2TeN2,Th2TeN2|5,6.19272,6.19272,6.19272,1.92,73.3731,29.1944,8.46238,5.0,N2Te1Th2,139,1,1.2159920229039692e-28
mb-00045,AlAgO2,8,154.0,60.0,AlAgO2,AlAgO2|8,4.10466,4.10466,4.10466,2.11131,144.441,49.2211,6.06196,8.0,Ag2Al2O4,194,1,9.140888974726443e-29
mb-00047,TiSiRh,12,187.00000000000003,88.00000000000001,TiSiRh,TiSiRh|12,6.35475,6.35475,6.35475,2.26873,171.625,88.464,6.68185,12.0,Rh4Si4Ti4,62,1,1.7779548866052358e-28
mb-00057,Er(PRu)2,5,158.0,100.0,Er(PRu)2,Er(PRu)2|5,14.5871,14.5871,14.5871,2.18578,171.778,103.01,9.26671,5.0,Er1P2Ru2,139,1,7.729471998062324e-29
mb-00064,K2ZnF4,7,44.0,21.0,K2ZnF4,K2ZnF4|7,2.27257,2.27257,2.27257,2.14165,45.1362,23.1885,3.34678,7.0,F4K2Zn1,139,1,1.0895639150915896e-28
mb-00065,Cd(PtO2)3,10,192.00000000000003,70.00000000000001,Cd(PtO2)3,Cd(PtO2)3|10,3.78171,3.78171,3.78171,2.3447,194.815,73.6633,10.8692,10.0,Cd1O6Pt3,65,1,1.2125109849204678e-28
mb-00066,NaBeAs,6,45.00000000000001,33.0,NaBeAs,NaBeAs|6,6.42497,6.42497,6.42497,1.84231,45.3944,33.7987,3.11602,6.0,As2Be2Na2,194,1,1.1395994512320598e-28
mb-00072,Ca(MgAs)2,5,49.99999999999999,36.0,Ca(MgAs)2,Ca(MgAs)2|5,6.99156,6.99156,6.99156,1.89915,50.5853,36.2179,3.34262,5.0,As2Ca1Mg2,164,1,1.1849698031480043e-28
mb-00073,SrAgAs,6,39.99999999999999,31.0,SrAgAs,SrAgAs|6,2.74048,2.74048,2.74048,2.1829,47.7358,30.4051,5.87885,6.0,Ag2As2Sr2,194,1,1.5275982106931336e-28
mb-00075,As2Ru,6,149.0,105.00000000000004,As2Ru,As2Ru|6,12.0448,12.0448,12.0448,2.2693,148.416,105.182,8.09452,6.0,As4Ru2,58,1,1.029464801049611e-28
mb-00076,SrZnSi,6,48.99999999999999,38.99999999999999,SrZnSi,SrZnSi|6,5.33563,5.33563,5.33563,2.02403,49.2502,39.3132,4.16299,6.0,Si2Sr2Zn2,194,1,1.4448639217565149e-28
mb-00077,Ho2O3,40,144.99999999999997,64.99999999999999,Ho2O3,Ho2O3|40,2.1591750000000003,2.1579,2.16045,1.9905499999999998,145.035,65.60204999999999,8.411850000000001,40.0,Ho16O24,206,2,5.967290103337474e-28
mb-00082,Ba3MnN3,14,34.0,21.0,Ba3MnN3,Ba3MnN3|14,0.460238,0.460238,0.460238,3.86399,36.8776,22.2303,5.17949,14.0,Ba6Mn2N6,176,1,3.263307132889744e-28
mb-00083,Zn(PtO2)3,10,193.00000000000009,64.99999999999999,Zn(PtO2)3,Zn(PtO2)3|10,3.12374,3.12374,3.12374,2.29863,191.146,58.9915,10.7992,10.0,O6Pt3Zn1,65,1,1.1480978058508497e-28
mb-00089,BaNaBi,9,23.0,16.0,BaNaBi,BaNaBi|9,1.15407,1.15407,1.15407,1.98127,24.2806,16.6426,5.438,9.0,Ba3Bi3Na3,189,1,3.3830399613064733e-28
mb-00092,LiFeAs,6,68.00000000000001,39.99999999999999,LiFeAs,LiFeAs|6,8.19299,8.19299,8.19299,2.16737,65.92,47.8561,5.22013,6.0,As2Fe2Li2,129,1,8.76104042032475e-29
mb-00095,ScSiPt,12,149.0,60.0,ScSiPt,ScSiPt|12,4.11265,4.11265,4.11265,2.13261,148.625,64.9206,8.75289,12.0,Pt4Sc4Si4,62,1,2.0346775591974006e-28
mb-00102,BaAsPt,12,68.99999999999999,23.0,BaAsPt,BaAsPt|12,0.875519,0.875519,0.875519,2.30979,70.4766,23.1446,8.6189,12.0,As4Ba4Pt4,198,1,3.1391091467983045e-28
mb-00104,SrAsPt,6,72.00000000000001,30.0,SrAsPt,SrAsPt|6,1.99819,1.99819,1.99819,2.29787,74.1519,28.2467,8.26875,6.0,As2Pt2Sr2,194,1,1.436374978615842e-28
mb-00109,KI,2,10.0,6.0,KI,KI|2,0.5387109999999999,0.525554,0.551868,2.331295,12.19725,5.5143450000000005,3.203475,2.0,I1K1,221,2,8.604845826612494e-29
mb-00120,MgCuP,12,93.99999999999996,47.99999999999999,MgCuP,MgCuP|12,3.38746,3.38746,3.38746,2.12345,90.6306,48.2669,4.37922,12.0,Cu4Mg4P4,62,1,1.8022676133981332e-28
mb-00126,ErCd3,8,55.00000000000001,27.000000000000004,ErCd3,ErCd3|8,1.28087,1.28087,1.28087,2.31513,59.2736,28.2784,8.95338,8.0,Cd6Er2,63,1,1.8713126776182138e-28
mb-00127,CrP4,10,124.00000000000004,100.0,CrP4,CrP4|10,13.7047,13.7047,13.7047,2.10025,117.872,99.0583,3.84298,10.0,Cr2P8,15,1,1.5200397755078454e-28
mb-00132,YbAl2,6,55.00000000000001,40.99999999999999,YbAl2,YbAl2|6,6.13651,6.13651,6.13651,1.9888,49.0111,43.146,5.93055,6.0,Al4Yb2,227,1,1.271205800673734e-28
mb-00134,MnGaCo2,4,189.99999999999997,79.99999999999999,MnGaCo2,MnGaCo2|4,4.26312,4.26312,4.26312,2.37082,84.4556,51.6939,7.06318,4.0,Co2Ga1Mn1,225,1,5.701770033879438e-29
mb-00137,Zr6FeTe2,9,114.00000000000004,60.0,Zr6FeTe2,Zr6FeTe2|9,6.75765,6.75765,6.75765,1.93122,113.505,61.4032,7.4155,9.0,Fe1Te2Zr6,189,1,1.9221744580032244e-28
mb-00142,AlCuCl4,12,12.000000000000002,6.0,AlCuCl4,AlCuCl4|12,1.72822,1.72822,1.72822,2.10895,11.9007,6.49342,2.44242,12.0,Al2Cl8Cu2,112,1,3.1592345353743088e-28
mb-00143,Ba2ZrO4,7,106.00000000000004,56.00000000000001,Ba2ZrO4,Ba2ZrO4|7,6.45536,6.45536,6.45536,2.11021,107.133,55.9163,5.81724,7.0,Ba2O4Zr1,139,1,1.227085744828815e-28
mb-00147,HfBeSi,6,148.00000000000003,118.00000000000004,HfBeSi,HfBeSi|6,20.1063,20.1063,20.1063,1.84313,146.714,118.263,8.42745,6.0,Be2Hf2Si2,194,1,8.495850307327884e-29
mb-00148,KNbO3,5,102.99999999999996,40.99999999999999,KNbO3,KNbO3|5,12.7733,12.7733,12.7733,2.1048,116.857,54.875,4.47347,5.0,K1Nb1O3,38,1,6.681654609146945e-29
mb-00157,KZnSb,6,23.999999999999996,17.0,KZnSb,KZnSb|6,1.76231,1.76231,1.76231,2.18457,25.0561,17.6499,3.90829,6.0,K2Sb2Zn2,194,1,1.922711422509307e-28
mb-00158,NaLiTe,12,25.000000000000007,16.0,NaLiTe,NaLiTe|12,0.965333,0.965333,0.965333,1.9302,25.4256,15.3505,3.53803,12.0,Li4Na4Te4,62,1,2.957419769435416e-28
mb-00163,ScGeAu,6,100.0,44.0,ScGeAu,ScGeAu|6,3.07262,3.07262,3.07262,2.30418,92.642,41.5669,8.89785,6.0,Au2Ge2Sc2,186,1,1.1740887714844168e-28
mb-00164,BaSn,4,28.0,16.0,BaSn,BaSn|4,2.07477,2.07477,2.07477,2.06444,27.5723,16.1083,5.20841,4.0,Ba2Sn2,63,1,1.6325882222866103e-28
mb-00167,Ba2HfS4,7,58.00000000000001,30.0,Ba2HfS4,Ba2HfS4|7,3.77141,3.77141,3.77141,2.00622,57.6546,30.5697,4.93292,7.0,Ba2Hf1S4,139,1,1.957145171239637e-28
mb-00170,KZnP,6,36.0,26.0,KZnP,KZnP|6,3.58557,3.58557,3.58557,2.08382,36.5816,26.6336,3.03607,6.0,K2P2Zn2,194,1,1.4819921563943e-28
mb-00171,K2Au3,5,35.0,15.000000000000004,K2Au3,K2Au3|5,0.525211,0.525211,0.525211,2.6601,31.7726,13.1963,7.89777,5.0,Au3K2,71,1,1.406802879135814e-28
mb-00178,ZrAsRu,9,187.00000000000003,83.99999999999999,ZrAsRu,ZrAsRu|9,6.81657,6.81657,6.81657,2.17995,187.418,84.1715,8.8979,9.0,As3Ru3Zr3,189,1,1.4960449425987022e-28
mb-00179,KCuTe,6,29.0,17.999999999999996,KCuTe,KCuTe|6,1.49648,1.49648,1.49648,2.27461,28.5064,18.1493,4.31655,6.0,Cu2K2Te2,194,1,1.7714594069064195e-28
mb-00183,CaPdPb,9,57.00000000000001,25.000000000000007,CaPdPb,CaPdPb|9,1.08459,1.08459,1.08459,2.32521,54.4388,23.4396,8.12335,9.0,Ca3Pb3Pd3,189,1,2.1690411479793016e-28
mb-00185,KCuSe,6,34.0,22.0,KCuSe,KCuSe|6,1.92942,1.92942,1.92942,2.23663,34.4176,21.7113,4.02544,6.0,Cu2K2Se2,194,1,1.4982761383439295e-28
mb-00186,NaCuSe,6,40.99999999999999,20.000000000000004,NaCuSe,NaCuSe|6,1.84977,1.84977,1.84977,2.23483,40.7854,20.5919,4.6964,6.0,Cu2Na2Se2,129,1,1.1703099835679642e-28
mb-00190,As3Rh,16,116.00000000000004,72.00000000000001,As3Rh,As3Rh|16,3.7307449999999998,3.72947,3.73202,2.2819849999999997,113.8055,70.96494999999999,6.9206900000000005,16.0,As12Rh4,204,2,3.1448270869093942e-28
mb-00193,BaGa2,3,35.0,23.999999999999996,BaGa2,BaGa2|3,3.27235,3.27235,3.27235,2.12286,36.1038,24.1547,5.21345,3.0,Ba1Ga2,191,1,8.815513321100368e-29
mb-00194,CaPdF4,12,74.00000000000001,30.0,CaPdF4,CaPdF4|12,2.06097,2.06097,2.06097,2.28979,71.8529,32.2201,4.35967,12.0,Ca2F8Pd2,140,1,1.694880645429203e-28
mb-00200,Al2HgTe4,7,26.0,16.0,Al2HgTe4,Al2HgTe4|7,2.10439,2.10439,2.10439,2.17982,25.3311,15.8941,5.37696,7.0,Al2Hg1Te4,82,1,2.362365480207127e-28
mb-00201,BaPt5,6,148.00000000000003,63.0,BaPt5,BaPt5|6,3.01352,3.01352,3.01352,2.53776,150.032,60.18,15.8177,6.0,Ba1Pt5,191,1,1.168159634700681e-28
mb-00205,BPd2,6,179.00000000000006,47.99999999999999,BPd2,BPd2|6,3.82102,3.82102,3.82102,2.34822,154.184,48.4306,9.6469,6.0,B2Pd4,58,1,7.699493576433839e-29
mb-00206,K3AuO,5,19.0,12.000000000000002,K3AuO,K3AuO|5,0.987767,0.987767,0.987767,2.1008,18.5778,11.7236,3.64094,5.0,Au1K3O1,221,1,1.506234860594473e-28
mb-00209,KHgAs,6,26.0,17.999999999999996,KHgAs,KHgAs|6,1.04089,1.04089,1.04089,2.33893,25.7402,14.6855,5.54968,6.0,As2Hg2K2,194,1,1.882710462115499e-28
mb-00210,SbPd2,12,127.0,38.99999999999999,SbPd2,SbPd2|12,1.21501,1.21501,1.21501,2.60327,125.486,39.6599,10.457,12.0,Pd8Sb4,36,1,2.1253375609691846e-28
mb-00211,TlClO4,6,52.99999999999999,7.0,TlClO4,TlClO4|6,1.9836,1.9836,1.9836,2.19948,13.6278,5.04714,4.27761,6.0,Cl1O4Tl1,216,1,1.179462505655709e-28
