run,tier,n_scored,recall10_agl_proxy,n_in_bin_10,recall20_agl_proxy,n_in_bin_20,spearman_agl_proxy,recall10_agl_full,recall20_agl_full,spearman_agl_full,recall10_agl_oracleGamma,recall20_agl_oracleGamma,spearman_agl_oracleGamma,recall10_inhouse_proxy,recall20_inhouse_proxy,spearman_inhouse_proxy
separate 3-ens (baseline),ensemble,441,56.8,44,67.0,88,0.772,65.9,76.1,0.847,65.9,80.7,0.892,75.0,79.5,0.911
joint r4 huber 3-ens,ensemble,441,56.8,44,68.2,88,0.774,61.4,73.9,0.871,65.9,78.4,0.899,81.8,78.4,0.919
joint r5 ens B,ensemble,441,54.5,44,67.0,88,0.765,59.1,70.5,0.847,63.6,79.5,0.885,77.3,78.4,0.908
joint r5 ens C,ensemble,441,56.8,44,67.0,88,0.765,59.1,71.6,0.852,63.6,79.5,0.887,77.3,79.5,0.911
r7 matbench a=0.4,ensemble,441,56.8,44,65.9,88,0.767,61.4,73.9,0.845,61.4,77.3,0.883,77.3,77.3,0.904
r7 +AFLOW a=0.0,ensemble,441,56.8,44,65.9,88,0.773,63.6,73.9,0.861,65.9,78.4,0.89,77.3,78.4,0.915
r7 +AFLOW a=0.4,ensemble,441,50.0,44,67.0,88,0.758,59.1,73.9,0.839,61.4,77.3,0.873,75.0,79.5,0.893
separate 1-model,single,441,56.8,44,68.2,88,0.754,65.9,68.2,0.823,63.6,77.3,0.885,75.0,75.0,0.885
r4 huber s42,single,441,56.8,44,70.5,88,0.771,63.6,76.1,0.862,68.2,77.3,0.889,77.3,75.0,0.913
r4 huber s1,single,441,59.1,44,61.4,88,0.747,61.4,70.5,0.836,65.9,77.3,0.878,77.3,77.3,0.898
r4 huber s2,single,441,54.5,44,64.8,88,0.764,54.5,72.7,0.858,61.4,76.1,0.898,79.5,69.3,0.9
r5 huber s3,single,441,52.3,44,64.8,88,0.744,54.5,69.3,0.821,59.1,78.4,0.877,72.7,77.3,0.886
r5 huber s4,single,441,56.8,44,67.0,88,0.761,59.1,70.5,0.837,61.4,77.3,0.871,75.0,76.1,0.896
r5 huber s5,single,441,54.5,44,69.3,88,0.751,59.1,72.7,0.833,61.4,77.3,0.875,77.3,78.4,0.898
r5 huber s6,single,441,61.4,44,67.0,88,0.762,59.1,70.5,0.84,59.1,73.9,0.876,75.0,77.3,0.892
r5 huber s7,single,441,52.3,44,64.8,88,0.749,61.4,70.5,0.826,59.1,73.9,0.877,77.3,75.0,0.897
r5 huber s8,single,441,56.8,44,63.6,88,0.753,56.8,71.6,0.846,65.9,79.5,0.883,72.7,76.1,0.903
r7 mb a=0.4 s42,single,441,50.0,44,63.6,88,0.734,56.8,70.5,0.811,59.1,75.0,0.866,68.2,77.3,0.878
r7 mb a=0.4 s1,single,441,54.5,44,69.3,88,0.771,59.1,69.3,0.841,61.4,75.0,0.879,70.5,77.3,0.895
r7 mb a=0.4 s2,single,441,56.8,44,63.6,88,0.752,59.1,70.5,0.83,56.8,77.3,0.872,79.5,75.0,0.884
r7 af a=0.0 s42,single,441,54.5,44,65.9,88,0.763,61.4,75.0,0.842,63.6,79.5,0.878,77.3,78.4,0.899
r7 af a=0.0 s1,single,441,54.5,44,65.9,88,0.76,56.8,72.7,0.845,68.2,79.5,0.885,77.3,76.1,0.9
r7 af a=0.0 s2,single,441,56.8,44,63.6,88,0.758,61.4,71.6,0.842,61.4,76.1,0.883,70.5,76.1,0.901
r7 af a=0.4 s42,single,441,56.8,44,61.4,88,0.743,59.1,68.2,0.817,56.8,76.1,0.853,75.0,73.9,0.881
r7 af a=0.4 s1,single,441,54.5,44,69.3,88,0.748,56.8,72.7,0.823,54.5,75.0,0.86,72.7,75.0,0.871
r7 af a=0.4 s2,single,441,45.5,44,64.8,88,0.742,54.5,70.5,0.822,61.4,78.4,0.87,75.0,75.0,0.874
