target,model,split,mae_log10,n,source
K_VRH,decision_tree,train,0.010548043684257389,7691,matbench
K_VRH,decision_tree,val,0.12400851970063731,1648,matbench
K_VRH,decision_tree,test,0.11565872947283003,1648,matbench
K_VRH,random_forest,train,0.0371317649490525,7691,matbench
K_VRH,random_forest,val,0.09146194721122143,1648,matbench
K_VRH,random_forest,test,0.08683614693262733,1648,matbench
K_VRH,xgboost,train,0.06333659736660015,7691,matbench
K_VRH,xgboost,val,0.09254968558329552,1648,matbench
K_VRH,xgboost,test,0.08791909696375634,1648,matbench
G_VRH,decision_tree,train,0.012286946704164515,7691,matbench
G_VRH,decision_tree,val,0.1483173440324722,1648,matbench
G_VRH,decision_tree,test,0.14763106490233002,1648,matbench
G_VRH,random_forest,train,0.04539417832163424,7691,matbench
G_VRH,random_forest,val,0.11296511249881314,1648,matbench
G_VRH,random_forest,test,0.1061586185223707,1648,matbench
G_VRH,xgboost,train,0.08387831983130795,7691,matbench
G_VRH,xgboost,val,0.11485951703593932,1648,matbench
G_VRH,xgboost,test,0.11282507272892714,1648,matbench
K_VRH,decision_tree,train,0.009012487556462537,3894,aflow
K_VRH,decision_tree,val,0.07898092564794973,834,aflow
K_VRH,decision_tree,test,0.08383264668465551,835,aflow
K_VRH,random_forest,train,0.029094389163817864,3894,aflow
K_VRH,random_forest,val,0.058735285810103635,834,aflow
K_VRH,random_forest,test,0.06251203954542717,835,aflow
K_VRH,xgboost,train,0.037132223545352144,3894,aflow
K_VRH,xgboost,val,0.05700917994574889,834,aflow
K_VRH,xgboost,test,0.059170553078008156,835,aflow
G_VRH,decision_tree,train,0.01662106878101126,3894,aflow
G_VRH,decision_tree,val,0.1322482173911152,834,aflow
G_VRH,decision_tree,test,0.13073600861268633,835,aflow
G_VRH,random_forest,train,0.04815530889012265,3894,aflow
G_VRH,random_forest,val,0.09774107605810393,834,aflow
G_VRH,random_forest,test,0.1009678936316682,835,aflow
G_VRH,xgboost,train,0.07079944567471885,3894,aflow
G_VRH,xgboost,val,0.09858256830305977,834,aflow
G_VRH,xgboost,test,0.1034523547162116,835,aflow
gamma,decision_tree,train,0.001283919752895351,3894,aflow
gamma,decision_tree,val,0.024342429748815144,834,aflow
gamma,decision_tree,test,0.02132979443419366,835,aflow
gamma,random_forest,train,0.006322635339314202,3894,aflow
gamma,random_forest,val,0.017464451587824708,834,aflow
gamma,random_forest,test,0.014914353395586903,835,aflow
gamma,xgboost,train,0.009793342570811442,3894,aflow
gamma,xgboost,val,0.01731671652950898,834,aflow
gamma,xgboost,test,0.015574280717338051,835,aflow
