material_id,rank_in_true_decile,true_kappa_proxy,true_K_GPa,true_G_GPa,n_ensembles_missing,n_singles_missing,missed_by_every_run,worst_pred_rank,best_pred_rank,missed_by_every_ensemble,missed_by_every_single,K_over_G_true,gamma_derived_true,formula,spacegroup,spacegroup_number,n_sites,rank__separate 3-ens (baseline),rank__joint r4 huber 3-ens,rank__joint r5 ens B,rank__joint r5 ens C,rank__r7 matbench a=0.4,rank__r7 +AFLOW a=0.0,rank__r7 +AFLOW a=0.4,rank__separate 1-model,rank__r4 huber s42,rank__r4 huber s1,rank__r4 huber s2,rank__r5 huber s3,rank__r5 huber s4,rank__r5 huber s5,rank__r5 huber s6,rank__r5 huber s7,rank__r5 huber s8,rank__r7 mb a=0.4 s42,rank__r7 mb a=0.4 s1,rank__r7 mb a=0.4 s2,rank__r7 af a=0.0 s42,rank__r7 af a=0.0 s1,rank__r7 af a=0.0 s2,rank__r7 af a=0.4 s42,rank__r7 af a=0.4 s1,rank__r7 af a=0.4 s2
mb-10411,13,0.49928219227594595,115.99997439705484,6.999999655588273,7,18,False,543,139,True,False,16.571425729206883,3.7464113756478836,VCu3O4,I-42m,121,8,219,268,243,416,171,289,242,280,257,226,345,139,293,352,214,490,543,195,178,175,262,271,366,234,319,215
mb-10867,19,0.6898743608192066,73.99999679089139,6.999999655588273,7,19,True,734,323,True,True,10.571428633116483,3.421232881498236,TmAg3,Pm-3m,221,4,655,427,558,435,515,565,602,734,325,515,448,582,469,619,412,480,421,718,530,323,386,650,643,567,530,717
mb-10833,23,0.8314880733310157,85.9999956543673,8.000000242428033,7,16,False,318,135,True,False,10.749999131033269,3.4349111768856746,Cu2Se,Fm-3m,225,3,233,227,172,187,230,183,226,222,314,135,280,176,164,202,196,182,214,255,236,213,172,141,318,213,237,278
mb-02504,33,1.4069105979590313,183.0000346135133,12.99999958354357,7,13,False,517,87,True,False,14.076926190456902,3.6384390347827233,SrAcTl2,Fm-3m,225,4,429,181,246,266,232,259,244,517,307,276,87,348,276,155,409,131,410,257,129,376,129,445,358,477,146,237
mb-10879,49,1.807099779357115,66.00000336894507,10.0,7,19,True,854,184,True,True,6.6000003368945075,2.9899329371208014,MgAgAs,F-43m,216,3,414,606,554,673,321,447,429,524,507,566,764,395,835,450,654,535,854,403,184,474,407,249,733,513,352,421
mb-05348,56,2.263402047678307,52.99999485089853,10.0,7,19,True,681,219,True,True,5.299999485089853,2.762548158922983,CeTe,Fm-3m,225,2,447,418,545,415,293,489,351,536,483,280,534,557,586,491,681,290,315,219,369,330,441,442,585,295,469,288
mb-10805,65,2.448689675789015,137.00002845151565,15.000001875678118,7,17,False,1057,69,True,False,9.133334088021384,3.2967915166882675,Zr3Pt,Pm-3m,221,4,274,701,684,470,761,369,743,69,860,1005,330,1057,270,824,633,889,125,693,960,619,168,658,413,522,665,1051
mb-02000,74,2.6122227039345955,88.00000242854486,12.99999958354357,7,19,True,495,173,True,True,6.769231172894978,3.015228485722375,Cs2NaAlH6,Fm-3m,225,10,441,244,261,265,243,316,221,294,287,294,181,296,250,242,470,229,207,173,429,202,231,293,495,242,235,226
mb-00698,77,2.649617339851789,27.00000353563863,8.000000242428033,7,19,True,885,607,True,True,3.3750003396804917,2.2639752685019596,Sr(CdGe)2,I4/mmm,139,5,690,750,779,778,777,663,802,666,694,703,826,877,701,759,805,801,692,765,808,735,607,660,711,857,649,885
mb-10136,87,3.0910714255158327,31.00000309911223,9.000000373963129,7,19,True,500,256,True,True,3.4444446456685482,2.286885311606364,Cu2SnSe4,I-42m,121,7,256,365,347,356,426,315,407,304,323,431,356,303,379,377,262,492,313,411,374,497,334,291,350,359,365,500
