,separate 3-ens (baseline),joint r4 huber 3-ens,joint r5 ens B,joint r5 ens C,r7 matbench a=0.4,r7 +AFLOW a=0.0,r7 +AFLOW a=0.4,separate 1-model,r4 huber s42,r4 huber s1,r4 huber s2,r5 huber s3,r5 huber s4,r5 huber s5,r5 huber s6,r5 huber s7,r5 huber s8,r7 mb a=0.4 s42,r7 mb a=0.4 s1,r7 mb a=0.4 s2,r7 af a=0.0 s42,r7 af a=0.0 s1,r7 af a=0.0 s2,r7 af a=0.4 s42,r7 af a=0.4 s1,r7 af a=0.4 s2
separate 3-ens (baseline),49.0,39.0,38.0,36.0,42.0,40.0,38.0,44.0,40.0,41.0,37.0,36.0,39.0,37.0,36.0,37.0,37.0,40.0,41.0,39.0,36.0,40.0,37.0,40.0,37.0,37.0
joint r4 huber 3-ens,39.0,49.0,42.0,41.0,43.0,39.0,38.0,37.0,47.0,44.0,45.0,39.0,40.0,40.0,42.0,39.0,40.0,43.0,39.0,39.0,37.0,42.0,39.0,38.0,37.0,37.0
joint r5 ens B,38.0,42.0,51.0,41.0,42.0,42.0,41.0,35.0,43.0,42.0,40.0,46.0,43.0,45.0,39.0,39.0,41.0,42.0,41.0,39.0,39.0,43.0,40.0,40.0,41.0,36.0
joint r5 ens C,36.0,41.0,41.0,51.0,43.0,42.0,39.0,35.0,46.0,42.0,40.0,37.0,40.0,43.0,45.0,43.0,44.0,42.0,40.0,40.0,38.0,43.0,40.0,40.0,37.0,39.0
r7 matbench a=0.4,42.0,43.0,42.0,43.0,56.0,44.0,42.0,39.0,47.0,44.0,43.0,39.0,44.0,43.0,44.0,41.0,41.0,50.0,50.0,44.0,37.0,44.0,45.0,42.0,41.0,40.0
r7 +AFLOW a=0.0,40.0,39.0,42.0,42.0,44.0,51.0,42.0,38.0,43.0,41.0,41.0,40.0,45.0,41.0,41.0,40.0,39.0,42.0,44.0,37.0,42.0,47.0,44.0,42.0,39.0,39.0
r7 +AFLOW a=0.4,38.0,38.0,41.0,39.0,42.0,42.0,48.0,35.0,40.0,38.0,38.0,39.0,42.0,40.0,37.0,37.0,38.0,42.0,44.0,39.0,39.0,41.0,40.0,44.0,42.0,39.0
separate 1-model,44.0,37.0,35.0,35.0,39.0,38.0,35.0,53.0,36.0,40.0,36.0,35.0,36.0,35.0,35.0,33.0,36.0,38.0,38.0,40.0,35.0,38.0,35.0,36.0,36.0,35.0
r4 huber s42,40.0,47.0,43.0,46.0,47.0,43.0,40.0,36.0,58.0,44.0,44.0,42.0,42.0,43.0,46.0,44.0,43.0,46.0,43.0,42.0,38.0,45.0,44.0,41.0,38.0,39.0
r4 huber s1,41.0,44.0,42.0,42.0,44.0,41.0,38.0,40.0,44.0,59.0,43.0,42.0,41.0,39.0,40.0,40.0,42.0,41.0,41.0,41.0,38.0,44.0,36.0,40.0,39.0,39.0
r4 huber s2,37.0,45.0,40.0,40.0,43.0,41.0,38.0,36.0,44.0,43.0,49.0,38.0,40.0,42.0,41.0,38.0,38.0,42.0,41.0,37.0,39.0,42.0,38.0,37.0,38.0,39.0
r5 huber s3,36.0,39.0,46.0,37.0,39.0,40.0,39.0,35.0,42.0,42.0,38.0,56.0,40.0,41.0,37.0,36.0,39.0,39.0,41.0,37.0,41.0,41.0,38.0,39.0,40.0,35.0
r5 huber s4,39.0,40.0,43.0,40.0,44.0,45.0,42.0,36.0,42.0,41.0,40.0,40.0,55.0,42.0,40.0,37.0,39.0,43.0,45.0,39.0,41.0,44.0,44.0,44.0,41.0,37.0
r5 huber s5,37.0,40.0,45.0,43.0,43.0,41.0,40.0,35.0,43.0,39.0,42.0,41.0,42.0,52.0,41.0,40.0,41.0,42.0,41.0,40.0,39.0,41.0,40.0,39.0,39.0,37.0
r5 huber s6,36.0,42.0,39.0,45.0,44.0,41.0,37.0,35.0,46.0,40.0,41.0,37.0,40.0,41.0,52.0,40.0,40.0,42.0,41.0,38.0,36.0,43.0,43.0,39.0,35.0,36.0
r5 huber s7,37.0,39.0,39.0,43.0,41.0,40.0,37.0,33.0,44.0,40.0,38.0,36.0,37.0,40.0,40.0,51.0,38.0,37.0,40.0,39.0,37.0,43.0,38.0,36.0,35.0,37.0
r5 huber s8,37.0,40.0,41.0,44.0,41.0,39.0,38.0,36.0,43.0,42.0,38.0,39.0,39.0,41.0,40.0,38.0,51.0,40.0,39.0,34.0,36.0,40.0,38.0,38.0,35.0,38.0
r7 mb a=0.4 s42,40.0,43.0,42.0,42.0,50.0,42.0,42.0,38.0,46.0,41.0,42.0,39.0,43.0,42.0,42.0,37.0,40.0,56.0,47.0,42.0,38.0,42.0,44.0,42.0,44.0,38.0
r7 mb a=0.4 s1,41.0,39.0,41.0,40.0,50.0,44.0,44.0,38.0,43.0,41.0,41.0,41.0,45.0,41.0,41.0,40.0,39.0,47.0,58.0,39.0,43.0,42.0,44.0,44.0,45.0,41.0
r7 mb a=0.4 s2,39.0,39.0,39.0,40.0,44.0,37.0,39.0,40.0,42.0,41.0,37.0,37.0,39.0,40.0,38.0,39.0,34.0,42.0,39.0,52.0,35.0,40.0,37.0,38.0,38.0,36.0
r7 af a=0.0 s42,36.0,37.0,39.0,38.0,37.0,42.0,39.0,35.0,38.0,38.0,39.0,41.0,41.0,39.0,36.0,37.0,36.0,38.0,43.0,35.0,51.0,39.0,37.0,39.0,38.0,37.0
r7 af a=0.0 s1,40.0,42.0,43.0,43.0,44.0,47.0,41.0,38.0,45.0,44.0,42.0,41.0,44.0,41.0,43.0,43.0,40.0,42.0,42.0,40.0,39.0,56.0,44.0,41.0,39.0,40.0
r7 af a=0.0 s2,37.0,39.0,40.0,40.0,45.0,44.0,40.0,35.0,44.0,36.0,38.0,38.0,44.0,40.0,43.0,38.0,38.0,44.0,44.0,37.0,37.0,44.0,56.0,39.0,38.0,37.0
r7 af a=0.4 s42,40.0,38.0,40.0,40.0,42.0,42.0,44.0,36.0,41.0,40.0,37.0,39.0,44.0,39.0,39.0,36.0,38.0,42.0,44.0,38.0,39.0,41.0,39.0,51.0,41.0,37.0
r7 af a=0.4 s1,37.0,37.0,41.0,37.0,41.0,39.0,42.0,36.0,38.0,39.0,38.0,40.0,41.0,39.0,35.0,35.0,35.0,44.0,45.0,38.0,38.0,39.0,38.0,41.0,51.0,34.0
r7 af a=0.4 s2,37.0,37.0,36.0,39.0,40.0,39.0,39.0,35.0,39.0,39.0,39.0,35.0,37.0,37.0,36.0,37.0,38.0,38.0,41.0,36.0,37.0,40.0,37.0,37.0,34.0,51.0
