,separate 3-ens (baseline),joint r4 huber 3-ens,joint r5 ens B,joint r5 ens C,r7 matbench a=0.4,r7 +AFLOW a=0.0,r7 +AFLOW a=0.4,separate 1-model,r4 huber s42,r4 huber s1,r4 huber s2,r5 huber s3,r5 huber s4,r5 huber s5,r5 huber s6,r5 huber s7,r5 huber s8,r7 mb a=0.4 s42,r7 mb a=0.4 s1,r7 mb a=0.4 s2,r7 af a=0.0 s42,r7 af a=0.0 s1,r7 af a=0.0 s2,r7 af a=0.4 s42,r7 af a=0.4 s1,r7 af a=0.4 s2
separate 3-ens (baseline),1.0,0.6610169491525424,0.6129032258064516,0.5625,0.6666666666666666,0.6666666666666666,0.6440677966101694,0.7586206896551724,0.5970149253731343,0.6119402985074627,0.6065573770491803,0.5217391304347826,0.6,0.578125,0.5538461538461539,0.5873015873015873,0.5873015873015873,0.6153846153846154,0.6212121212121212,0.6290322580645161,0.5625,0.6153846153846154,0.5441176470588235,0.6666666666666666,0.5873015873015873,0.5873015873015873
joint r4 huber 3-ens,0.6610169491525424,1.0,0.7241379310344828,0.6949152542372882,0.6935483870967742,0.639344262295082,0.6440677966101694,0.5692307692307692,0.7833333333333333,0.6875,0.8490566037735849,0.5909090909090909,0.625,0.6557377049180327,0.711864406779661,0.639344262295082,0.6666666666666666,0.6935483870967742,0.5735294117647058,0.6290322580645161,0.5873015873015873,0.6666666666666666,0.5909090909090909,0.6129032258064516,0.5873015873015873,0.5873015873015873
joint r5 ens B,0.6129032258064516,0.7241379310344828,1.0,0.6721311475409836,0.6461538461538462,0.7,0.7068965517241379,0.5072463768115942,0.6515151515151515,0.6176470588235294,0.6666666666666666,0.7540983606557377,0.6825396825396826,0.7758620689655172,0.609375,0.6190476190476191,0.6721311475409836,0.6461538461538462,0.6029411764705882,0.609375,0.6190476190476191,0.671875,0.5970149253731343,0.6451612903225806,0.6721311475409836,0.5454545454545454
joint r5 ens C,0.5625,0.6949152542372882,0.6721311475409836,1.0,0.671875,0.7,0.65,0.5072463768115942,0.7301587301587301,0.6176470588235294,0.6666666666666666,0.5285714285714286,0.6060606060606061,0.7166666666666667,0.7758620689655172,0.7288135593220338,0.7586206896551724,0.6461538461538462,0.5797101449275363,0.6349206349206349,0.59375,0.671875,0.5970149253731343,0.6451612903225806,0.5692307692307692,0.6190476190476191
r7 matbench a=0.4,0.6666666666666666,0.6935483870967742,0.6461538461538462,0.671875,1.0,0.6984126984126984,0.6774193548387096,0.5571428571428572,0.7014925373134329,0.6197183098591549,0.6935483870967742,0.5342465753424658,0.6567164179104478,0.6615384615384615,0.6875,0.6212121212121212,0.6212121212121212,0.8064516129032258,0.78125,0.6875,0.5285714285714286,0.6470588235294118,0.6716417910447762,0.6461538461538462,0.6212121212121212,0.5970149253731343
r7 +AFLOW a=0.0,0.6666666666666666,0.639344262295082,0.7,0.7,0.6984126984126984,1.0,0.7368421052631579,0.5757575757575758,0.6515151515151515,0.5942028985507246,0.6949152542372882,0.5970149253731343,0.7377049180327869,0.6612903225806451,0.6612903225806451,0.6451612903225806,0.6190476190476191,0.6461538461538462,0.676923076923077,0.5606060606060606,0.7,0.7833333333333333,0.6984126984126984,0.7,0.6190476190476191,0.6190476190476191
r7 +AFLOW a=0.4,0.6440677966101694,0.6440677966101694,0.7068965517241379,0.65,0.6774193548387096,0.7368421052631579,1.0,0.5303030303030303,0.6060606060606061,0.5507246376811594,0.6440677966101694,0.6,0.6885245901639344,0.6666666666666666,0.5873015873015873,0.5967741935483871,0.6229508196721312,0.6774193548387096,0.7096774193548387,0.639344262295082,0.65,0.6507936507936508,0.625,0.8,0.7368421052631579,0.65
separate 1-model,0.7586206896551724,0.5692307692307692,0.5072463768115942,0.5072463768115942,0.5571428571428572,0.5757575757575758,0.5303030303030303,1.0,0.48,0.5555555555555556,0.5454545454545454,0.47297297297297297,0.5,0.5,0.5,0.4647887323943662,0.5294117647058824,0.5352112676056338,0.5205479452054794,0.6153846153846154,0.5072463768115942,0.5352112676056338,0.47297297297297297,0.5294117647058824,0.5294117647058824,0.5072463768115942
r4 huber s42,0.5970149253731343,0.7833333333333333,0.6515151515151515,0.7301587301587301,0.7014925373134329,0.6515151515151515,0.6060606060606061,0.48,1.0,0.6027397260273972,0.6984126984126984,0.5833333333333334,0.5915492957746479,0.6417910447761194,0.71875,0.676923076923077,0.6515151515151515,0.6764705882352942,0.589041095890411,0.6176470588235294,0.5352112676056338,0.6521739130434783,0.6285714285714286,0.6029411764705882,0.5352112676056338,0.5571428571428572
r4 huber s1,0.6119402985074627,0.6875,0.6176470588235294,0.6176470588235294,0.6197183098591549,0.5942028985507246,0.5507246376811594,0.5555555555555556,0.6027397260273972,1.0,0.6615384615384615,0.5753424657534246,0.5616438356164384,0.5416666666666666,0.5633802816901409,0.5714285714285714,0.6176470588235294,0.5540540540540541,0.5394736842105263,0.5857142857142857,0.5277777777777778,0.6197183098591549,0.45569620253164556,0.5714285714285714,0.5492957746478874,0.5492957746478874
