material_id,rank_in_true_decile,true_kappa_proxy,true_K_GPa,true_G_GPa,n_ensembles_missing,n_singles_missing,missed_by_every_run,worst_pred_rank,best_pred_rank,missed_by_every_ensemble,missed_by_every_single,K_over_G_true,gamma_derived_true,formula,spacegroup,spacegroup_number,n_sites,rank__separate 3-ens (baseline),rank__joint r4 huber 3-ens,rank__joint r5 ens B,rank__joint r5 ens C,rank__r7 matbench a=0.4,rank__r7 +AFLOW a=0.0,rank__r7 +AFLOW a=0.4,rank__separate 1-model,rank__r4 huber s42,rank__r4 huber s1,rank__r4 huber s2,rank__r5 huber s3,rank__r5 huber s4,rank__r5 huber s5,rank__r5 huber s6,rank__r5 huber s7,rank__r5 huber s8,rank__r7 mb a=0.4 s42,rank__r7 mb a=0.4 s1,rank__r7 mb a=0.4 s2,rank__r7 af a=0.0 s42,rank__r7 af a=0.0 s1,rank__r7 af a=0.0 s2,rank__r7 af a=0.4 s42,rank__r7 af a=0.4 s1,rank__r7 af a=0.4 s2
mb-09550,1,0.02756290158921114,16.000002110419054,1.0,0,0,False,89,25,False,False,16.000002110419054,3.724138015727272,NaLi3,P6_3/mmc,194,8,49,34,44,39,43,49,62,74,38,25,44,44,38,54,72,47,32,49,43,61,27,67,48,58,56,89
mb-09762,2,0.13339957031073432,3.000000062327188,1.0,0,0,False,6,1,False,False,3.000000062327188,2.131578970676372,Rb,P6_3/mmc,194,4,4,3,2,5,3,3,2,5,1,3,4,1,6,3,2,5,5,5,3,3,3,3,3,6,2,2
mb-04820,3,0.20625042743193042,2.000000065950592,1.0,0,0,False,32,1,False,False,2.000000065950592,1.6875000347786322,GaBr3,P2_1/c,14,16,8,6,5,7,6,6,4,10,6,8,2,6,2,7,32,7,3,7,6,6,10,5,6,1,5,3
mb-01931,4,0.20625042743193042,2.000000065950592,1.0,0,0,False,16,1,False,False,2.000000065950592,1.6875000347786322,F2,(symmetry analysis failed),-1,4,7,5,6,3,4,5,7,13,5,4,5,5,8,5,4,1,6,3,4,4,1,6,4,7,16,6
mb-07147,5,0.2412660152319221,9.000000373963129,2.000000065950592,0,0,False,54,11,False,False,4.500000038592731,2.58510639241289,Hg,P6/mmm,191,3,25,16,23,22,24,25,27,26,12,29,20,11,33,32,31,40,15,34,18,27,54,37,17,29,30,28
mb-09397,6,0.3005762747858491,168.99998917213298,6.000000322506156,5,12,False,408,62,False,False,28.16666334803511,4.023809473641243,ThRu2,Fd-3m,227,6,158,298,204,269,175,96,171,159,353,347,192,171,152,336,167,302,408,120,142,375,73,225,62,256,125,210
mb-06446,7,0.37731098175927874,6.000000322506156,2.000000065950592,0,0,False,72,8,False,False,3.000000062327188,2.131578970676372,SF6,Im-3m,229,7,10,19,10,16,30,12,24,11,72,28,10,8,13,13,17,8,52,14,49,53,14,20,26,26,39,25
mb-02116,8,0.3878776564399943,1.0,1.0,0,0,False,7,1,False,False,1.0,1.0384615384615383,AsCl3,P2_12_12_1,19,16,2,2,3,2,1,4,5,2,4,2,1,4,1,2,5,2,2,1,1,1,4,2,7,5,4,5
mb-10912,9,0.3878776564399943,1.0,1.0,4,9,False,1096,6,False,False,1.0,1.0384615384615383,P,P-1,2,24,32,815,16,256,196,390,71,6,813,584,1026,19,12,38,528,128,281,757,103,90,52,475,1096,62,21,304
mb-02190,10,0.4606144796008597,5.0000001782354415,2.000000065950592,0,0,False,41,8,False,False,2.5000000066794805,1.9285714315158526,F2,C2/m,12,4,23,10,13,9,9,11,18,36,8,11,12,13,17,26,9,14,10,11,11,12,11,27,8,18,20,41
mb-02396,11,0.4606144796008597,5.0000001782354415,2.000000065950592,0,0,False,89,15,False,False,2.5000000066794805,1.9285714315158526,SO3,Pna2_1,33,48,46,69,25,48,41,40,38,71,73,66,89,33,15,50,45,44,71,46,46,47,59,51,25,43,51,32
mb-01341,12,0.49708888507860854,43.00000526153365,5.0000001782354415,5,13,False,616,67,False,False,8.600000745741744,3.2430168383283364,YbInHg2,Fm-3m,225,4,116,156,218,397,255,272,167,67,202,84,229,616,102,170,357,603,227,297,548,94,162,498,272,114,213,242
mb-10411,13,0.49928219227594595,115.99997439705484,6.999999655588273,7,18,False,543,139,True,False,16.571425729206883,3.7464113756478836,VCu3O4,I-42m,121,8,219,268,243,416,171,289,242,280,257,226,345,139,293,352,214,490,543,195,178,175,262,271,366,234,319,215
mb-00559,14,0.5042233254659997,11.99999857031013,3.000000062327188,0,1,False,166,61,False,False,3.9999994403338044,2.4545452984402023,KRb2InCl6,Fm-3m,225,10,110,72,69,77,82,64,88,166,62,100,67,76,73,69,87,77,76,92,102,77,66,61,73,90,83,103
mb-08053,15,0.5833643322938841,4.000000263802373,2.000000065950592,0,0,False,7,1,False,False,2.000000065950592,1.6875000347786322,K,(symmetry analysis failed),-1,2,1,1,1,1,2,2,1,1,2,1,6,7,3,1,1,3,1,2,2,2,5,1,2,4,1,1
mb-05892,16,0.6420005642511714,81.00000673133655,6.999999655588273,1,5,False,243,14,False,False,11.571430102381825,3.4936103270142063,PmAgAu2,Fm-3m,225,4,242,45,71,34,126,39,145,175,26,52,72,151,48,44,14,55,43,226,53,178,65,24,67,96,172,243
mb-03104,17,0.6523834445708752,276.0000414338015,10.0,6,16,False,431,131,False,False,27.600004143380154,4.015086271848553,RbAcTe2,Fm-3m,225,4,246,201,298,163,219,242,309,169,131,319,267,216,399,301,199,149,168,216,408,134,261,240,237,375,176,431
mb-00671,18,0.6824034264091129,18.000000106278666,4.000000263802373,1,5,False,383,68,False,False,4.499999729792015,2.585106316925162,Cs2CN2,P-1,2,15,105,119,176,94,155,115,123,98,68,198,131,383,113,172,77,86,126,154,116,244,202,114,72,157,82,164
