Number of Atoms,n,median,p25,p75
3,8,14.553422617077592,10.813734429491118,19.61548054196541
4,56,3.550214259109185,2.537227920002691,5.056122376035475
5,98,3.6444135056334,2.3630206230175923,5.740535359775433
6,220,4.03739470996701,2.430463168143344,8.424272638237506
7,114,2.3154687431340975,1.4962045925245138,5.833795656382508
8,369,1.1959790435628386,0.5848103998826293,2.344271360973086
9,350,3.3210703386838816,1.176811114724905,5.725018193018405
10,506,1.3028073496139407,0.5249128625830783,3.3030224700005286
11,146,2.1669817565667753,0.7798318221043994,5.419985172119324
12,1496,1.4497232224748933,0.9008159942701962,2.822347623906751
13,251,2.508111986984201,0.9089467898897995,4.95228484921331
14,1241,2.111839897605092,1.1681090929887357,3.482799366765544
15,252,0.7731375311540163,0.18472700145526635,3.469445017481727
16,965,0.8871428114121958,0.2890742634653822,1.7635960174048784
17,1302,0.35359210870564495,0.3024802987429577,0.43771410209633005
18,1750,0.9417060741927468,0.5137131607062034,2.0078243884349973
19,856,4.135539384754666,3.2512537770601107,4.6091434294199045
20,3843,0.7102275510599969,0.3049502867304974,2.721225349565513
21,258,3.277589083513388,1.6186018445334733,4.200611288394944
22,4055,2.941638614874548,0.9127397990431463,3.601074227151109
23,233,1.738679732880701,1.1347853093151123,9.857284391176504
24,2642,1.0119627103114537,0.518756620628432,2.826956233928094
25,142,0.40004226222628947,0.19222858988611208,4.1297561821366955
26,980,1.3351182659368956,0.4311409970650415,3.522089760709062
27,223,1.081146532171798,0.1994027669121869,1.9429132382541228
28,2517,0.4958966960670833,0.1961231083421287,1.10839947120914
29,248,0.18216732003345054,0.1521314640087766,1.319209615454171
30,632,1.8161241050736678,0.2698091272943483,2.7912193771983933
31,119,0.304914109166527,0.2608280145102172,0.42997399565286354
32,1725,0.866599490992498,0.1895112898445226,2.1373509681125418
33,159,0.2908250437621359,0.260277324143923,0.3356554470174844
34,451,0.9324202450871388,0.2713804208433811,2.262561799114227
35,208,0.2844901320611172,0.23237067915948462,0.8388177989691001
36,4097,0.6740127374627594,0.4118200533815369,1.3342793435851563
37,41,0.7240007627482274,0.4623816781351199,1.7446245565217586
38,512,0.9123563917532413,0.4648915780235841,2.647094381074283
39,36,2.243028789162634,0.45147059013561613,3.032375553893948
40,43,2.6409979474158947,0.7611122343428867,3.441586840051296
41,3,0.4993001398501597,0.4890053008521939,0.4997766311044348
42,18,1.8738931228790874,1.2570125766615188,1.9780286105089206
44,29,1.7888183946256804,0.1216925625099105,2.998471187672176
46,6,1.1808166888469513,0.42765212085449783,2.0154326921662253
48,17,0.9193455438440566,0.4648942183052589,2.9069774033703677
49,1,18.52230388261461,18.52230388261461,18.52230388261461
50,4,1.6109803317495182,1.3864146955608954,2.1834877934730494
52,11,1.0357880977080822,0.7006863014410569,1.5765513113735419
54,12,1.2992427590171274,0.9113759501625321,1.578415441404477
56,38,0.6403757286896816,0.18731467005930713,0.84639265614276
58,6,1.3606930084262556,0.9081632863889186,1.6928717482245172
60,13,1.7240924156536004,1.3003516103049528,2.250375590977743
64,7,0.7734493417299745,0.497279291816841,0.8767214934152373
68,3,1.6100297242543622,1.5924273103060869,1.9049151418801715
70,2,1.2997758989213668,0.8708663810600561,1.7286854167826777
72,2,0.8779287950238763,0.7775880439987445,0.9782695460490081
80,6,0.7966879146889135,0.745929674531185,1.058660021359359
84,1,2.2642086312806105,2.2642086312806105,2.2642086312806105
