material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,space_group,space_group_number,crystal_system
7f8d1f0d38,CrSi3Cl16,20,740.9895310637913,1.5765273088697558,703.5006000000001,3.657127940314808,0.5662226859736705,0.1651716191868483,0.087807163314035,0.4263855957948267,2.96816056008762,0.0029883688768935,0.0012289740054427,0.0031165395509807,0.0093725039463927,True,P1,1.0,triclinic
68654f5a84,SbP2Cl13,32,1077.4982652983622,1.9867831740696824,1289.193048,1.9814337063701384,0.7717411113653602,0.0896194967702664,0.0264734948316087,0.3276348439568949,1.957979686605137,0.0081268276512431,0.005125228733052,0.0081527605984785,0.0125476604611938,True,Cmc2_1,36.0,orthorhombic
9836be9ac8,BI5,24,1500.1371346469814,2.8573420800071,2581.3334,3.5332798527476768,0.8991465465454856,0.0432354404632547,0.0532823256562868,0.3827096747897989,2.434716725322585,0.0079356269438602,0.0046436141537092,0.0079909968789478,0.0139786869014448,True,Pbcm,57.0,orthorhombic
2d394d35d3,BPI6,32,1424.757068425067,3.744537906365719,3212.846328,2.705986845508568,0.961387329883902,0.1364677753362844,0.0481061513011211,0.3411690998027462,2.060182988039729,0.0081709250499412,0.0039611521308884,0.0081281582297231,0.0160988369779309,True,Pnma,62.0,orthorhombic
c636d53106,POsCl10,24,800.9302370640861,2.3872950747913704,1151.467524,2.752718726397454,0.8570691500856995,0.087712743992315,0.0611203594442601,0.358960839838024,2.208214341996864,0.0081941017240013,0.0039005268681237,0.0080898148640093,0.0162806297889361,True,P4/n,85.0,tetragonal
a0d472593b,TaSb(As2Cl13)2,32,1060.99897354422,2.385438329172322,1524.17228,2.3496597575384004,1.0493116660145947,0.0794461016218972,0.0180926001631024,0.3056420162044459,1.8082449696064096,0.0135493500552302,0.0093725299865711,0.0134685268801503,0.0191301651750025,True,Cm,8.0,monoclinic
973f1cceea,YAg3Br28,32,1387.752317690817,3.1706909423491485,2649.82245,6.850798000509866,1.5792797579310018,0.0816056685662037,0.0390530770670128,0.3929624725791982,2.544649484132577,0.0114970135513341,0.0070268543793193,0.0115735757814455,0.0192858907300346,True,Pm,6.0,monoclinic
79702373b2,Au3IBr12,32,1298.0036554548146,4.2898899909842205,3353.304354,6.911465188915198,1.58859476831391,0.1307306655896252,0.0573645576573327,0.3932539002748033,2.5478947429213123,0.0097207397149272,0.0046485305084103,0.0097149513304342,0.021026579684492,True,P2_1,4.0,monoclinic
0933b39611,P(WCl6)2,30,1127.8134502528603,2.4267014119953543,1648.179524,3.475942687473708,1.0529917680655312,0.1276234919805938,0.0613702773280752,0.3624237924277795,2.2390397734640515,0.0096275197066504,0.0044670171703911,0.0096525222917749,0.0212497868232969,True,P2_1/m,11.0,monoclinic
5a5edea9fb,AgBr5,24,930.6399898030896,3.621326994071097,2029.5528,8.571231039436816,1.749588101228933,0.0636175116918986,0.0463371933956437,0.4044403277647602,2.677916210945791,0.0128335000022858,0.007501710364389,0.0126802387168365,0.0218197020179161,True,P2_1/c,14.0,monoclinic
aa41e5b5fc,TaSbCl10,36,1257.1561117883434,2.6043762594328435,1971.71364,3.6459685438353553,1.3014520222723396,0.0751415080390179,0.0432571273996579,0.3404999601587871,2.0549307047781147,0.0132246949221725,0.0076481174036975,0.0131793647374448,0.0220247999895697,True,C2,5.0,monoclinic
91f33bea6a,CrPCl9,22,664.2945909197306,2.0099953575216096,804.0937240000001,4.192320572847195,1.0643306336892189,0.0675887691773404,0.0717450942674689,0.3829659309902006,2.437367544522942,0.0101056242970197,0.004954424840979,0.009934085374555,0.0220382670851927,True,Cmme,67.0,orthorhombic
12d269d409,AgTeBr10,24,1048.512665278208,3.276720139116869,2069.0164,5.913962418493875,1.6142351673140756,0.0597857602290926,0.0099568572760713,0.3749050714765325,2.3562132476355213,0.0170932035702388,0.0130546920556764,0.0171824687229745,0.0225819392900111,True,P-1,2.0,triclinic
f5da5e100f,TaOs2Cl15,36,1148.0143127873378,3.1625147391906,2186.40576,4.407451780473253,1.3121932677874526,0.0994408748194372,0.0780463040136804,0.3645785325294296,2.2585768494791467,0.0096471016796334,0.0040113605050321,0.0095282548823348,0.0229309255532763,True,C2/m,12.0,monoclinic
c5d465fdc1,P2Br9Cl,24,913.777549642852,2.967660564285213,1633.073048,2.100866153944389,0.9281668538316812,0.0423466822728315,0.0747840402141727,0.3074546441534581,1.8198926569967209,0.0126745872635189,0.0058826647189985,0.0125269432365437,0.0259383929270008,True,Pma2,28.0,orthorhombic
8fd0724d08,SbP2NCl12,32,990.8459167556448,2.0886502639005884,1246.300448,2.848740602076074,1.2253679912836388,0.0675558832644485,0.035373045649309,0.3118983681249614,1.848950954070012,0.0171624756881846,0.0113312074099894,0.0169384086463438,0.026265691228104,True,C2/c,15.0,monoclinic
d800a655be,FeSeBr18,20,742.6634166199422,3.5172808549101275,1573.077,3.921491710041204,1.3602643678345456,0.0422407445021365,0.0365328563357242,0.3445381295324569,2.0869590466806054,0.0177961025912349,0.0117669133760304,0.0175968999093873,0.0264300448182699,True,R-3,148.0,trigonal
