element,n_total,n_low_kappa,frac_of_all,frac_of_low_kappa,enrichment
O,11612,1545,0.3484680250877772,0.09479109147800478,0.27202235112999945
Rb,3863,3132,0.11592593704048255,0.1921590281612369,1.6576016814436698
Se,3815,2618,0.11448549050205564,0.16062335112583595,1.4030018164000606
Tb,3731,1845,0.11196470905980854,0.11319712865819989,1.0110072147620464
Cs,3628,3074,0.10887375086276746,0.1886005276397325,1.7322864891231549
Br,3319,3045,0.09960087627164421,0.1868212773789803,1.8756991341065865
Dy,3236,1495,0.09711010413228101,0.09172341861463894,0.9445301231445035
Sb,3233,1350,0.09702007622362932,0.08282716731087797,0.8537116289206269
I,3221,2923,0.0966599645890226,0.17933615559236762,1.8553302430315015
K,3144,2307,0.09434924826696275,0.14154242591570035,1.500196647197482
Ho,2991,1264,0.08975782492572698,0.07755076998588871,0.864000103055757
Y,2978,1384,0.08936770398823635,0.08491318485796674,0.9501551574956434
Er,2890,1228,0.08672688533445368,0.0753420455242653,0.8687276757803089
Nd,2749,1168,0.08249557362782463,0.07166083808822628,0.8686628256143922
Pr,2580,1162,0.07742400144044653,0.07129271734462236,0.9208090000290121
F,2579,2049,0.07739399213756265,0.12571323394073255,1.6243280708053627
Ba,2544,773,0.07634366653662636,0.04742622246763605,0.6212201302236777
As,2471,1318,0.07415298742610209,0.08086385667832383,1.0905003221739316
Na,2408,1493,0.07226240134441676,0.0916007117001043,1.2676123405243254
Co,2316,1261,0.06950154547909852,0.07736670961408676,1.1131653128109729
Sr,2280,561,0.06842121057527834,0.034419289526964846,0.5030499933802849
Bi,2220,982,0.0666206524022447,0.06024909503650531,0.9043606278835434
P,2139,960,0.06418989886864929,0.058899318976624336,0.917579245562437
La,2083,870,0.06250937790715122,0.053377507822565805,0.8539119986420356
Sm,2080,1014,0.06241934999849953,0.06221240566905945,0.9966846125529174
Tm,2057,878,0.06172913603216997,0.05386833548070434,0.8726565596614053
Fe,1980,744,0.05941841971011014,0.04564697220688386,0.7682293206313084
S,1969,1189,0.0590883173783873,0.07294926069083993,1.2345800985276074
V,1940,782,0.05821804759475437,0.0479784035830419,0.8241156405142811
Te,1831,1060,0.05494703358040993,0.06503466470335603,1.1835882752102311
Mn,1823,661,0.05470695915733877,0.04055463525369655,0.741306698057559
Mo,1809,313,0.05428682891696426,0.019203632124670224,0.35374385477633274
Pt,1763,1081,0.05290640098430514,0.0663230873059697,1.253592874813856
In,1674,971,0.05023557302763857,0.05957420700656482,1.1858968339783509
Ta,1610,674,0.04831497764306935,0.04135223019817167,0.8558884266420339
Li,1604,558,0.04813492182576599,0.034235229155162895,0.7112347513326017
Lu,1561,641,0.04684452180175855,0.039327566108350205,0.8395339432598038
Nb,1524,819,0.045734177595054465,0.05024848150193263,1.098707446908728
Ga,1475,749,0.044263721753743664,0.045953739493220444,1.0381806516153116
Ca,1455,302,0.04366353569606578,0.018528744094729738,0.4243528106313946
Cl,1378,1203,0.04135281937400594,0.07380820909258237,1.7848410388912352
W,1357,190,0.04072262401344417,0.011657156880790233,0.28625750828192553
Sc,1281,461,0.03844191699426822,0.028283943800233143,0.7357578916902178
Cr,1271,399,0.03814182396542928,0.024480029449659487,0.6418159097962258
Al,1264,566,0.037931758845242025,0.03472605681330143,0.9154876512576294
Zr,1240,868,0.03721153557602857,0.05325480090803117,1.4311368795631634
N,1239,245,0.03718152627314467,0.015031597030492668,0.40427595467885974
Si,1209,468,0.036281247186627855,0.02871341800110436,0.7914120992976018
Ru,1197,416,0.03592113555202112,0.025523038223203877,0.7105298268269197
Sn,1180,581,0.035410977402994925,0.03564635867231118,1.0066471271503608
Ti,1162,535,0.03487080995108484,0.0328240996380146,0.9413059141459212
Au,1075,511,0.03226000060018606,0.031351616663598994,0.9718417879824273
Os,1062,720,0.03186987966269544,0.04417448923246825,1.3860889874703761
Cu,1046,390,0.03138973081655313,0.023927848334253637,0.7622826864649465
Pd,1041,432,0.031239684302133662,0.02650469353948095,0.8484302620712043
Ag,1026,633,0.030789544758875253,0.03883673845021167,1.2613612430569234
Ir,1019,458,0.030579479638687995,0.028099883428431192,0.9189130672086483
Hf,1009,644,0.03027938660984905,0.039511626480152155,1.3049018128821708
Rh,998,273,0.02994928427812622,0.016749493833977544,0.5592619068433203
H,937,327,0.028118716802208683,0.020062580526412663,0.7134955932568294
Ni,921,481,0.02763856795606638,0.029511012945579482,1.0677475400494518
B,858,157,0.025747981874381057,0.00963249279096877,0.3741067101089188
Cd,819,312,0.02457761906190919,0.01914227866740291,0.7788500024833542
Zn,814,259,0.024427572547489722,0.015890545432235108,0.6505167634378016
Pb,787,288,0.023617321369624585,0.0176697956929873,0.7481710316104394
Ge,778,311,0.023347237643669538,0.01908092521013559,0.8172669290197279
Gd,776,66,0.02328721903790175,0.0040493281796429225,0.17388629243587772
Mg,757,210,0.022717042283107763,0.012884226026136572,0.5671612468546222
Hg,743,504,0.022296912042733246,0.030922142462727776,1.386835199576686
Re,727,314,0.021816763196590944,0.01926498558193754,0.8830359209723585
C,711,571,0.02133661435044864,0.03503282409963802,1.6419111075558899
Ce,486,204,0.014584521201572487,0.01251610528253267,0.8581773175511033
Eu,438,208,0.013144074663145575,0.012761519111601938,0.9708952085751401
Be,277,134,0.00831257689883864,0.008221363273820479,0.9890270338394218
Tl,269,109,0.008072502475767488,0.006687526842137554,0.8284329255039022
