material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,space_group,crystal_system,p95_p05_ratio,ALIGNN_K_VRH_pred,ALIGNN_G_VRH_pred,ALIGNN_Kappa_cal,cross_model_ratio,both_models_clear_threshold
034fa20312,VCl8,9,405.0293428063881,1.371651446320822,334.56550000000004,2.4330540166402046,0.8995849814205764,0.1050235441519295,0.0208176701177429,0.3354166231775873,2.0157229401565546,0.0298444186310886,0.0186165117796812,0.0298193254088201,0.0467465413708492,I-4m2,tetragonal,2.511025799251513,0.001,0.001,2.86992982998795e-06,10399.006386582598,True
f58888cfa6,LuSbI6,8,374.73304892784034,4.688953280379853,1058.15382,7.603769622316254,2.204244933026358,0.0343899138137247,0.0433697791033128,0.3678275353814943,2.288568316838369,0.0518887180388975,0.0333560706387605,0.0517902222821954,0.0818140679108247,R3,trigonal,2.4527489702505583,3.470477819442749,3.9587388038635254,0.4674406598552791,9.008522035654652,True
5fbe5bcacf,PdSe2I5Br,9,391.17629016743314,4.154852439608664,978.76635,4.272736509074029,1.859816666951612,0.0665249215915344,0.0285991460574868,0.3099386822504261,1.8360469874462548,0.0601032511540474,0.0405077391032083,0.0596853410026133,0.0874315509977588,P1,triclinic,2.1583912835765755,4.928729057312012,2.1040279865264893,0.0708355674283733,1.1785646544613448,True
d5a979b06c,PtCl8,9,352.65469184624345,2.254084108290088,478.708,2.31028469626458,1.2686358213115505,0.1127371430843848,0.045736947964874,0.2679180348009124,1.589871329298729,0.0565096348725345,0.0306096334455372,0.0563737153387041,0.0986983863045486,P-1,triclinic,3.2244223531836687,0.001,0.5002016425132751,0.0641030079343908,1.134373068928586,True
32e397f80a,HfRuI6,8,357.03519554847594,4.841537490961708,1040.98682,7.750571108560947,2.69948779295144,0.0167591699151115,0.0188961978035706,0.3439674652854658,2.082384244418772,0.0834238970814932,0.0685677454592265,0.0833972234017648,0.1021410959601975,P-31m,trigonal,1.4896376609164617,4.1545820236206055,3.6962380409240723,0.33732618353534527,4.043519846667268,True
9c397a9901,GdTiI6,8,373.348519533582,4.298888815571731,966.54382,5.810323190549864,2.309572234087759,0.0516614922508446,0.0164307083302727,0.3245054069324092,1.935498787853859,0.0821521605469157,0.0633753860242303,0.0820409374467392,0.1069001895085395,P-31m,trigonal,1.6867777257825043,4.092667102813721,8.483321189880371,2.1778116120567366,26.50948675674848,False
881dd5b86d,HfFeI6,8,329.7143427785173,5.014951401612545,995.76182,5.298855170392568,2.092571281028968,0.0562228346877729,0.0599037836014439,0.3255137554513856,1.9426974120337104,0.0624921783948409,0.0334651333155011,0.0632399387846648,0.1217696347020934,P-31m,trigonal,3.638701616816495,0.3336111903190613,1.903999924659729,0.2851339753809062,4.562714610128644,True
c91fd89141,TaInCl6,8,283.5906829599088,2.977380426758927,508.48388,6.095546972126658,2.1925138379487032,0.0827040144237183,0.0560283758589835,0.3394088625055237,2.046412408618977,0.0747092999356852,0.0395022452907287,0.0743035667923813,0.1425523401406359,R3,trigonal,3.608714874090799,5.057708740234375,3.286423683166504,0.25279523935228904,3.3837184871215795,True
fa6029de53,HfGeBr6,8,291.69065832771787,4.158904045507121,730.554,8.049258180254178,2.59970830505712,0.0735058566778468,0.0649841355889953,0.3542082453117587,2.1670215183183883,0.073170425660814,0.0362608074690366,0.0738740096422127,0.1454241084590374,P312,trigonal,4.010503863798848,4.538594722747803,3.118237018585205,0.2102557442631046,2.8735071904290677,True
6176895e50,SmSbI6,8,398.585660128172,4.305836977718011,1033.54682,5.644160971001876,2.460932666383797,0.0644901679202204,0.0267562938415794,0.3096570980772065,1.8342044769999355,0.1019165601596123,0.0703918075101945,0.102139008361965,0.1469498750577683,,,2.0875991149465265,,,,1.0,False
