material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,space_group,crystal_system,p95_p05_ratio,confidence_old,confidence
034fa20312,VCl8,9,405.0293428063881,1.371651446320822,334.56550000000004,2.4330540166402046,0.8995849814205764,0.44798620869440353,0.09446094097621927,0.3354166231775873,2.0157229401565546,0.0298444186310886,0.004952415187006531,0.030102262754066002,0.15385238317995498,I-4m2,tetragonal,31.06613185090212,moderate,wide
32e397f80a,HfRuI6,8,357.03519554847594,4.841537490961708,1040.98682,7.750571108560947,2.69948779295144,0.07148756073471527,0.08574218994260706,0.3439674652854658,2.082384244418772,0.0834238970814932,0.033947106247391085,0.0804909875367262,0.19508505646209434,P-31m,trigonal,5.746735967431306,tight,wide
9c397a9901,GdTiI6,8,373.348519533582,4.298888815571731,966.54382,5.810323190549864,2.309572234087759,0.22036616870852369,0.07455494111517039,0.3245054069324092,1.935498787853859,0.0821521605469157,0.025467886382088165,0.08087667746257356,0.23503609268196002,P-31m,trigonal,9.228723937109418,tight,wide
5fbe5bcacf,PdSe2I5Br,9,391.17629016743314,4.154852439608664,978.76635,4.272736509074029,1.859816666951612,0.2837672985437565,0.12976967318758906,0.3099386822504261,1.8360469874462548,0.0601032511540474,0.010655944207415533,0.06053597614466304,0.26179236701510966,P1,triclinic,24.56773064116898,moderate,wide
332f7fe495,TeClF5,7,150.12568792945518,2.85423391904414,258.045016,9.242494881734372,3.8326574727326026,0.061920590858758076,0.03177577809273134,0.3178402940133866,1.8889631021724225,0.190301923330261,0.12615377165269878,0.1878436166024941,0.27758675371178115,P1,triclinic,2.200384103267061,tight,moderate
f58888cfa6,LuSbI6,8,374.73304892784034,4.688953280379853,1058.15382,7.603769622316254,2.204244933026358,0.14669288901973113,0.19679196186983666,0.3678275353814943,2.288568316838369,0.0518887180388975,0.007085467303835586,0.051001822708451744,0.3960880682228946,R3,trigonal,55.90147427657731,moderate,wide
d5a979b06c,PtCl8,9,352.65469184624345,2.254084108290088,478.708,2.31028469626458,1.2686358213115505,0.4808891731586471,0.20753307731877915,0.2679180348009124,1.589871329298729,0.0565096348725345,0.004133887675065856,0.057403198874941684,0.4225463471096042,P-1,triclinic,102.2152463547217,moderate,wide
6176895e50,SmSbI6,8,398.585660128172,4.305836977718011,1033.54682,5.644160971001876,2.460932666383797,0.2750878963182867,0.12140766373071149,0.3096570980772065,1.8342044769999355,0.1019165601596123,0.019160549425637642,0.09975058981638385,0.4346765359618964,,,22.686016267376992,moderate,wide
3b333fcade,SrZrBr6,8,341.850592332415,3.1975364569704223,658.268,6.549108959973228,3.210726558382521,0.18787236127907134,0.06006318373859496,0.2893044632792889,1.708311605807226,0.1894298801084239,0.07604682831188721,0.18760475707971308,0.43518059390622044,P312,trigonal,5.72253443787866,tight,wide
9811b7fd74,GdGaI6,8,350.8512457961647,4.677984007436113,988.39982,5.429645681844373,2.552107100937213,0.44089500873510545,0.09036450660475262,0.2968180201879636,1.7531739436318827,0.1071416099479494,0.017382729183466967,0.10944887673094028,0.44730296390267066,R3,trigonal,25.732608451848215,moderate,wide
