material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,space_group,crystal_system,p95_p05_ratio,ALIGNN_K_VRH_pred,ALIGNN_G_VRH_pred,ALIGNN_Kappa_cal,cross_model_ratio,both_models_clear_threshold,confidence
c03b821eda,Ag3HgAsO4,9,146.94118851876254,7.493653638846149,663.1138000000001,52.92164909557099,12.587567428372283,0.021726989796102,0.0548572331247012,0.3898098976023013,2.509979984053035,0.2929269394868671,0.1677542490590502,0.2911106061812037,0.4951831685996306,P1,triclinic,2.951836817112895,50.27485656738281,9.793946266174316,0.1620202032126562,1.8079655109578647,True,moderate
26f790a4a2,KRb2BiO4,8,189.4956696301344,4.232604007620725,483.0119,27.24195816274789,8.472903868089926,0.04560555343489,0.0519411546556306,0.3590961426115318,2.20940570749865,0.3545046186753142,0.2056419133595467,0.3568846366477519,0.607598117671654,C2,monoclinic,2.954641433477242,21.51108169555664,7.445504665374756,0.3286285492502651,1.0787395662491372,True,moderate
198468c59e,V(OF3)2,9,128.5474611956122,2.5438942944543816,196.9307192,6.24544631054811,3.820818604056623,0.1325945574515759,0.1215771096923182,0.2459241973633341,1.4806256656552186,0.2209559334425295,0.0623068694557536,0.2257354879529509,0.6949024509376537,P-1,triclinic,11.152902673614976,8.888897895812988,5.357105255126953,0.3615272691140203,1.636196247284997,True,wide
bcf3ef5d3b,CsK2SbO4,8,182.6576449615065,3.6078476594659903,396.8596519,26.679781594738188,8.978495695804027,0.0491416411768873,0.0411833555246183,0.34870736617421,2.1208805090546594,0.4514134316518436,0.2805148064208487,0.4535955355184561,0.7073783582459436,I-42m,tetragonal,2.521714868714214,36.3021354675293,9.356131553649902,0.3574431626047917,1.262895696094068,True,moderate
15aca1906a,K2RbSbO4,8,175.43559264491546,3.3073612588669903,349.422,30.81823747950553,9.51799488471989,0.0613149571760025,0.0349448019092364,0.359992024318584,2.2173206332054063,0.4617528231785603,0.3032651709630355,0.4606684716406425,0.7151534987612392,I-42m,tetragonal,2.358178805994204,37.99662399291992,11.187141418457031,0.5580383672718205,1.2085218308584689,True,moderate
4212cc1a82,Zn2InBCl2O3,9,197.26837301062093,3.1595806395810184,375.3512,38.31014738170515,11.596109271031244,0.0530531114188737,0.0270115339434036,0.3625255828767723,2.239956479898038,0.5742912765375695,0.4039779806592783,0.572963746140573,0.8126275953490244,R32,trigonal,2.011564080851248,32.63093948364258,13.470681190490724,1.0104127402197198,1.7594081287662042,False,moderate
28362a88b3,Cs2RuOF5,9,197.78041007368003,4.012154978785394,477.8723198,26.53454920792516,8.559582052870217,0.163187870506225,0.0586529219317951,0.3543681631628513,2.16838721282298,0.347092655709403,0.1458713376076358,0.3465101838732158,0.8152837935675749,I4mm,tetragonal,5.589060928203197,17.312646865844727,7.415807723999023,0.38137465473323,1.0987690129995982,True,wide
ddfd779509,NbAg2OF5,9,145.04003876690055,4.804321503476135,419.634196,47.624110959537,8.342847384274924,0.0806009583204509,0.1817361022009627,0.4172419656898437,2.841021679367547,0.1416843815485321,0.0262012212467625,0.1343960914587737,0.8700388402702852,Cm,monoclinic,33.20604150761827,40.55490493774414,14.680231094360352,0.7294016701091176,5.148073924148589,True,wide
2c8d4b19df,Rb2IrOF5,9,173.81992324805017,4.529599646290612,474.144016,18.659174292854544,8.689897887988083,0.0895519869455482,0.0629786863740483,0.2984325541753442,1.7630530552841466,0.4765432878384605,0.2302435442583534,0.4685960466902926,0.9078474735634392,I4mm,tetragonal,3.942987745813863,14.67652988433838,9.177075386047363,0.6961178209184612,1.4607651365229857,True,moderate
5e5c060528,KAg(HgO2)2,8,139.99801260064197,7.260740170351605,612.1441000000001,38.79056659488402,12.809954909939334,0.068408458568704,0.059337332513346,0.3512564929568634,2.1420623137541885,0.4860363676802423,0.254021261733094,0.4779236864690872,0.9192332885697088,P-1,triclinic,3.618725780267829,40.85655212402344,15.887593269348145,0.8030791933018214,1.652302680835929,True,moderate
c635459bbc,Rb4RuO4,9,199.8814525925061,4.211454699939388,506.9388,22.355555209291182,10.129351390776772,0.0759826776330405,0.026668370114323,0.3031760228964362,1.7925853735594353,0.6330332426705559,0.4203923061057146,0.6290951038160442,0.923704615509342,C2/m,monoclinic,2.197244340806421,28.236425399780277,10.899154663085938,0.5948949109348677,1.0641093595434437,True,moderate
09880933a7,Rb3ReO4,8,179.17863011067334,4.69499279075754,506.608,25.13327503853318,9.356809942691331,0.0631053262593551,0.0705367814982036,0.3344057087166761,2.00806877363774,0.4673558394196682,0.2229408013390296,0.4619370214933814,0.951888525800707,I-42m,tetragonal,4.269691864761692,25.897165298461918,10.548142433166504,0.6167611693660698,1.319682172222184,True,moderate
c3b3e9a64e,NaAg(HgO2)2,8,124.4387605883574,7.9536339366917,596.03556928,53.656463653573006,14.214210938352585,0.1055295512015624,0.083735693494166,0.3782915970650454,2.3897551181679835,0.4088939913101401,0.1622648681662479,0.4105762749150876,1.0225426210709203,P-1,triclinic,6.301688299054838,45.07765197753906,19.36870002746582,1.1058187965863375,2.70441439612056,False,wide
8175bee583,Rb2H2SeO,6,143.95019406423845,3.090488943906595,267.91088,17.626313923562982,8.256158994690571,0.0396464267219687,0.0378418868351876,0.2974283457949416,1.7568982855461444,0.7571416248071919,0.510341167358621,0.7504959716912157,1.1028229490105488,P1,triclinic,2.160952358044018,13.959616661071776,6.92937707901001,0.618445218616117,1.2242662761649823,True,moderate
b52c3705f5,Cs2Te(OF2)2,9,189.0866464945939,4.403271261803082,501.4033166,23.98186377479653,10.815774330108134,0.0765609610805967,0.0551235233236908,0.3039705922339317,1.7976078101663655,0.6672588542316138,0.3619427425309266,0.6577134949939079,1.2026028153717463,C2/m,monoclinic,3.32263276495726,22.718795776367188,7.906653881072998,0.3150778718291801,2.117758541270613,True,moderate
