epoch,lr,train_loss,val_loss,train_n,train_mae_log_K,train_mae_log_G,train_mae_log_ratio,train_residual_corr,train_kappa_mae_total,train_kappa_mae_prefactor,train_kappa_mae_anharmonic,train_gamma_mae,val_n,val_mae_log_K,val_mae_log_G,val_mae_log_ratio,val_residual_corr,val_kappa_mae_total,val_kappa_mae_prefactor,val_kappa_mae_anharmonic,val_gamma_mae,val_select_score
0,0.009998914383200485,0.3958703292863853,0.1666220995118317,7691,0.2723862826824188,0.2769239544868469,0.13674774765968323,0.882457401823715,0.47645875811576843,0.4146142899990082,0.1421632021665573,0.32734283804893494,1648,0.15946027636528015,0.17222875356674194,0.12983912229537964,0.6824010236127297,0.34415850043296814,0.2570180296897888,0.13535915315151215,0.3116759955883026,0.34415850043296814
1,0.009995658008989348,0.14671530136786484,0.17941743439262353,7691,0.14211000502109528,0.16019080579280853,0.13252919912338257,0.6237605694185876,0.3334696888923645,0.2388056516647339,0.1378805935382843,0.3174818456172943,1648,0.1552407294511795,0.17797531187534332,0.1271585077047348,0.6704561329167139,0.3524664044380188,0.2656867504119873,0.13261300325393677,0.3053527772426605,0.3524664044380188
2,0.009990232305719944,0.13094221915555176,0.10519447734633695,7691,0.13400711119174957,0.15183712542057037,0.13132810592651367,0.5787736543650145,0.3217878043651581,0.22624947130680084,0.13655208051204681,0.3144228160381317,1648,0.11181899905204773,0.13580147922039032,0.12775395810604095,0.48810612992526803,0.3019599914550781,0.20211294293403625,0.13325053453445435,0.30682072043418884,0.3019599914550781
3,0.009982639653285047,0.11100715585852178,0.10292504141920979,7691,0.11700481176376343,0.13891632854938507,0.13215823471546173,0.49929646592508703,0.3093111515045166,0.20666998624801636,0.1374039500951767,0.31638434529304504,1648,0.10842762142419815,0.14317725598812103,0.12929069995880127,0.4687372524117692,0.3190564513206482,0.2129550725221634,0.13491345942020416,0.31064972281455994,0.3190564513206482
4,0.009972883382072953,0.10820252733420618,0.15003482982950303,7691,0.11655246466398239,0.13642601668834686,0.1307428926229477,0.4942355460713383,0.303969144821167,0.2029949575662613,0.1358957588672638,0.3129115104675293,1648,0.14411787688732147,0.15948273241519928,0.12683065235614777,0.5298938031763506,0.32222980260849,0.2381250560283661,0.13227148354053497,0.304566353559494,0.32222980260849
5,0.009960967771506667,0.11279691540130077,0.11609925394787372,7691,0.12318778783082962,0.1399206519126892,0.1300405114889145,0.5135935039729314,0.30620795488357544,0.2083028107881546,0.13516081869602203,0.31121930480003357,1648,0.12069790065288544,0.13850943744182587,0.12747423350811005,0.4641720742334705,0.3029945492744446,0.20632334053516388,0.1329500377178192,0.30612877011299133,0.3029945492744446
6,0.009946898048166793,0.11080967900254236,0.11888442716552215,7691,0.1199735775589943,0.13966910541057587,0.1302987039089203,0.5049328671159086,0.3081231713294983,0.20785103738307953,0.13542354106903076,0.3118242621421814,1648,0.1264270842075348,0.1522403210401535,0.1282460242509842,0.5197269929079105,0.3234507441520691,0.2266996055841446,0.13377435505390167,0.30802685022354126,0.3234507441520691
7,0.009930680383498999,0.10945226603344194,0.10411611329583288,7691,0.1185932457447052,0.13853758573532104,0.1295543909072876,0.5046706158413151,0.3055468499660492,0.20617546141147614,0.13463696837425232,0.3100131154060364,1648,0.1159742996096611,0.14151819050312042,0.12696854770183563,0.4722429712614012,0.3111424148082733,0.21058861911296844,0.13239626586437225,0.3048536777496338,0.3111424148082733
8,0.00991232189110701,0.10373253941181391,0.09825727560566468,7691,0.11471796780824661,0.13454703986644745,0.12952923774719238,0.4750799752888475,0.3006563186645508,0.20017334818840027,0.13459055125713348,0.3099062144756317,1648,0.10664993524551392,0.13033656775951385,0.12576638162136078,0.4415998090609162,0.2962612807750702,0.19385506212711334,0.1310710906982422,0.3018023371696472,0.2962612807750702
9,0.009891830623632338,0.1006613193493239,0.10319765418478587,7691,0.11371908336877823,0.1331370323896408,0.1274825781583786,0.46980879402498643,0.2963237166404724,0.198109969496727,0.13241739571094513,0.3049023449420929,1648,0.10675978660583496,0.13256196677684784,0.12076948583126068,0.48017607841379606,0.2928577959537506,0.19726407527923584,0.12578970193862915,0.28964149951934814,0.2928577959537506
10,0.009869215569222142,0.09578174945514854,0.0868527623056208,7691,0.10746054351329803,0.129898801445961,0.12245000153779984,0.4755937106511395,0.2897223234176636,0.19327497482299805,0.12704603374004364,0.29253435134887695,1648,0.10176064074039459,0.1176377460360527,0.11759400367736816,0.42095381189883013,0.2667728066444397,0.17504991590976715,0.12244172394275665,0.2819325029850006,0.2667728066444397
11,0.009844486647586723,0.09966358905138639,0.09603778786450914,7691,0.1100219115614891,0.13346704840660095,0.11848340183496475,0.5260173863057018,0.2895224094390869,0.19875329732894897,0.122823566198349,0.2828117311000824,1648,0.10809403657913208,0.1346137821674347,0.11438486725091934,0.5190874826610155,0.28974658250808716,0.20045967400074005,0.1191573441028595,0.2743699550628662,0.28974658250808716
12,0.009817654705648408,0.10528789333560318,0.13527805336470744,7691,0.11585956811904907,0.13666869699954987,0.1235649511218071,0.5243307204466571,0.29735636711120605,0.20349353551864624,0.12819498777389526,0.2951798737049103,1648,0.12829989194869995,0.16143420338630676,0.11269457638263702,0.6457852486881984,0.32336196303367615,0.24092063307762146,0.11716847866773605,0.2697904109954834,0.32336196303367615
13,0.009788731512783732,0.10244689493336799,0.08551842849520803,7691,0.11229769140481949,0.13354453444480896,0.11653261631727219,0.5509031451327058,0.2859450876712799,0.19890902936458588,0.12070062756538391,0.27792346477508545,1648,0.09858254343271255,0.12321691960096359,0.11236831545829773,0.5037398793253675,0.272914320230484,0.18325568735599518,0.11676032096147537,0.26885056495666504,0.272914320230484
14,0.009757729755661011,0.10769754989592652,0.10216568171688654,7691,0.11983662098646164,0.1365993618965149,0.12063828855752945,0.5550028371409057,0.29156526923179626,0.20351557433605194,0.12498417496681213,0.28778669238090515,1648,0.10533269494771957,0.13643895089626312,0.11272799223661423,0.5276757599347343,0.29007887840270996,0.20330114662647247,0.11712130159139633,0.26968175172805786,0.29007887840270996
15,0.009724663032675532,0.0909168832948592,0.08809451375482152,7691,0.10073758661746979,0.1267237663269043,0.11346402019262314,0.5168058522510345,0.27693215012550354,0.18861351907253265,0.11740144342184067,0.2703268229961395,1648,0.10364806652069092,0.12275344133377075,0.10588113218545914,0.5349319355048741,0.26247379183769226,0.18294568359851837,0.10989352315664291,0.2530391812324524,0.26247379183769226
16,0.009689545847984864,0.08398318504123907,0.08711721632376458,7691,0.09815322607755661,0.12125402688980103,0.10885594040155411,0.5015069656671227,0.26363539695739746,0.18051372468471527,0.11253082752227783,0.25911179184913635,1648,0.10173332691192627,0.12137401849031448,0.10989703983068466,0.5362110955616003,0.2654411494731903,0.18072564899921417,0.11421700567007065,0.2629943788051605,0.2654411494731903
17,0.009652393605146845,0.0887567890543278,0.08255610217168494,7691,0.10292109102010727,0.12385963648557663,0.1129402443766594,0.5100105516818139,0.27111300826072693,0.1843905746936798,0.11685086041688919,0.26905903220176697,1648,0.08924587815999985,0.12410634011030197,0.11154946684837341,0.5102355357375348,0.2757968008518219,0.1846475452184677,0.11595412343740463,0.26699426770210266,0.2757968008518219
18,0.009613222600363078,0.08425465497808143,0.0949538902750293,7691,0.1007620319724083,0.11862559616565704,0.1088133379817009,0.5054881436492901,0.25807756185531616,0.1766669899225235,0.11249806731939316,0.2590363919734955,1648,0.12348061054944992,0.13290558755397797,0.10709255188703537,0.4900457683254802,0.2724047899246216,0.1982540786266327,0.11117483675479889,0.25598952174186707,0.2724047899246216
19,0.009572050015330874,0.09488429964177708,0.08278525497728181,7691,0.10871420800685883,0.12770597636699677,0.11082811653614044,0.5473480751743135,0.27230432629585266,0.19026507437229156,0.11459320038557053,0.2638605833053589,1648,0.09458554536104202,0.124944306910038,0.12665453553199768,0.4800214010088123,0.28796109557151794,0.1856076717376709,0.13226191699504852,0.3045443296432495,0.28796109557151794
20,0.009528893909706796,0.0915818692547899,0.09309762282278931,7691,0.10577528178691864,0.12618809938430786,0.10878504067659378,0.5496772367692563,0.2684648036956787,0.1880144625902176,0.11242857575416565,0.25887638330459595,1648,0.09901833534240723,0.12506157159805298,0.11416251957416534,0.504214478743899,0.2767646908760071,0.18619821965694427,0.11824888736009598,0.2722781300544739,0.2767646908760071
21,0.009483773213185092,0.09046779116493349,0.08759331442777393,7691,0.10266035795211792,0.12704333662986755,0.11061012744903564,0.5339962348605383,0.2740163207054138,0.18915727734565735,0.11436799168586731,0.2633420526981354,1648,0.12091897428035736,0.1182975247502327,0.10788300633430481,0.4863587250428326,0.2488490492105484,0.17637459933757782,0.11201126873493195,0.2579154670238495,0.2488490492105484
22,0.00943670771719451,0.08528443968485148,0.08009662124717119,7691,0.10393748432397842,0.11839832365512848,0.10670986771583557,0.520517563155518,0.254019170999527,0.17639471590518951,0.11022923141717911,0.25381216406822205,1648,0.10133960098028183,0.12160049378871918,0.10534515231847763,0.4951065066946336,0.26031118631362915,0.1811182200908661,0.10941120237112045,0.2519285976886749,0.26031118631362915
