epoch,lr,train_loss,val_loss,train_n,train_mae_log_K,train_mae_log_G,train_mae_log_ratio,train_residual_corr,train_kappa_mae_total,train_kappa_mae_prefactor,train_kappa_mae_anharmonic,train_gamma_mae,val_n,val_mae_log_K,val_mae_log_G,val_mae_log_ratio,val_residual_corr,val_kappa_mae_total,val_kappa_mae_prefactor,val_kappa_mae_anharmonic,val_gamma_mae,val_select_score
0,0.00999938933078422,1.071628489662962,0.6666171544963874,7691,0.27178955078125,0.25373581051826477,0.14288045465946198,0.8621332412191863,0.43018943071365356,0.38012203574180603,0.14862564206123352,0.342223197221756,1648,0.1726560890674591,0.1689501255750656,0.12656229734420776,0.7129170623238871,0.32850825786590576,0.25240185856819153,0.13199764490127563,0.30393582582473755,0.32850825786590576
1,0.009997557473810372,0.6342358039780441,0.5918032741083682,7691,0.1575978547334671,0.1476292461156845,0.1287621557712555,0.6293120727485754,0.29592978954315186,0.2204524278640747,0.13383245468139648,0.30816060304641724,1648,0.15126197040081024,0.13469453155994415,0.12372975796461105,0.5990803727477105,0.27577492594718933,0.2012818306684494,0.12906873226165771,0.2971917390823364,0.27577492594718933
2,0.009994504881061753,0.6026452803484657,0.5363167891803297,7691,0.14806169271469116,0.13491080701351166,0.1265101432800293,0.5817215508816264,0.279631644487381,0.2013477087020874,0.1314816027879715,0.30274757742881775,1648,0.14232678711414337,0.1377725899219513,0.11682415008544922,0.5827458305069293,0.27832016348838806,0.20569513738155365,0.1216670498251915,0.2801487445831299,0.27832016348838806
3,0.009990232305719946,0.5073125307449298,0.45056633636789417,7691,0.13093668222427368,0.1361706405878067,0.11051992326974869,0.6316060859391271,0.27304452657699585,0.20328371226787567,0.11441002786159515,0.2634388506412506,1648,0.10871119797229767,0.12422508001327515,0.10225147753953934,0.5721157761997073,0.26063305139541626,0.18511292338371277,0.1063375174999237,0.24485120177268982,0.26063305139541626
4,0.009984740801978986,0.46762690303028365,0.450530370462288,7691,0.11971564590930939,0.13253039121627808,0.10468857735395432,0.6320598909672107,0.2683955430984497,0.19774222373962402,0.10820437222719193,0.24914979934692383,1648,0.12129666656255722,0.12565790116786957,0.1025061383843422,0.577770669827687,0.2507135570049286,0.18774300813674927,0.10628559440374374,0.24473164975643158,0.2507135570049286
5,0.009978031724785247,0.45962043268335545,0.47708365118619306,7691,0.125764399766922,0.1342533528804779,0.10124914348125458,0.655269123959279,0.265463262796402,0.20044073462486267,0.10456836223602295,0.24077753722667694,1648,0.14310966432094574,0.13779714703559875,0.10388878732919693,0.5904938195298979,0.2616882026195526,0.20617972314357758,0.10801590979099274,0.2487158477306366,0.2616882026195526
6,0.009970106729503141,0.4412671081143445,0.45611009262140517,7691,0.11413583904504776,0.12869001924991608,0.09941143542528152,0.6345594603894695,0.26059919595718384,0.1919815093278885,0.10263125598430634,0.2363172024488449,1648,0.1033199280500412,0.12962278723716736,0.10789582133293152,0.6294821327481311,0.2734202444553375,0.19312182068824768,0.11214542388916016,0.25822436809539795,0.2734202444553375
7,0.009960967771506667,0.4274010593339194,0.43329977960262483,7691,0.10995839536190033,0.1258915662765503,0.09791556745767593,0.6218642628549123,0.2561051845550537,0.18779075145721436,0.10103030502796173,0.2326308637857437,1648,0.10617636144161224,0.12513145804405212,0.09624969214200974,0.582454046398049,0.2548409104347229,0.18675193190574646,0.09980010986328125,0.22979822754859924,0.2548409104347229
8,0.00995061710569696,0.4298835477288345,0.42681625311814464,7691,0.11446241289377213,0.12723630666732788,0.0981396809220314,0.6393791563262534,0.25616657733917236,0.18988193571567535,0.10123173147439957,0.23309464752674103,1648,0.10177319496870041,0.11299961060285568,0.10599792003631592,0.559940199431763,0.245128333568573,0.1683422178030014,0.11009201407432556,0.2534962296485901,0.245128333568573
9,0.009939057285945933,0.41177309695556186,0.42313380727490174,7691,0.10905757546424866,0.12304507195949554,0.09590142220258713,0.6214025860577098,0.24932196736335754,0.18357768654823303,0.09884800016880035,0.2276059240102768,1648,0.10907130688428879,0.11882933974266052,0.09793628752231598,0.5926949960994407,0.24511750042438507,0.17725059390068054,0.10148342698812485,0.23367422819137573,0.24511750042438507
10,0.009926291164466132,0.4162423232491096,0.44698443748418565,7691,0.10953296720981598,0.12331996858119965,0.09678754210472107,0.62152607035043,0.2502254247665405,0.18398073315620422,0.09981968253850937,0.22984331846237183,1648,0.11870422959327698,0.1264345347881317,0.10166745632886887,0.5395131761290127,0.25607991218566895,0.18865516781806946,0.10530693084001541,0.2424781769514084,0.25607991218566895
11,0.009912321891107011,0.4081962948083537,0.4529781943386041,7691,0.1118912622332573,0.12043144553899765,0.09654060006141663,0.6104688997503268,0.24282489717006683,0.1797468215227127,0.09947781264781952,0.22905611991882324,1648,0.15823043882846832,0.15406450629234314,0.09578017890453339,0.5995948655809283,0.26921549439430237,0.230866476893425,0.09933134913444519,0.22871887683868408,0.26921549439430237
12,0.009897152912577742,0.4096871140529114,0.39742549472642175,7691,0.11719225347042084,0.12944461405277252,0.09309173375368118,0.6720506033281999,0.25420820713043213,0.1932961791753769,0.09590058773756027,0.22081926465034485,1648,0.09957093000411987,0.11697418242692947,0.09521152824163437,0.5850701650690235,0.2441771775484085,0.174410879611969,0.0987585186958313,0.22739988565444946,0.2441771775484085
13,0.009880787971596802,0.37933298342676813,0.4397636498641042,7691,0.10056879371404648,0.11340636759996414,0.09188202768564224,0.5917635403415453,0.23400714993476868,0.16913634538650513,0.09463724493980408,0.2179103046655655,1648,0.08920982480049133,0.1246543601155281,0.11113247275352478,0.5315302673545886,0.2775261402130127,0.18541459739208221,0.11608634889125824,0.26729869842529297,0.2775261402130127
14,0.0098632311059685,0.3790343285126178,0.3780565180824798,7691,0.09861966222524643,0.11238617449998856,0.09282928705215454,0.5779617432269135,0.23345911502838135,0.16758868098258972,0.09564226865768433,0.22022448480129242,1648,0.09182491153478622,0.11038444191217422,0.09221918880939484,0.5363466918795812,0.23311178386211395,0.164496511220932,0.09559193253517151,0.22010855376720428,0.23311178386211395
