epoch,lr,train_loss,val_loss,train_n,train_mae_log_K,train_mae_log_G,train_mae_log_ratio,train_residual_corr,train_kappa_mae_total,train_kappa_mae_prefactor,train_kappa_mae_anharmonic,train_gamma_mae,val_n,val_mae_log_K,val_mae_log_G,val_mae_log_ratio,val_residual_corr,val_kappa_mae_total,val_kappa_mae_prefactor,val_kappa_mae_anharmonic,val_gamma_mae,val_select_score
0,0.00999938933078422,0.4551903930899691,0.3314552061187411,7691,0.2537526488304138,0.27861493825912476,0.14904314279556274,0.8138409523383658,0.5081711411476135,0.41653963923454285,0.1549803763628006,0.35685551166534424,1648,0.1551605761051178,0.15726301074028015,0.13544157147407532,0.6290702215002646,0.3243826627731323,0.23460179567337036,0.1415625512599945,0.32595980167388916,0.3243826627731323
1,0.009997557473810372,0.3320750671018318,0.3207145758624216,7691,0.16216841340065002,0.17197385430335999,0.13625194132328033,0.6481758917809415,0.34753531217575073,0.25653842091560364,0.14188112318515778,0.3266933560371399,1648,0.13678406178951263,0.14356431365013123,0.1329772025346756,0.5652195560911187,0.3104313611984253,0.21392740309238434,0.1388847827911377,0.31979402899742126,0.3104313611984253
2,0.009994504881061753,0.3080394199642833,0.32702961390458263,7691,0.1440030038356781,0.14625801146030426,0.13489758968353271,0.5516303802446607,0.3114664852619171,0.21796466410160065,0.14041413366794586,0.32331550121307373,1648,0.15559202432632446,0.17965558171272278,0.1388627141714096,0.6355200804125577,0.37227994203567505,0.2677663266658783,0.14533182978630066,0.33463895320892334,0.37227994203567505
3,0.009990232305719946,0.2868061983458259,0.30007407213877707,7691,0.14253035187721252,0.15292395651340485,0.12602952122688293,0.6125857098912207,0.31481537222862244,0.22804996371269226,0.1308670938014984,0.30133265256881714,1648,0.1365787386894226,0.15008611977100372,0.131522536277771,0.6486768477089724,0.3165108859539032,0.22376585006713867,0.1380268633365631,0.31781861186027527,0.3165108859539032
4,0.009984740801978986,0.2634915042382318,0.2535009168594786,7691,0.12960170209407806,0.1493932008743286,0.1158042699098587,0.6279157035942545,0.3044963479042053,0.22276483476161957,0.11996835470199585,0.2762373685836792,1648,0.10663682222366333,0.14081647992134094,0.1169867292046547,0.5775952055855149,0.3052331805229187,0.20954535901546478,0.12174775451421738,0.28033459186553955,0.3052331805229187
5,0.009978031724785247,0.25140766807006093,0.26791755276397594,7691,0.12915508449077606,0.14776164293289185,0.10975146293640137,0.6501981215177358,0.29796379804611206,0.2203979343175888,0.11355847120285034,0.261478066444397,1648,0.11414752900600433,0.13830167055130005,0.1039767935872078,0.6253393737362097,0.2796630263328552,0.20635877549648285,0.10791240632534027,0.2484774887561798,0.2796630263328552
6,0.009970106729503141,0.24477490280542832,0.28439749820718485,7691,0.1248270571231842,0.14720197021961212,0.10839367657899857,0.6364051832874927,0.2986368238925934,0.2195165455341339,0.11206679791212082,0.2580433487892151,1648,0.1399071365594864,0.19177575409412384,0.11609295010566711,0.6673942186566326,0.3821313977241516,0.28582581877708435,0.12083331495523453,0.2782289683818817,0.3821313977241516
7,0.009960967771506667,0.24056018063777476,0.2584856787642229,7691,0.12695929408073425,0.1461411714553833,0.10767025500535965,0.6525035778423831,0.2938833236694336,0.2180052548646927,0.11132823675870895,0.25634273886680603,1648,0.11947254091501236,0.14566603302955627,0.1040978655219078,0.6419822332111634,0.29348719120025635,0.21727025508880615,0.10821317136287689,0.24917005002498627,0.29348719120025635
8,0.00995061710569696,0.22956754275740643,0.25114429503389935,7691,0.11351007223129272,0.134041890501976,0.10344235599040985,0.6108191265840887,0.2755843997001648,0.19984127581119537,0.10683219134807587,0.24599021673202515,1648,0.10517224669456482,0.12158099561929703,0.10995261371135712,0.5573075293384893,0.26394712924957275,0.18107597529888153,0.11421975493431091,0.2630007266998291,0.26394712924957275
9,0.009939057285945933,0.21913901602643748,0.2419434098653423,7691,0.11101243644952774,0.12915800511837006,0.10227589309215546,0.6015513652838109,0.26723816990852356,0.19254842400550842,0.10558599978685379,0.24312074482440948,1648,0.11844273656606674,0.13802388310432434,0.09978757053613663,0.6394595630458572,0.27514833211898804,0.20593366026878357,0.1034647598862648,0.2382364124059677,0.27514833211898804
10,0.009926291164466132,0.24555440879646195,0.25086832740931836,7691,0.1306464970111847,0.14875172078609467,0.10608665645122528,0.6819279615356812,0.29402270913124084,0.2220136672258377,0.10961412638425827,0.2523958683013916,1648,0.13224905729293823,0.15571442246437073,0.10444577783346176,0.6006216632069796,0.3044012784957886,0.23241464793682098,0.1084720641374588,0.24976615607738495,0.3044012784957886
11,0.009912321891107011,0.22181597151886176,0.2464300130756156,7691,0.11674588918685913,0.13295193016529083,0.10430559515953064,0.6096215931099392,0.2718985080718994,0.1982540637254715,0.10765863209962845,0.24789316952228546,1648,0.11899703741073608,0.12767000496387482,0.1033705398440361,0.6584247563216331,0.26267024874687195,0.19050809741020203,0.10758151113986969,0.24771559238433838,0.26267024874687195
12,0.009897152912577742,0.21557040864408225,0.2301459306652106,7691,0.11470983922481537,0.13441701233386993,0.098882757127285,0.6391298726216479,0.2719128429889679,0.20047110319137573,0.10202262550592422,0.23491577804088593,1648,0.10488751530647278,0.12484311312437057,0.1004328653216362,0.5975200748321743,0.26135367155075073,0.1860324591398239,0.10421604663133621,0.23996633291244507,0.26135367155075073
13,0.009880787971596802,0.20639703883614502,0.22964242693868656,7691,0.10913068056106567,0.1272965967655182,0.09788083285093307,0.6048246737491896,0.2610887587070465,0.18979904055595398,0.10092932730913162,0.2323983758687973,1648,0.10004685819149017,0.13973721861839294,0.11013691872358322,0.5791811094059304,0.29676029086112976,0.20808278024196625,0.11491305381059647,0.2645970582962036,0.29676029086112976
