epoch,lr,train_loss,val_loss,train_n,train_mae_log_K,train_mae_log_G,train_mae_log_ratio,train_residual_corr,train_kappa_mae_total,train_kappa_mae_prefactor,train_kappa_mae_anharmonic,train_gamma_mae,val_n,val_mae_log_K,val_mae_log_G,val_mae_log_ratio,val_residual_corr,val_kappa_mae_total,val_kappa_mae_prefactor,val_kappa_mae_anharmonic,val_gamma_mae,val_select_score
0,0.009998914383200485,0.4203990707586869,0.2845278419915912,7691,0.30400434136390686,0.28430190682411194,0.14099934697151184,0.896522523480313,0.46699854731559753,0.4262523055076599,0.14421088993549347,0.3320578634738922,1648,0.19381269812583923,0.1955239623785019,0.1257539689540863,0.7627532307526277,0.358514666557312,0.2925819754600525,0.13114511966705322,0.3019728362560272,0.358514666557312
1,0.009995658008989348,0.25335831869843567,0.246488923586688,7691,0.16227251291275024,0.15317708253860474,0.12801553308963776,0.6526135984089958,0.3039541244506836,0.22881343960762024,0.13305456936359406,0.30636948347091675,1648,0.15251414477825165,0.15255197882652283,0.12499676644802094,0.6400094255053141,0.3091566562652588,0.22773201763629913,0.13033273816108704,0.30010223388671875,0.3091566562652588
2,0.009990232305719944,0.24177151594077048,0.26320744602425583,7691,0.15435810387134552,0.14946037530899048,0.12401088327169418,0.6334938675114791,0.2988520562648773,0.22321699559688568,0.1288166046142578,0.2966112196445465,1648,0.13000451028347015,0.1689753532409668,0.13323219120502472,0.6626497432847548,0.3584251403808594,0.25167223811149597,0.13955041766166687,0.32132676243782043,0.3584251403808594
3,0.009982639653285047,0.20434674700258798,0.2087604879464918,7691,0.12987911701202393,0.14118878543376923,0.1088385134935379,0.6538543349585664,0.2844258248806,0.2106747329235077,0.11261847615242004,0.2593136429786682,1648,0.13115136325359344,0.14756369590759277,0.10875594615936279,0.6804770268787403,0.2955920398235321,0.22021180391311646,0.112990602850914,0.26017048954963684,0.2955920398235321
4,0.009972883382072953,0.20017355165095932,0.21457365907511664,7691,0.13172946870326996,0.14323486387729645,0.10574647784233093,0.674320174982295,0.28319936990737915,0.2138129323720932,0.10928639769554138,0.2516412138938904,1648,0.13579009473323822,0.1588219553232193,0.10347342491149902,0.682882701627955,0.3075130879878998,0.23723730444908142,0.10745120793581009,0.24741552770137787,0.3075130879878998
5,0.009960967771506667,0.1890507933338943,0.20584031780367917,7691,0.1207490786910057,0.13735610246658325,0.10209441930055618,0.6511328276659258,0.2757548391819,0.20495405793190002,0.10545086860656738,0.24280960857868195,1648,0.11888808012008667,0.15010319650173187,0.1038016825914383,0.6995449612857482,0.2989499270915985,0.22399283945560455,0.10773716121912003,0.2480739802122116,0.2989499270915985
6,0.009946898048166793,0.19300042249154803,0.17783616541080105,7691,0.12432095408439636,0.13945825397968292,0.10371177643537521,0.6591869538823547,0.27738094329833984,0.2081497758626938,0.10715351998806,0.24673008918762207,1648,0.10776443779468536,0.12452088296413422,0.10099566727876663,0.6192720686904619,0.2595510482788086,0.18559885025024414,0.10467758029699326,0.2410290390253067,0.2595510482788086
7,0.009930680383498999,0.18349602684899807,0.1893820286665148,7691,0.11959856003522873,0.13192147016525269,0.10151230543851852,0.6455351101978098,0.2645980417728424,0.19687779247760773,0.10482127219438553,0.2413598746061325,1648,0.11085271090269089,0.1222701147198677,0.10435456782579422,0.5863249120892702,0.25847941637039185,0.18224464356899261,0.10840297490358353,0.24960707128047943,0.25847941637039185
8,0.00991232189110701,0.1816129728826229,0.1739207905473061,7691,0.11798781901597977,0.13113364577293396,0.10045532882213593,0.632573177313421,0.26402586698532104,0.19567464292049408,0.10371318459510803,0.23880842328071594,1648,0.09753555059432983,0.1202545166015625,0.10085270553827286,0.5812727568081661,0.25738221406936646,0.17909182608127594,0.10468293726444244,0.2410413920879364,0.25738221406936646
9,0.009891830623632338,0.17995081860061088,0.18419337200308308,7691,0.11712539196014404,0.1329851746559143,0.09934315830469131,0.6396604300386507,0.2670968770980835,0.19843658804893494,0.10249955952167511,0.2360139638185501,1648,0.11914154142141342,0.1260780245065689,0.10304778814315796,0.6226444135075476,0.2578646242618561,0.18813104927539825,0.10720425099134445,0.24684691429138184,0.2578646242618561
10,0.009869215569222142,0.1788100904427026,0.2088543726402579,7691,0.11279934644699097,0.1298801600933075,0.10034824162721634,0.6220366059849313,0.26472410559654236,0.19373264908790588,0.10356662422418594,0.23847095668315887,1648,0.11729643493890762,0.15243294835090637,0.10596169531345367,0.5626342441677887,0.3066022992134094,0.22745688259601593,0.11010695993900299,0.2535306513309479,0.3066022992134094
11,0.009844486647586723,0.1792239644347327,0.183556990137378,7691,0.11597877740859985,0.1318233460187912,0.09960830956697464,0.6345248666319345,0.2661339342594147,0.1966584324836731,0.10280229151248932,0.2367110401391983,1648,0.11422915011644363,0.14346356689929962,0.10222397744655609,0.6126425770187917,0.29174166917800903,0.21388933062553406,0.10615233331918716,0.24442480504512787,0.29174166917800903
12,0.009817654705648408,0.17883269762577464,0.2026894604696811,7691,0.11607480049133301,0.13335111737251282,0.09914414584636688,0.6485026969868157,0.26786020398139954,0.19895853102207184,0.10234121978282928,0.23564937710762024,1648,0.14531134068965912,0.16507472097873688,0.09699343889951706,0.7361302648234982,0.3071313202381134,0.24681434035301208,0.10068053007125854,0.23182548582553864,0.3071313202381134
