epoch,lr,train_loss,val_loss,train_n,train_mae_log_K,train_mae_log_G,train_mae_log_ratio,train_residual_corr,train_kappa_mae_total,train_kappa_mae_prefactor,train_kappa_mae_anharmonic,train_gamma_mae,val_n,val_mae_log_K,val_mae_log_G,val_mae_log_ratio,val_residual_corr,val_kappa_mae_total,val_kappa_mae_prefactor,val_kappa_mae_anharmonic,val_gamma_mae,val_select_score
0,0.009998914383200485,0.3990124597643678,0.3122887278644784,7691,0.2789454758167267,0.2850452959537506,0.13364355266094208,0.8791526687489196,0.4899453818798065,0.4268006980419159,0.1388234794139862,0.31965285539627075,1648,0.22024741768836975,0.22143638134002686,0.1261139065027237,0.811769702703353,0.3882180452346802,0.33157438039779663,0.1315121054649353,0.30281782150268555,0.3882180452346802
1,0.009995658008989348,0.2781297475382436,0.2628740329765579,7691,0.18137292563915253,0.17424871027469635,0.13047923147678375,0.7300843587099259,0.3322207033634186,0.26049530506134033,0.13564512133598328,0.31233441829681396,1648,0.1936197131872177,0.17778252065181732,0.12541234493255615,0.7040508308161243,0.32402539253234863,0.26596301794052124,0.13079141080379486,0.3011583387851715,0.32402539253234863
2,0.009990232305719944,0.267308107389692,0.27643975572099966,7691,0.1776970475912094,0.16673852503299713,0.12931115925312042,0.702535868761241,0.31995880603790283,0.24926358461380005,0.13439606130123138,0.30945834517478943,1648,0.19774694740772247,0.1888549029827118,0.12644943594932556,0.7378570649472761,0.3471232056617737,0.2824902832508087,0.13187451660633087,0.3036523163318634,0.3471232056617737
3,0.009982639653285047,0.24797796513708464,0.2587305792037723,7691,0.1632825881242752,0.14636144042015076,0.12848329544067383,0.6376572072161858,0.28943338990211487,0.21871717274188995,0.13352860510349274,0.3074609637260437,1648,0.17002686858177185,0.16639284789562225,0.12468913942575455,0.6989626620748123,0.3191681206226349,0.2486935257911682,0.1300138682126999,0.2993679642677307,0.3191681206226349
4,0.009972883382072953,0.24158460867643636,0.2273299717208714,7691,0.16351409256458282,0.1499314159154892,0.12440472841262817,0.6597623571051594,0.29137322306632996,0.22410425543785095,0.12909549474716187,0.2972533702850342,1648,0.1476883590221405,0.15414971113204956,0.11585203558206558,0.6596827040055862,0.30605778098106384,0.23014695942401886,0.12047575414180756,0.27740567922592163,0.30605778098106384
5,0.009960967771506667,0.2048467887678594,0.19584520161151886,7691,0.13076341152191162,0.1399162858724594,0.10980507731437683,0.648341385829037,0.281539648771286,0.20882311463356018,0.11358483135700226,0.2615387439727783,1648,0.11028657108545303,0.1293707937002182,0.10753476619720459,0.6176588263942223,0.27061688899993896,0.1927986890077591,0.11172499507665634,0.25725629925727844,0.27061688899993896
6,0.009946898048166793,0.19738068244164608,0.20802070967202047,7691,0.1274682730436325,0.13790224492549896,0.10620066523551941,0.6510432754838066,0.27611735463142395,0.20582810044288635,0.1098003163933754,0.2528245747089386,1648,0.14936137199401855,0.15184949338436127,0.10491053014993668,0.6317123373853449,0.2821349501609802,0.2273298054933548,0.10886456817388535,0.2506699562072754,0.2821349501609802
7,0.009930680383498999,0.1909167464014117,0.21074530540160763,7691,0.12381526082754135,0.1377882957458496,0.10265489667654037,0.6581116986744295,0.27506422996520996,0.20563265681266785,0.10606180131435394,0.24421632289886475,1648,0.1518029421567917,0.16172029078006744,0.10723090171813965,0.6698021495385006,0.30975034832954407,0.24153222143650055,0.1113140881061554,0.2563101351261139,0.30975034832954407
8,0.00991232189110701,0.19904108370114576,0.20287555658701553,7691,0.1317942887544632,0.14673621952533722,0.10419261455535889,0.6851129730782025,0.2880725562572479,0.2190667688846588,0.1076023206114769,0.2477635145187378,1648,0.11681383848190308,0.14111249148845673,0.10925982147455215,0.6688397041184774,0.2890116572380066,0.21045759320259094,0.11369908601045609,0.2618018388748169,0.2890116572380066
9,0.009891830623632338,0.1841843817056101,0.21422742596529062,7691,0.11866290122270584,0.13302457332611084,0.10156933963298798,0.6422105539456604,0.2680031657218933,0.19848525524139404,0.10490640997886658,0.24155592918395996,1648,0.16362571716308594,0.17498262226581573,0.10107646137475967,0.7633831193044894,0.32096239924430847,0.26167479157447815,0.1048005148768425,0.24131211638450623,0.32096239924430847
10,0.009869215569222142,0.18755586682091668,0.17863106119979932,7691,0.12108980864286423,0.13842158019542694,0.10178399085998535,0.6592754800736342,0.27798664569854736,0.20652277767658234,0.10506997257471085,0.24193255603313446,1648,0.09904082119464874,0.12486732751131058,0.10187745094299316,0.5989984667889071,0.263021320104599,0.18599770963191986,0.10558304190635681,0.2431139498949051,0.263021320104599
11,0.009844486647586723,0.1779306276425663,0.1907614065894803,7691,0.11398594081401825,0.12784990668296814,0.1000773161649704,0.6245078587797865,0.2596384286880493,0.19070938229560852,0.10324551910161972,0.23773159086704254,1648,0.13628236949443817,0.15607360005378723,0.10096143186092377,0.6391931570997373,0.3025490939617157,0.23296888172626495,0.10473880916833878,0.24117004871368408,0.3025490939617157
