epoch,lr,train_loss,val_loss,train_n,train_mae_log_K,train_mae_log_G,train_mae_log_ratio,train_residual_corr,train_kappa_mae_total,train_kappa_mae_prefactor,train_kappa_mae_anharmonic,train_gamma_mae,val_n,val_mae_log_K,val_mae_log_G,val_mae_log_ratio,val_residual_corr,val_kappa_mae_total,val_kappa_mae_prefactor,val_kappa_mae_anharmonic,val_gamma_mae,val_select_score
0,0.00999938933078422,1.2528742678127307,1.008555386830302,7691,0.2965736389160156,0.3147895634174347,0.14357249438762665,0.871366478985827,0.5453078150749207,0.4712362289428711,0.14937914907932281,0.34395816922187805,1648,0.2882706820964813,0.3006708323955536,0.127909854054451,0.8883050333017186,0.5086439251899719,0.45028576254844666,0.13341352343559265,0.3071959912776947,0.5086439251899719
1,0.009997557473810372,1.00670553450311,0.9990294234266559,7691,0.2891458570957184,0.29175204038619995,0.13116036355495453,0.87956466821513,0.49341151118278503,0.43702346086502075,0.13636712729930878,0.31399691104888916,1648,0.2919186055660248,0.30184435844421387,0.12815061211585999,0.8883050399215616,0.5122098326683044,0.4519728422164917,0.13367122411727905,0.3077893853187561,0.5122098326683044
2,0.009994504881061753,1.0068845888942446,1.0052626538045197,7691,0.2902836501598358,0.29259759187698364,0.13050208985805511,0.8807246773420495,0.49394655227661133,0.4382873475551605,0.13565823435783386,0.3123646676540375,1648,0.2943184971809387,0.30117711424827576,0.12722432613372803,0.8883050276504847,0.5096191763877869,0.45101407170295715,0.13268202543258667,0.3055116534233093,0.5096191763877869
3,0.009990232305719946,1.0062641729041886,1.0016350323714098,7691,0.29018673300743103,0.29245811700820923,0.1305181086063385,0.8802780203650741,0.4941518008708954,0.4380623996257782,0.13567641377449036,0.3124065101146698,1648,0.2953741252422333,0.30378422141075134,0.12789934873580933,0.8883050190058801,0.5149725675582886,0.4548417627811432,0.1334022730588913,0.3071700930595398,0.5149725675582886
4,0.009984740801978986,1.0108743436840881,1.011205909321609,7691,0.2905137240886688,0.29316446185112,0.13089647889137268,0.8804830393341574,0.4949800372123718,0.439083069562912,0.1360834389925003,0.31334367394447327,1648,0.2929152250289917,0.30471882224082947,0.13114988803863525,0.8883050333959267,0.5198879241943359,0.4561889171600342,0.13690097630023956,0.31522616744041443,0.5198879241943359
5,0.009978031724785247,1.0083866211143835,1.0032229886471646,7691,0.29067462682724,0.2930475175380707,0.13088606297969818,0.8808348614344923,0.4947316348552704,0.4389304220676422,0.13607488572597504,0.3133240342140198,1648,0.2911670207977295,0.30033811926841736,0.12719759345054626,0.8883050358665643,0.508906900882721,0.4497668147087097,0.13265374302864075,0.3054465651512146,0.508906900882721
6,0.009970106729503141,1.0095474708608836,0.9989537995995827,7691,0.28972136974334717,0.2919332683086395,0.13118083775043488,0.8793890578333166,0.49461740255355835,0.43725448846817017,0.13639047741889954,0.31405070424079895,1648,0.2905047833919525,0.30112722516059875,0.12839776277542114,0.8883050332132327,0.5112265944480896,0.45089811086654663,0.1339361071586609,0.3083992898464203,0.5112265944480896
7,0.009960967771506667,1.006951188424244,1.0129102144426512,7691,0.29022857546806335,0.29208269715309143,0.13061177730560303,0.880286209475016,0.4932857155799866,0.43750816583633423,0.13577625155448914,0.3126363754272461,1648,0.29690396785736084,0.30740630626678467,0.12989340722560883,0.8883050271824949,0.523041844367981,0.46024462580680847,0.13554446399211884,0.31210270524024963,0.523041844367981
8,0.00995061710569696,1.0100265188313882,0.9995635088207653,7691,0.29041481018066406,0.29391852021217346,0.13054199516773224,0.8808494509970154,0.4976043403148651,0.4402109682559967,0.13570097088813782,0.31246304512023926,1648,0.29327821731567383,0.30248233675956726,0.12792302668094635,0.8883050431220392,0.5129419565200806,0.45292285084724426,0.13342759013175964,0.3072283864021301,0.5129419565200806
9,0.009939057285945933,1.0041352638790968,1.0030707699581258,7691,0.2897716462612152,0.2924974858760834,0.13046373426914215,0.8803362458604242,0.49455690383911133,0.438092976808548,0.13561883568763733,0.31227388978004456,1648,0.28853240609169006,0.3002043068408966,0.12778596580028534,0.8883050254791641,0.5086008310317993,0.4495425522327423,0.13328102231025696,0.30689090490341187,0.5086008310317993
