epoch,lr,train_loss,val_loss,train_n,train_mae_log_K,train_mae_log_G,train_mae_log_ratio,train_residual_corr,train_kappa_mae_total,train_kappa_mae_prefactor,train_kappa_mae_anharmonic,train_gamma_mae,val_n,val_mae_log_K,val_mae_log_G,val_mae_log_ratio,val_residual_corr,val_kappa_mae_total,val_kappa_mae_prefactor,val_kappa_mae_anharmonic,val_gamma_mae,val_select_score
0,0.00999938933078422,1.254462035885559,1.0085060093009357,7691,0.2966156005859375,0.3149133622646332,0.14362019300460815,0.8713387817509424,0.5455546975135803,0.4714212715625763,0.14942140877246857,0.34405553340911865,1648,0.28826993703842163,0.3006639778614044,0.12790372967720032,0.888305033490134,0.5086422562599182,0.45027583837509155,0.13340696692466736,0.30718091130256653,0.5086422562599182
1,0.009997557473810372,1.0066929093853052,0.9990280936065229,7691,0.28914692997932434,0.2917509377002716,0.1311575025320053,0.8795658460142226,0.4934074282646179,0.4370220899581909,0.13636402785778046,0.3139897882938385,1648,0.2919030785560608,0.30183759331703186,0.12815478444099426,0.8883050331159313,0.5122038722038269,0.45196324586868286,0.1336757093667984,0.30779969692230225,0.5122038722038269
2,0.009994504881061753,1.0068577788009738,1.005216428955782,7691,0.29027634859085083,0.2925933301448822,0.1305001825094223,0.8807221832389382,0.4939463436603546,0.4382805824279785,0.1356561928987503,0.312360018491745,1648,0.29425522685050964,0.30115509033203125,0.12722326815128326,0.8883050303224724,0.5096029043197632,0.4509808421134949,0.13268090784549713,0.305509090423584,0.5096029043197632
3,0.009990232305719946,1.0062600706693425,1.0016755126055004,7691,0.29018664360046387,0.2924622595310211,0.13051457703113556,0.880285013686352,0.49415692687034607,0.4380682706832886,0.13567259907722473,0.3123977482318878,1648,0.2954199016094208,0.30380553007125854,0.12789340317249298,0.888305033395927,0.5150005221366882,0.45487457513809204,0.13339589536190033,0.30715543031692505,0.5150005221366882
4,0.009984740801978986,1.0108418739317855,1.0111402238456948,7691,0.2905043065547943,0.29315540194511414,0.1308964192867279,0.8804773251832952,0.49496957659721375,0.4390697479248047,0.13608333468437195,0.31334349513053894,1648,0.2929264307022095,0.30471673607826233,0.1311315894126892,0.8883050408845256,0.5198695063591003,0.45618608593940735,0.13688121736049652,0.3151806592941284,0.5198695063591003
5,0.009978031724785247,1.0083453490014598,1.003184018783199,7691,0.2906626760959625,0.29304182529449463,0.13088473677635193,0.8808241890992012,0.49472737312316895,0.438921183347702,0.13607347011566162,0.31332075595855713,1648,0.2911674678325653,0.3003407418727875,0.12719759345054626,0.8883050333959266,0.5089120268821716,0.44977006316185,0.13265375792980194,0.3054465651512146,0.5089120268821716
6,0.009970106729503141,1.0095152676051249,0.9989433033952435,7691,0.2897169291973114,0.29192882776260376,0.13117630779743195,0.8793928692337428,0.49460938572883606,0.43724751472473145,0.13638560473918915,0.3140394687652588,1648,0.290522962808609,0.3011348247528076,0.12838979065418243,0.8883050333577134,0.5112333297729492,0.4509093761444092,0.13392755389213562,0.3083796203136444,0.5112333297729492
7,0.009960967771506667,1.006919890855289,1.0128428901283486,7691,0.29021841287612915,0.2920764982700348,0.13060879707336426,0.8802819140138334,0.49328097701072693,0.43749862909317017,0.13577301800251007,0.31262895464897156,1648,0.2968655228614807,0.3073734641075134,0.12989597022533417,0.8883050203313297,0.5229922533035278,0.46019530296325684,0.13554725050926208,0.3121090531349182,0.5229922533035278
8,0.00995061710569696,1.0100179040498625,0.999562856063102,7691,0.2904098927974701,0.293914794921875,0.1305428147315979,0.8808462866928517,0.4975990951061249,0.4402051270008087,0.13570183515548706,0.3124650716781616,1648,0.29328441619873047,0.3024824559688568,0.12791982293128967,0.888305026152365,0.5129382610321045,0.45292314887046814,0.13342416286468506,0.3072204887866974,0.5129382610321045
9,0.009939057285945933,1.0041277204931922,1.0030775949792954,7691,0.2897707521915436,0.2924968898296356,0.13046331703662872,0.8803365050800147,0.4945569634437561,0.43809208273887634,0.13561835885047913,0.3122728765010834,1648,0.28853026032447815,0.3002045154571533,0.127788707613945,0.8883050270086571,0.5086007714271545,0.44954296946525574,0.13328394293785095,0.3068976402282715,0.5086007714271545
