epoch,lr,train_loss,val_loss,train_n,train_mae_log_K,train_mae_log_G,train_mae_log_ratio,train_residual_corr,train_kappa_mae_total,train_kappa_mae_prefactor,train_kappa_mae_anharmonic,train_gamma_mae,val_n,val_mae_log_K,val_mae_log_G,val_mae_log_ratio,val_residual_corr,val_kappa_mae_total,val_kappa_mae_prefactor,val_kappa_mae_anharmonic,val_gamma_mae,val_select_score
0,0.009998914383200485,0.3530205150211513,0.27285232127291487,7691,0.23443104326725006,0.22089466452598572,0.14092256128787994,0.8399533320820772,0.39255520701408386,0.3306916058063507,0.14515554904937744,0.33423304557800293,1648,0.18893392384052277,0.1831722855567932,0.12645494937896729,0.6982834325120164,0.34571003913879395,0.27379554510116577,0.13187456130981445,0.30365243554115295,0.34571003913879395
1,0.009995658008989348,0.2276887568373811,0.21404547656624062,7691,0.1484011560678482,0.1464148908853531,0.11827993392944336,0.6540247501236204,0.29039281606674194,0.2186574935913086,0.12272196263074875,0.282577782869339,1648,0.13002555072307587,0.14653432369232178,0.10708533227443695,0.6998567886136938,0.292202889919281,0.21874751150608063,0.11146296560764313,0.25665295124053955,0.292202889919281
2,0.009990232305719944,0.20751295820074264,0.19615998748436714,7691,0.1352105736732483,0.14577190577983856,0.10801371932029724,0.6847056797422043,0.2872859239578247,0.21766981482505798,0.11178465187549591,0.2573936879634857,1648,0.1262492835521698,0.13595758378505707,0.10440545529127121,0.6621635444935747,0.27292200922966003,0.20296922326087952,0.10828762501478195,0.2493414580821991,0.27292200922966003
3,0.009982639653285047,0.19328245953037346,0.19625236730552414,7691,0.12647223472595215,0.13949355483055115,0.1029362678527832,0.6651580281605876,0.2768958806991577,0.20819170773029327,0.10634760558605194,0.24487441778182983,1648,0.13322290778160095,0.14766226708889008,0.10293098539113998,0.6769959831073701,0.2896215617656708,0.2204984426498413,0.106868676841259,0.24607422947883606,0.2896215617656708
4,0.009972883382072953,0.2003913898044717,0.19250824599011432,7691,0.13507233560085297,0.14728720486164093,0.1047486886382103,0.69005378737215,0.2864760160446167,0.21995264291763306,0.10824955999851227,0.24925383925437927,1648,0.11271576583385468,0.1401154100894928,0.10242091864347458,0.6662710778208281,0.282900333404541,0.20905426144599915,0.10620207339525223,0.2445392906665802,0.282900333404541
5,0.009960967771506667,0.1940025417326703,0.1996001214946358,7691,0.12527213990688324,0.14121267199516296,0.1034698486328125,0.6657979582257054,0.28097453713417053,0.21074646711349487,0.1069076880812645,0.24616406857967377,1648,0.11467987298965454,0.14366497099399567,0.10037612915039062,0.6339484561703969,0.2854835093021393,0.2144235521554947,0.1040625125169754,0.23961281776428223,0.2854835093021393
6,0.009946898048166793,0.1843564919735052,0.29230333676615966,7691,0.11915100365877151,0.13499929010868073,0.10022339224815369,0.6553556821926154,0.2699553370475769,0.2014523595571518,0.10344948619604111,0.23820126056671143,1648,0.20959298312664032,0.2480829805135727,0.1056886687874794,0.6212822576664778,0.43143951892852783,0.3713265657424927,0.10966889560222626,0.25252199172973633,0.43143951892852783
7,0.009930680383498999,0.19741678119341244,0.17629499805783763,7691,0.1297045350074768,0.147861510515213,0.10268490016460419,0.6857517212665726,0.29085221886634827,0.2207101285457611,0.10603639483451843,0.2441578358411789,1648,0.10229424387216568,0.121546171605587,0.09928382933139801,0.5907724384742131,0.25401240587234497,0.18116892874240875,0.10305521637201309,0.23729339241981506,0.25401240587234497
8,0.00991232189110701,0.1814646861062932,0.21036416465796312,7691,0.1179676353931427,0.13156037032604218,0.09995157271623611,0.6462989897523124,0.2640124559402466,0.19633950293064117,0.10317710787057877,0.23757408559322357,1648,0.10698746144771576,0.1413986086845398,0.10948260873556137,0.5918912632320101,0.29611238837242126,0.210715651512146,0.11383655667304993,0.2621183693408966,0.29611238837242126
9,0.009891830623632338,0.18197363268227032,0.19877178098970247,7691,0.11537975817918777,0.13346552848815918,0.10010182857513428,0.6424325327622047,0.2690410017967224,0.19911766052246094,0.10333308577537537,0.2379332333803177,1648,0.11500922590494156,0.1332642138004303,0.10532329976558685,0.6419317879702209,0.27737849950790405,0.1987113207578659,0.10929080098867416,0.2516513466835022,0.27737849950790405
10,0.009869215569222142,0.17879060060735208,0.16851266755641087,7691,0.12288011610507965,0.13181203603744507,0.09913564473390579,0.6548375362067888,0.261077880859375,0.19680838286876678,0.10231707245111465,0.2355937659740448,1648,0.0994144007563591,0.11696910858154297,0.09812892228364944,0.5723294830437625,0.24661216139793396,0.17433901131153107,0.10176269710063934,0.23431725800037384,0.24661216139793396
11,0.009844486647586723,0.17388276572717892,0.1807480946327876,7691,0.11381206661462784,0.1266627460718155,0.09887728840112686,0.6226481930676089,0.25605347752571106,0.18896949291229248,0.10197140276432037,0.23479783535003662,1648,0.14301662147045135,0.1503455638885498,0.09473857283592224,0.6087593078706413,0.2829381227493286,0.22458624839782715,0.09824138134717941,0.2262091338634491,0.2829381227493286
12,0.009817654705648408,0.17441262977476038,0.17900718676233754,7691,0.11177524924278259,0.128364697098732,0.0978010892868042,0.6333795704224898,0.2593690752983093,0.19151970744132996,0.10095368325710297,0.23245444893836975,1648,0.10884064435958862,0.12739133834838867,0.0985332578420639,0.621089629611575,0.26011964678764343,0.19002428650856018,0.10219986736774445,0.23532389104366302,0.26011964678764343
13,0.009788731512783732,0.16828403598177868,0.1717637665931461,7691,0.10984630137681961,0.12346435338258743,0.09636907279491425,0.6225042680485964,0.2498999387025833,0.18422074615955353,0.09943225234746933,0.22895123064517975,1648,0.10460535436868668,0.12440567463636398,0.09802805632352829,0.5739463837594027,0.25927677750587463,0.18540778756141663,0.10163452476263046,0.2340221405029297,0.25927677750587463
14,0.009757729755661011,0.17033302767884978,0.1901087873769038,7691,0.11250009387731552,0.12666372954845428,0.09661418199539185,0.6381302011035738,0.25504156947135925,0.18902546167373657,0.09963657706975937,0.2294217050075531,1648,0.11492092162370682,0.13260330259799957,0.09985142946243286,0.6419170570036711,0.2679784893989563,0.1979328840970993,0.10387185215950012,0.2391737848520279,0.2679784893989563
15,0.009724663032675532,0.17313554817128904,0.1731249546831094,7691,0.11818026751279831,0.1269376426935196,0.09777133911848068,0.6435129306848234,0.25410526990890503,0.1894836574792862,0.1008354127407074,0.232182115316391,1648,0.11606529355049133,0.1328945904970169,0.09522177278995514,0.6341933995324797,0.26340895891189575,0.19834773242473602,0.09875775128602982,0.22739814221858978,0.26340895891189575
16,0.009689545847984864,0.1708992733890749,0.17398344804939714,7691,0.11670136451721191,0.12840481102466583,0.09619902819395065,0.6461873770956301,0.25585564970970154,0.19165965914726257,0.09917697310447693,0.22836340963840485,1648,0.12091942876577377,0.12318188697099686,0.09925325959920883,0.5558095104195451,0.2476019561290741,0.18382951617240906,0.1031697541475296,0.23755715787410736,0.2476019561290741
17,0.009652393605146845,0.166224285313079,0.1710706840730408,7691,0.11014727503061295,0.12153366208076477,0.09614010155200958,0.6141760208572696,0.2470131665468216,0.18134279549121857,0.099178247153759,0.22836636006832123,1648,0.11799540370702744,0.13716986775398254,0.09504833817481995,0.5901198677862225,0.27287641167640686,0.20459632575511932,0.09860062599182129,0.22703631222248077,0.27287641167640686
18,0.009613222600363078,0.16740206474136304,0.19109976190386466,7691,0.10985329747200012,0.12283463776111603,0.09669628739356995,0.6139273056619576,0.24975928664207458,0.18324215710163116,0.0997476652264595,0.2296774685382843,1648,0.12132124602794647,0.14886032044887543,0.0945364236831665,0.6146681383932359,0.28539592027664185,0.22246594727039337,0.09810341894626617,0.22589147090911865,0.28539592027664185
