Material,Bulk modulus (GPa),Shear modulus (GPa),Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),Sound velocity longitudinal (m s-1),Sound velocity transverse (m s-1),Speed of sound (m s-1),Acoustic Debye Temperature (K),Poisson ratio,Gruneisen parameter,Kappa_Slack (W m-1 K-1),Kappa_cal (W m-1 K-1)
mp-29264,2.8229203,1.0954399,36,1054.7995096395034,2.563795871329182,1628.5618800000002,1292.5817267050265,653.6609758953108,732.7890457585955,21.432140080083915,0.3281968470478222,1.9620609727383125,0.011964203535385683,0.010635424043470584
mp-556171,14.77033,3.8253083,120,2301.5265296483562,3.6039765625154994,4995.1535776,2348.097094494135,1030.2490997235368,1163.1911840355515,26.22943790704736,0.38079759436864113,2.4150874091918655,0.016668952148004196,0.01458236340875606
mp-648469,3.9944818,1.6712242,68,1913.874187885147,2.1250835532907644,2449.290496,1711.2136786003216,886.8075002678968,992.6299274644091,23.802693999194325,0.31641178701897527,1.8792197675348674,0.017486775654414144,0.015418007913664163
mp-30140,3.6781898,1.669427,48,1707.2496243340556,4.0900848709912605,4205.137952,1201.4630726665157,638.8774530227943,713.8733616501536,17.78274134128358,0.3028856189340801,1.7907552180835768,0.018968182764745444,0.016502257842555882
mp-996984,10.206998,1.3033782,4,108.35512983483376,2.6867736673549154,175.32,2108.5045763334783,696.4977036074603,792.5579737412528,49.494593040221304,0.4387594118611449,3.15645812391727,0.02394928151088845,0.017473143829731676
mp-557635,16.225792,4.9855266,112,2276.652345135975,3.7347865923129553,5120.512256,2474.7435495436157,1155.3740838909077,1300.8742878035555,29.440575896852774,0.36064321442577013,2.223102844671353,0.030866077144084084,0.027493163431354495
mp-568493,7.9536357,2.8936734,36,1414.311241587666,5.155162501710794,4390.7454,1513.694001306013,749.2100210972359,840.9685676265951,22.30529525014675,0.33776571613020445,2.03369086338639,0.03708291695105443,0.03309531169813529
mp-29694,10.734239,3.0125823,24,795.8701588122586,4.637589599805981,2222.723476,1783.4658232853112,805.9782153765287,908.844230931879,29.197920701751478,0.3716786791650433,2.3249737909369865,0.038987863669418345,0.034460376016659494
mp-28130,6.6137667,2.716543,44,1163.7093009347095,2.3480174609843427,1645.495616,2087.9050079716635,1075.6169256475869,1204.4311806966869,34.09131069140979,0.3193615135751944,1.8994269187069972,0.044148466787054017,0.039017746057568706
mp-696216,9.015049,3.0805306,40,843.345857981183,1.7517648334939584,889.67712,2736.9642047705365,1326.0956938516788,1490.2690736384266,46.961215278765586,0.34661603205223324,2.1037546663116418,0.04934510177323313,0.04409559208576074
mp-556894,12.515649,3.733942,32,1067.5272289464301,3.8447128105161497,2471.6886759999998,2133.121345947673,985.4891186002109,1110.1505091486688,32.339409502856554,0.3643218842203284,2.256235204691312,0.05200044193179054,0.046223981790740554
mp-671913,9.01687,3.9890735,64,1744.68599116572,3.1345305537771626,3293.3712,2138.5637552980206,1128.1056290361996,1261.2290848422554,31.191153047104812,0.30722707650441267,1.818423891361438,0.05856522743020057,0.05119242938395466
mp-15148,15.274411,4.925621,68,1888.550859177071,2.44408224069585,2779.6838399999997,2989.4228869572203,1419.621571216365,1597.0500662383622,38.46675161040787,0.35441185341534925,2.16876056979345,0.061034286865003104,0.05448933713281683
mp-705514,6.2866907,3.409247,68,1608.7200323738264,2.146574905307474,2079.58856,2246.406721969365,1260.2485445768402,1402.5104553138274,35.636017307285854,0.2703625265723854,1.6027621188491301,0.06657556711249517,0.055295588339442335
mp-570005,2.812862,1.8259461,16,580.0819480218846,4.138990226243035,1445.888,1125.9710519488235,664.1967946820188,735.9536429862118,26.272247062708303,0.2331666649826786,1.4223375550083965,0.07283188633739884,0.05630499751852268
mp-650336,6.8090644,3.7241004,84,1830.7998228598735,1.9303563053573272,2128.282344,2469.750466751775,1388.9670662589374,1545.4489731153587,37.61123493639572,0.2687018033400802,1.593987208738741,0.06851957077230396,0.056749574513856406
mp-772034,9.89715,4.210864,52,2381.801031934519,4.721363274901779,6772.1068,1812.5712086354008,944.3911361110574,1056.7130137986692,23.55763959242527,0.3136912889987161,1.8608823336036289,0.06735588847222779,0.05924721173484777
