run,d_spearman,d_spearman_lo,d_spearman_hi,d_recall10_pts,d_recall10_lo,d_recall10_hi,d_mae_log10,d_mae_log10_lo,d_mae_log10_hi,spearman_significant,recall10_significant
joint r4 huber 3-ens,0.024015684512752468,0.0051508540364799136,0.045217380693962264,-2.6390909090909087,-13.636363636363635,9.090909090909093,-0.0049193785159223425,-0.017424186617626812,0.007347659077792472,True,False
joint r5 ens B,-0.00017780397219485834,-0.017357056270688308,0.018389516085024468,-6.136136363636364,-18.181818181818183,4.545454545454552,-0.002425947084555472,-0.014894111267159572,0.010297570857053054,False,False
joint r5 ens C,0.005335585886916172,-0.009091429304085954,0.02030818486275208,-3.1415909090909087,-13.63636363636364,6.818181818181824,-0.0008820514367298623,-0.012526878020398341,0.010460282442733468,False,False
r7 matbench a=0.4,-0.0015954455399829705,-0.017209156129933,0.01432860576491935,-2.256363636363636,-13.636363636363635,6.818181818181824,-0.005296453095924993,-0.01759310102914044,0.007032440952033768,False,False
r7 +AFLOW a=0.0,0.014190793522616872,-0.0026608702496900977,0.032961994416557214,-1.165,-11.36363636363636,9.090909090909093,-0.015912608835057754,-0.027770708263168627,-0.004122410622841358,False,False
r7 +AFLOW a=0.4,-0.007621175248049168,-0.024761624764551998,0.009525310743487779,-4.4854545454545445,-15.909090909090907,6.818181818181812,-0.0018242126310879733,-0.014042980250130338,0.010334561746555455,False,False
separate 1-model,-0.02356144974075023,-0.04196245751907318,-0.005794969003102653,-1.1788636363636362,-9.090909090909093,6.818181818181824,0.019973492177903278,0.010102270617652013,0.030125064965059182,True,False
r4 huber s42,0.015190171287943957,-0.0069335071493614895,0.03889740037945072,-0.5347727272727272,-13.636363636363635,11.363636363636365,-0.004618336355589187,-0.01986958344645931,0.010650777597938824,False,False
r4 huber s1,-0.010775535470341224,-0.03399051198132148,0.012558564957105625,-2.979545454545454,-15.909090909090907,9.090909090909093,0.024215020931217846,0.009473256504983651,0.03935810971476268,False,False
r4 huber s2,0.011387701816709969,-0.010930569249519986,0.036617359012188135,-7.287272727272726,-18.181818181818187,4.545454545454541,0.007014192035382637,-0.007234296591377693,0.021101522070155043,False,False
r5 huber s3,-0.02561440995193251,-0.04804658752205521,-0.004761721533954976,-8.409545454545455,-20.454545454545453,2.272727272727282,0.015442717078139953,-0.00011142439033565206,0.030842629667342813,True,False
r5 huber s4,-0.009639209083252488,-0.03211928011305473,0.014504727429646924,-4.651136363636363,-18.181818181818176,6.818181818181824,0.008416758021373597,-0.00831003102660501,0.02508266924324798,False,False
