run,family,tier,n_scored,recall10_full,n_bin10_full,recall20_full,n_bin20_full,spearman_full,mae_log10_full,median_ae_log10_full,p95_ae_log10_full,recall10_proxy,n_bin10_proxy,recall20_proxy,n_bin20_proxy,spearman_proxy,mae_log10_proxy,median_ae_log10_proxy,p95_ae_log10_proxy
separate 3-ens (baseline),cgcnn,ensemble,441,65.9090909090909,44,76.13636363636364,88,0.8466455006230136,0.23495462285467256,0.18650730996278728,0.5996499864477942,56.81818181818182,44,67.04545454545455,88,0.7719208502926259,1.0378218225058176,1.059977613726711,1.603233166687962
joint r4 huber 3-ens,cgcnn,ensemble,441,61.36363636363637,44,73.86363636363636,88,0.8706594435438144,0.22998829882619068,0.18898296484163024,0.5725482751038619,56.81818181818182,44,68.18181818181817,88,0.7743738596399321,1.0589856550624344,1.0854671034198906,1.6551608745611714
joint r5 ens B,cgcnn,ensemble,441,59.09090909090909,44,70.45454545454545,88,0.8465090124517669,0.23252037607705564,0.18409040775736302,0.6204931595344968,54.54545454545454,44,67.04545454545455,88,0.7645365673917535,1.0260887696548588,1.0459094047013795,1.6055385969161038
joint r5 ens C,cgcnn,ensemble,441,59.09090909090909,44,71.5909090909091,88,0.852002958666193,0.23405829518568821,0.19148192078130077,0.5945588251391887,56.81818181818182,44,67.04545454545455,88,0.7650457920962666,1.0471011827904222,1.0701031436714483,1.6506225077161216
r7 matbench a=0.4,cgcnn,ensemble,441,61.36363636363637,44,73.86363636363636,88,0.8449953299498373,0.22965897612597047,0.19464550339626663,0.5976474204417533,56.81818181818182,44,65.9090909090909,88,0.7669885273681889,1.0262590932229823,1.0471821421798362,1.608699974281012
r7 +AFLOW a=0.0,cgcnn,ensemble,441,63.63636363636363,44,73.86363636363636,88,0.860871331810442,0.21905030225808267,0.18786395005825818,0.5220437517418126,56.81818181818182,44,65.9090909090909,88,0.7729144645910456,1.0447443228851676,1.072954026469011,1.6261531393489448
r7 +AFLOW a=0.4,cgcnn,ensemble,441,59.09090909090909,44,73.86363636363636,88,0.8390359527752348,0.23310129268875257,0.18648104662694365,0.6137609336018963,50.0,44,67.04545454545455,88,0.7584909319315809,1.0285492837589338,1.0380603844639658,1.6490625634302916
separate 1-model,cgcnn,single,441,65.9090909090909,44,68.18181818181817,88,0.823101186145872,0.2548989832199483,0.20755288463364963,0.6676558871285139,56.81818181818182,44,68.18181818181817,88,0.7540401303206707,1.0385123538306729,1.067832100575234,1.60914100231007
r4 huber s42,cgcnn,single,441,63.63636363636363,44,76.13636363636364,88,0.8619636569287638,0.23022369130553522,0.19089726144018082,0.5746796362451597,56.81818181818182,44,70.45454545454545,88,0.7713495727906268,1.0344367882576153,1.0727231280467284,1.642666997162468
r4 huber s1,cgcnn,single,441,61.36363636363637,44,70.45454545454545,88,0.8359580780534667,0.2591410955468131,0.21945582717191536,0.6497759300611139,59.09090909090909,44,61.36363636363637,88,0.7466420656823632,1.076566152830915,1.0964857834118886,1.6781116126608921
r4 huber s2,cgcnn,single,441,54.54545454545454,44,72.72727272727273,88,0.8579633852116662,0.2419723662921176,0.2001818124997795,0.6084085349843937,54.54545454545454,44,64.77272727272727,88,0.7644731154331063,1.0667647616904585,1.0742742529410205,1.6824542910266578
r5 huber s3,cgcnn,single,441,54.54545454545454,44,69.31818181818183,88,0.8210032139431467,0.2504043067137943,0.19337219998438526,0.6635086858055352,52.27272727272727,44,64.77272727272727,88,0.7435141009910348,1.0329849443717367,1.0457010976828174,1.6173742417941375
r5 huber s4,cgcnn,single,441,59.09090909090909,44,70.45454545454545,88,0.8370807649689803,0.24336386554658557,0.20408941064367964,0.6247364823578538,56.81818181818182,44,67.04545454545455,88,0.7612620405688196,1.0236398961481588,1.0555363980670287,1.6633886028486717
r5 huber s5,cgcnn,single,441,59.09090909090909,44,72.72727272727273,88,0.8331896278224337,0.23846145235697355,0.18127077338673991,0.6435827744468465,54.54545454545454,44,69.31818181818183,88,0.7512124955725312,1.0224993488255554,1.0428001689843138,1.6243649068967603
r5 huber s6,cgcnn,single,441,59.09090909090909,44,70.45454545454545,88,0.8399775182784687,0.24174862327970315,0.19787177479623685,0.6629543642492213,61.36363636363637,44,67.04545454545455,88,0.7616244233094952,1.0389814459900566,1.0664383834391504,1.6311242900105376
r5 huber s7,cgcnn,single,441,61.36363636363637,44,70.45454545454545,88,0.8260390048354331,0.255869060386662,0.20695131588035265,0.6392622075632579,52.27272727272727,44,64.77272727272727,88,0.7486476932484686,1.0425502081135325,1.0789101643110635,1.6361705089388021
r5 huber s8,cgcnn,single,441,56.81818181818182,44,71.5909090909091,88,0.8457447906256784,0.2397217074272219,0.19717614993355917,0.588129582024911,56.81818181818182,44,63.63636363636363,88,0.753255550699691,1.060178769261151,1.0733337986064546,1.674185238909804
r7 mb a=0.4 s42,cgcnn,single,441,56.81818181818182,44,70.45454545454545,88,0.8111820820063768,0.261538454024768,0.20757716547678962,0.6737167169362044,50.0,44,63.63636363636363,88,0.7342872627573609,1.0462399390681807,1.0835271914237052,1.634016587050366
r7 mb a=0.4 s1,cgcnn,single,441,59.09090909090909,44,69.31818181818183,88,0.8411858338570298,0.24369801914361722,0.19312022817549468,0.6328803627452947,54.54545454545454,44,69.31818181818183,88,0.7708376896799081,1.011163031317202,1.0259756839367395,1.5825395770958885
r7 mb a=0.4 s2,cgcnn,single,441,59.09090909090909,44,70.45454545454545,88,0.8303475817143369,0.2430759546176319,0.19541499171474208,0.6180613710541232,56.81818181818182,44,63.63636363636363,88,0.7524854523967265,1.021111137329242,1.048790434667377,1.6462087478768426
r7 af a=0.0 s42,cgcnn,single,441,61.36363636363637,44,75.0,88,0.8423898819940503,0.23882632007190882,0.20078780218243142,0.5692004859404041,54.54545454545454,44,65.9090909090909,88,0.7632468206336274,1.0588288719606245,1.070862522507379,1.655148392881826
r7 af a=0.0 s1,cgcnn,single,441,56.81818181818182,44,72.72727272727273,88,0.8450408726456249,0.22975943534697119,0.1904759668490752,0.618004071994126,54.54545454545454,44,65.9090909090909,88,0.7595519857979566,1.029863862314466,1.0414669107052623,1.6224491099571747
r7 af a=0.0 s2,cgcnn,single,441,61.36363636363637,44,71.5909090909091,88,0.8423391624019673,0.22761211317233207,0.18174956510389517,0.5739220516192705,56.81818181818182,44,63.63636363636363,88,0.757638423036239,1.0468172802571498,1.0637348145428152,1.6293957447269156
r7 af a=0.4 s42,cgcnn,single,441,59.09090909090909,44,68.18181818181817,88,0.8166357323793687,0.2453983490992205,0.18727925367471032,0.6879690365403333,56.81818181818182,44,61.36363636363637,88,0.7425611323243394,1.0227041460561461,1.0240936319746206,1.6848596771022617
