material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,ALIGNN_K_VRH_pred,ALIGNN_G_VRH_pred,ALIGNN_Kappa_cal,ALIGNN_is_low_kappa_candidate,alignn_prediction_reliable,space_group,crystal_system,worse_model_Kappa_cal,family
c03b821eda,Ag3HgAsO4,9,146.94118851876254,7.493653638846149,663.1138000000001,52.92164909557099,12.587567428372283,0.021726989796102,0.0548572331247012,0.3898098976023013,2.509979984053035,0.2929269394868671,0.1677542490590502,0.2911106061812037,0.4951831685996306,True,50.27485656738281,9.793946266174316,0.1620202032126562,True,True,P1,triclinic,0.2929269394868671,complex oxide (4 elements)
26f790a4a2,KRb2BiO4,8,189.4956696301344,4.232604007620725,483.0119,27.24195816274789,8.472903868089926,0.04560555343489,0.0519411546556306,0.3590961426115318,2.20940570749865,0.3545046186753142,0.2056419133595467,0.3568846366477519,0.607598117671654,True,21.51108169555664,7.445504665374756,0.3286285492502651,True,True,C2,monoclinic,0.3545046186753142,complex oxide (4 elements)
bcf3ef5d3b,CsK2SbO4,8,182.6576449615065,3.6078476594659903,396.8596519,26.679781594738188,8.978495695804027,0.0491416411768873,0.0411833555246183,0.34870736617421,2.1208805090546594,0.4514134316518436,0.2805148064208487,0.4535955355184561,0.7073783582459436,True,36.3021354675293,9.356131553649902,0.3574431626047917,True,True,I-42m,tetragonal,0.4514134316518436,complex oxide (4 elements)
15aca1906a,K2RbSbO4,8,175.43559264491546,3.3073612588669903,349.422,30.81823747950553,9.51799488471989,0.0613149571760025,0.0349448019092364,0.359992024318584,2.2173206332054063,0.4617528231785603,0.3032651709630355,0.4606684716406425,0.7151534987612392,True,37.99662399291992,11.187141418457031,0.5580383672718205,True,True,I-42m,tetragonal,0.5580383672718205,complex oxide (4 elements)
5e5c060528,KAg(HgO2)2,8,139.99801260064197,7.260740170351605,612.1441000000001,38.79056659488402,12.809954909939334,0.068408458568704,0.059337332513346,0.3512564929568634,2.1420623137541885,0.4860363676802423,0.254021261733094,0.4779236864690872,0.9192332885697088,True,40.85655212402344,15.887593269348145,0.8030791933018214,True,True,P-1,triclinic,0.8030791933018214,complex oxide (4 elements)
c9edccbfa0,K2NiAuO4,8,152.52915374772869,4.3313188011904105,397.854169,40.56554516101863,15.077534885017398,0.0606314259211575,0.095732458856961,0.3346449313736409,2.0098758447180427,0.9416222562573604,0.3495506138795745,0.932581981708004,2.435125596538529,True,34.962398529052734,14.284662246704102,0.9622868084262756,True,True,Amm2,orthorhombic,0.9622868084262756,complex oxide (4 elements)
8b73a21f72,Cs2CoCuO4,8,182.0217099140831,4.126108883406401,452.2876988,22.98068941749071,11.661313385745512,0.0878116362044156,0.05241331097994,0.2829871436768038,1.6719515465394037,0.9694266015461156,0.5212671014310023,0.9525314838043024,1.6901537492400445,True,31.75704765319824,9.969520568847656,0.4568420822947468,True,True,Amm2,orthorhombic,0.9694266015461156,complex oxide (4 elements)
da19bfc978,K2NiAgO4,8,152.39920187619515,3.364197858937303,308.7558,40.38801892402877,15.035290525660296,0.0546142960722372,0.0751712189208359,0.3344123064027078,2.0081185771987857,1.0654783793465594,0.4817055890288608,1.0531786403461596,2.241922201747431,False,34.79029083251953,13.99061679840088,1.0400731862491583,False,True,Amm2,orthorhombic,1.0654783793465594,complex oxide (4 elements)
c3b3e9a64e,NaAg(HgO2)2,8,124.4387605883574,7.9536339366917,596.03556928,53.656463653573006,14.214210938352585,0.1055295512015624,0.083735693494166,0.3782915970650454,2.3897551181679835,0.4088939913101401,0.1622648681662479,0.4105762749150876,1.0225426210709203,True,45.07765197753906,19.36870002746582,1.1058187965863375,False,True,P-1,triclinic,1.1058187965863375,complex oxide (4 elements)
39bfae3723,KNaCd3O4,9,158.2411534178757,4.86193847227452,463.31866928,60.12278158453893,20.57965348273185,0.0281546078514695,0.0464844591252835,0.34638075275679,2.101841970383437,1.1650721302630025,0.7322038697874222,1.1560470346107778,1.8828918952487264,False,60.38734817504883,20.963563919067383,1.216554763962194,False,True,Cm,monoclinic,1.216554763962194,complex oxide (4 elements)
943cfb4add,Ag2PdPtO4,8,112.33976608185496,8.591511634781801,581.238,135.4485703688677,32.68174775526582,0.0113702189440963,0.029379616269705,0.3883381423112245,2.494063706776661,1.1959790435628386,0.9087192347276682,1.2013993790386996,1.578407020127604,False,122.310791015625,31.8142318725586,1.247737029737359,False,True,P2/m,monoclinic,1.247737029737359,complex oxide (4 elements)
416f3a815b,ZnAg2SnO4,8,112.5582712836921,6.8430868735929575,463.853,123.04024876447666,28.590522815481258,0.0067721618337935,0.0354611827854182,0.392168546495277,2.535843497991976,1.0528649915792454,0.7256207237484253,1.0487234658024698,1.4767818797292758,False,118.96036529541016,30.690635681152344,1.313613368538223,False,True,P2/m,monoclinic,1.313613368538223,complex oxide (4 elements)
