source,mb_id,formula,n_sites,K_VRH,G_VRH,split,family,gid,gamma,kappa_agl,density_g_cm3,volume_m3
matbench,mb-00032,ErZnAsO,8,77.0,35.0,train,complex oxide (4 elements),,,,,
matbench,mb-00133,Ba2UMnO6,10,103.99999999999996,52.00000000000001,test,complex oxide (4 elements),,,,,
matbench,mb-00153,Sr2MgSi2O7,24,85.99999999999999,42.99999999999999,test,complex oxide (4 elements),,,,,
matbench,mb-00378,Ba2FeReO6,10,124.99999999999994,75.00000000000001,train,complex oxide (4 elements),,,,,
matbench,mb-00422,CaMgSiO4,28,101.0,54.000000000000014,train,complex oxide (4 elements),,,,,
matbench,mb-00441,Na3Mn2SbO6,12,97.0,52.00000000000001,val,complex oxide (4 elements),,,,,
matbench,mb-00570,RbTiAsO5,64,66.00000000000001,37.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-00625,Mg2Al4Si5O18,58,122.00000000000004,49.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-00692,Ba4Y(CuO3)3,34,103.99999999999996,50.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-00920,Na2Ti2As2O,7,62.0,13.999999999999998,test,complex oxide (4 elements),,,,,
matbench,mb-00999,KAg2AsO4,8,49.99999999999999,17.999999999999996,train,complex oxide (4 elements),,,,,
matbench,mb-01190,Sr2TaCrO6,10,187.00000000000003,107.0,train,complex oxide (4 elements),,,,,
matbench,mb-01593,Ba2CePtO6,10,138.0,63.0,train,complex oxide (4 elements),,,,,
matbench,mb-01634,Ba2CaIrO6,10,109.00000000000004,57.00000000000001,train,complex oxide (4 elements),,,,,
matbench,mb-01882,LiMnFeO4,14,121.00000000000006,67.0,train,complex oxide (4 elements),,,,,
matbench,mb-02047,Ba2YNbO6,10,134.00000000000003,77.0,test,complex oxide (4 elements),,,,,
matbench,mb-02053,Ba2NiWO6,10,122.00000000000004,64.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-02158,BaEu2CoO5,9,124.00000000000004,36.0,val,complex oxide (4 elements),,,,,
matbench,mb-02224,KLiZnO2,10,58.00000000000001,34.0,val,complex oxide (4 elements),,,,,
matbench,mb-02322,Li2MnSiO4,16,81.0,44.0,test,complex oxide (4 elements),,,,,
matbench,mb-02357,Ba2CoMoO6,10,121.00000000000006,63.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-02417,LiFeAs2O7,11,96.0,47.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-02565,Li2MgMn3O8,56,116.00000000000004,68.00000000000001,train,complex oxide (4 elements),,,,,
matbench,mb-02602,CaMg(SiO3)2,20,102.0,63.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-02618,Ba2LiOsO6,10,85.99999999999999,39.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-02631,Ba2NiMoO6,10,122.00000000000004,67.0,train,complex oxide (4 elements),,,,,
matbench,mb-02689,Sr2MnMoO6,20,122.00000000000004,58.00000000000001,train,complex oxide (4 elements),,,,,
matbench,mb-02693,KNaTiO3,12,56.00000000000001,26.0,test,complex oxide (4 elements),,,,,
matbench,mb-02925,Ba2MgReO6,10,118.99999999999996,68.00000000000001,train,complex oxide (4 elements),,,,,
matbench,mb-03020,Mg3Si4(HO6)2,21,47.00000000000001,25.000000000000007,test,complex oxide (4 elements),,,,,
matbench,mb-03105,Sr2MgWO6,10,127.0,72.00000000000001,train,complex oxide (4 elements),,,,,
matbench,mb-03116,Ba2LiReO6,10,83.99999999999999,42.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-04005,Ba2YTaO6,10,134.00000000000003,75.00000000000001,val,complex oxide (4 elements),,,,,
matbench,mb-04014,Sr2TaGaO6,10,150.99999999999994,92.0,test,complex oxide (4 elements),,,,,
matbench,mb-04046,NdZnSbO,8,61.000000000000014,22.0,train,complex oxide (4 elements),,,,,
matbench,mb-04462,CsLiMoO4,7,36.0,10.0,train,complex oxide (4 elements),,,,,
matbench,mb-04521,BaSm2CoO5,9,116.00000000000004,58.00000000000001,train,complex oxide (4 elements),,,,,
matbench,mb-04836,SrTa2Bi2O9,28,83.00000000000001,61.000000000000014,train,complex oxide (4 elements),,,,,
matbench,mb-04865,Ba2YBiO6,10,115.00000000000004,68.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-05101,PrZnSbO,8,61.000000000000014,20.000000000000004,val,complex oxide (4 elements),,,,,
matbench,mb-05295,YZnAsO,8,75.00000000000001,34.0,test,complex oxide (4 elements),,,,,
matbench,mb-05502,LiScAs2O7,11,95.0,47.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-06624,Ba2MgUO6,10,107.0,56.00000000000001,train,complex oxide (4 elements),,,,,
matbench,mb-06628,BaPr2NiO5,9,115.00000000000004,56.00000000000001,val,complex oxide (4 elements),,,,,
matbench,mb-06651,Ba2LaTaO6,20,121.00000000000006,47.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-06733,BaYMn2O5,9,138.99999999999997,66.00000000000001,train,complex oxide (4 elements),,,,,
matbench,mb-06752,K2Na4Ge2O7,60,46.0,23.0,train,complex oxide (4 elements),,,,,
matbench,mb-06762,Li2FeSiO4,16,88.00000000000001,44.0,train,complex oxide (4 elements),,,,,
matbench,mb-06808,Ca3Al2(SiO4)3,80,154.0,97.0,train,complex oxide (4 elements),,,,,
matbench,mb-06934,Ba2YTaO6,10,138.0,81.0,train,complex oxide (4 elements),,,,,
matbench,mb-06989,BaTb2NiO5,9,130.00000000000006,68.00000000000001,train,complex oxide (4 elements),,,,,
matbench,mb-07037,Ba2Mn3(AsO)2,9,49.99999999999999,37.0,train,complex oxide (4 elements),,,,,
matbench,mb-07045,Li2CrFeO4,8,114.00000000000004,75.00000000000001,val,complex oxide (4 elements),,,,,
matbench,mb-07047,CaAl2(SiO4)2,52,83.00000000000001,40.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-07108,Ca2SiH2O5,80,70.99999999999999,36.0,train,complex oxide (4 elements),,,,,
matbench,mb-07171,CaZrSi2O7,11,135.99999999999997,64.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-07278,Sr2MgReO6,10,158.99999999999994,77.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-07317,BaAg2(HgO2)2,18,46.0,17.0,train,complex oxide (4 elements),,,,,
matbench,mb-07466,LiAlSiO4,84,112.99999999999994,45.00000000000001,train,complex oxide (4 elements),,,,,
matbench,mb-07504,KLiMnO2,10,49.99999999999999,27.000000000000004,val,complex oxide (4 elements),,,,,
matbench,mb-07519,CaLaMn2O6,40,153.00000000000003,63.99999999999999,val,complex oxide (4 elements),,,,,
matbench,mb-07576,Ca2AlFeO5,18,127.0,67.0,test,complex oxide (4 elements),,,,,
matbench,mb-07724,Sr2MgWO6,10,179.00000000000006,76.0,train,complex oxide (4 elements),,,,,
matbench,mb-07757,BaHo2NiO5,9,138.99999999999997,70.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-07781,Sr2NiMoO6,10,170.00000000000006,70.00000000000001,train,complex oxide (4 elements),,,,,
matbench,mb-07792,Sr2NiWO6,10,188.00000000000009,70.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-07804,CrFe(BiO3)2,10,116.00000000000004,61.000000000000014,test,complex oxide (4 elements),,,,,
matbench,mb-07847,LiFe(SiO3)2,10,109.99999999999996,39.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-07867,MgPb2WO6,10,52.99999999999999,72.00000000000001,val,complex oxide (4 elements),,,,,
matbench,mb-07989,Li2MnFeO4,8,124.99999999999994,85.99999999999999,test,complex oxide (4 elements),,,,,
matbench,mb-08106,Sr2TlCuO5,9,81.0,54.000000000000014,train,complex oxide (4 elements),,,,,
matbench,mb-08132,NaTi2BiO6,10,102.99999999999996,37.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-08287,CaAl2SiO6,40,127.0,70.00000000000001,val,complex oxide (4 elements),,,,,
matbench,mb-08329,Ba2ZnReO6,10,130.00000000000006,49.99999999999999,val,complex oxide (4 elements),,,,,
matbench,mb-08421,CeCdAsO,8,74.00000000000001,23.999999999999996,train,complex oxide (4 elements),,,,,
matbench,mb-08493,Sr2ZnWO6,10,144.00000000000003,59.00000000000001,val,complex oxide (4 elements),,,,,
matbench,mb-08518,La2MgTiO6,10,150.99999999999994,85.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-08536,BaEr2CoO5,9,127.0,67.0,train,complex oxide (4 elements),,,,,
matbench,mb-08560,Li2FeNiO4,8,109.99999999999996,70.00000000000001,train,complex oxide (4 elements),,,,,
matbench,mb-08596,Ba2UCoO6,10,126.0,165.0,train,complex oxide (4 elements),,,,,
matbench,mb-08598,Ca2Al2SiO7,24,102.0,52.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-08601,LiLa2HO3,7,123.00000000000004,73.0,val,complex oxide (4 elements),,,,,
matbench,mb-08634,Ba2NdCu3O7,13,109.00000000000004,54.000000000000014,train,complex oxide (4 elements),,,,,
matbench,mb-08681,Ca2MgSi2O7,24,84.99999999999999,33.0,val,complex oxide (4 elements),,,,,
matbench,mb-08685,LiNd2HO3,7,127.0,85.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-08724,Na4Al3(SiO4)3,44,28.0,29.0,train,complex oxide (4 elements),,,,,
matbench,mb-08792,La8MgAl7O24,40,184.0,99.0,test,complex oxide (4 elements),,,,,
matbench,mb-08796,Sr2ZnMoO6,10,179.00000000000006,67.0,val,complex oxide (4 elements),,,,,
matbench,mb-08829,LiMnCoO4,14,121.00000000000006,49.99999999999999,val,complex oxide (4 elements),,,,,
matbench,mb-08849,Sr2GaSbO6,10,144.00000000000003,70.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-08888,Li2CoSiO4,16,84.99999999999999,37.0,train,complex oxide (4 elements),,,,,
matbench,mb-08908,Li2CoSnO4,8,128.0,74.00000000000001,train,complex oxide (4 elements),,,,,
matbench,mb-08962,LiLaTiO4,14,119.99999999999996,56.00000000000001,train,complex oxide (4 elements),,,,,
matbench,mb-08981,CeZnSbO,8,83.00000000000001,26.0,train,complex oxide (4 elements),,,,,
matbench,mb-09093,Li2CrFeO4,8,127.0,93.0,test,complex oxide (4 elements),,,,,
matbench,mb-09136,CsLaNb2O7,11,84.99999999999999,47.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-09154,MgNb2(PbO3)3,15,77.0,44.0,train,complex oxide (4 elements),,,,,
matbench,mb-09196,BaNd2CoO5,9,114.00000000000004,54.000000000000014,train,complex oxide (4 elements),,,,,
matbench,mb-09202,LiCe2HO3,7,109.99999999999996,75.00000000000001,train,complex oxide (4 elements),,,,,
matbench,mb-09204,Li2TiVO4,8,135.99999999999997,96.0,test,complex oxide (4 elements),,,,,
matbench,mb-09222,Ba4Cu3PbO9,34,93.0,44.0,val,complex oxide (4 elements),,,,,
matbench,mb-09253,Ba2YCu3O7,13,109.00000000000004,55.00000000000001,train,complex oxide (4 elements),,,,,
matbench,mb-09311,Li2VCrO4,8,123.00000000000004,93.99999999999996,train,complex oxide (4 elements),,,,,
matbench,mb-09329,Sr2GaSbO6,10,174.00000000000009,93.0,train,complex oxide (4 elements),,,,,
matbench,mb-09346,Mg3Al2(SiO4)3,80,159.99999999999991,84.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-09387,Li4Fe(WO4)3,20,133.0,84.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-09399,Ba4Y2Cu6O13,25,93.99999999999996,47.00000000000001,val,complex oxide (4 elements),,,,,
matbench,mb-09463,Ba2CoReO6,10,109.00000000000004,45.00000000000001,val,complex oxide (4 elements),,,,,
matbench,mb-09537,Li2LaTa2O7,12,111.99999999999996,68.99999999999999,val,complex oxide (4 elements),,,,,
matbench,mb-09567,BaYFe2O5,9,126.0,58.00000000000001,train,complex oxide (4 elements),,,,,
matbench,mb-09704,NdMnAsO,8,63.99999999999999,35.0,train,complex oxide (4 elements),,,,,
matbench,mb-09954,Sr2Mn3(AsO)2,9,67.0,40.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-09986,Li2TiMnO4,8,81.0,72.00000000000001,test,complex oxide (4 elements),,,,,
matbench,mb-10142,Li2ZrCuO4,8,111.00000000000004,63.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-10167,Li2Fe2SiO6,11,99.0,32.00000000000001,train,complex oxide (4 elements),,,,,
matbench,mb-10179,Sr2CaMoO6,10,98.0,52.99999999999999,val,complex oxide (4 elements),,,,,
matbench,mb-10316,Li2CrNiO4,8,150.00000000000003,81.0,val,complex oxide (4 elements),,,,,
matbench,mb-10323,Sr2CdWO6,10,107.0,44.0,test,complex oxide (4 elements),,,,,
matbench,mb-10334,Sr2Mn3(SbO)2,9,72.00000000000001,33.0,train,complex oxide (4 elements),,,,,
matbench,mb-10349,Sr2YReO6,10,127.0,49.99999999999999,train,complex oxide (4 elements),,,,,
matbench,mb-10408,SrTa2H2O7,12,49.99999999999999,56.00000000000001,val,complex oxide (4 elements),,,,,
matbench,mb-10577,SmMnSbO,8,59.00000000000001,31.0,train,complex oxide (4 elements),,,,,
matbench,mb-10674,Li2CuBiO4,8,98.0,54.000000000000014,train,complex oxide (4 elements),,,,,
matbench,mb-10748,CeMnSbO,8,59.00000000000001,37.0,test,complex oxide (4 elements),,,,,
