source,mb_id,formula,n_sites,K_VRH,G_VRH,split,family,gid,gamma,kappa_agl,density_g_cm3,volume_m3
matbench,mb-00060,Au2O3,10,81.0,37.99999999999999,test,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-00077,Ho2O3,40,144.99999999999997,64.99999999999999,test,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-00303,Er2O3,40,148.00000000000003,67.0,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-00465,Fe2O3,40,178.00000000000003,78.99999999999999,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-01139,Bi2O3,20,54.000000000000014,30.0,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-01220,Dy2O3,40,141.99999999999994,63.99999999999999,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-01296,Gd2O3,40,131.00000000000006,55.00000000000001,test,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-01697,In2O3,40,144.99999999999997,58.00000000000001,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-02549,Mn2O3,80,150.00000000000003,50.99999999999999,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-02818,Sm2O3,40,130.00000000000006,55.00000000000001,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-03802,Sc2O3,40,168.0,78.99999999999999,val,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-03929,Tl2O3,40,109.00000000000004,32.00000000000001,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-03932,Nd2O3,40,124.00000000000004,50.99999999999999,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-03971,Tb2O3,40,140.00000000000006,61.000000000000014,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-04153,Y2O3,40,138.0,62.0,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-04184,Ac2O3,5,102.99999999999996,35.0,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-04383,As2O3,20,10.0,7.999999999999999,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-05122,Ti2O3,10,215.9999999999999,86.99999999999999,test,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-05214,Cr2O3,10,203.00000000000003,112.99999999999994,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-05302,Ga2O3,10,154.99999999999997,68.99999999999999,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-05306,Al2O3,10,232.00000000000009,146.99999999999997,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-05440,Cu2O3,40,159.99999999999991,56.00000000000001,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-05487,Sb2O3,20,19.0,20.000000000000004,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-06717,Fe2O3,10,192.00000000000003,85.99999999999999,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-07679,Cu2O3,10,93.0,45.00000000000001,test,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-07760,Al2O3,10,186.00000000000009,101.0,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-07932,V2O3,10,202.00000000000009,79.99999999999999,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-08312,Al2O3,40,201.00000000000009,102.99999999999996,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-08691,Bi2O3,20,21.0,23.999999999999996,test,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-08758,La2O3,5,116.00000000000004,37.0,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-08789,Rh2O3,20,232.99999999999997,103.99999999999996,val,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-08812,Pr2O3,5,121.00000000000006,39.99999999999999,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-08989,In2O3,10,150.99999999999994,60.0,test,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-09001,Al2O3,40,215.9999999999999,127.0,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-09105,Al2O3,40,197.0,111.00000000000004,test,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-09141,Al2O3,80,197.0,111.00000000000004,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-09192,Pm2O3,5,128.99999999999994,42.00000000000001,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-09279,Fe2O3,40,162.99999999999994,57.00000000000001,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-09338,Sc2O3,10,174.00000000000009,81.0,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-09442,Fe2O3,40,178.00000000000003,77.99999999999999,test,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-09547,Al2O3,10,95.0,46.0,test,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-09594,Al2O3,40,228.00000000000009,144.00000000000003,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-09611,Er2O3,15,152.00000000000003,68.00000000000001,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-09669,Y2O3,10,138.0,62.0,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-09686,Tm2O3,15,156.0,70.99999999999999,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-09700,Y2O3,30,128.0,63.0,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-09738,Al2O3,10,130.00000000000006,52.00000000000001,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-09965,Y2O3,40,138.99999999999997,64.99999999999999,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-10027,Al2O3,10,189.99999999999997,126.0,test,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-10113,Bi2O3,5,117.0,30.0,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-10124,Ti2O3,30,212.99999999999997,86.99999999999999,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-10150,Y2O3,5,140.00000000000006,42.00000000000001,test,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-10166,Al2O3,20,189.00000000000009,124.99999999999994,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-10240,Al2O3,20,107.0,58.00000000000001,val,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-10278,Al2O3,25,165.99999999999997,74.00000000000001,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-10345,Eu2O3,15,106.00000000000004,44.0,test,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-10410,Sc2O3,10,140.99999999999991,78.99999999999999,val,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-10442,Al2O3,20,181.99999999999997,83.00000000000001,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-10481,Al2O3,5,212.99999999999997,109.99999999999996,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-10514,Lu2O3,5,158.0,46.0,train,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-10522,Al2O3,20,231.00000000000009,144.99999999999997,val,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-10633,Fe2O3,20,188.00000000000009,89.0,val,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-10719,Al2O3,40,146.00000000000003,89.0,val,corundum/bixbyite-like (A2O3),,,,,
matbench,mb-10827,Al2O3,40,138.99999999999997,78.99999999999999,val,corundum/bixbyite-like (A2O3),,,,,
aflow,,Al4O6,10,232.029,147.183,train,corundum/bixbyite-like (A2O3),ag-0b650eb4deb8,1.91619,21.7995,3.87028,8.749273131196288e-29
aflow,,Al8O12,20,230.698,146.201,val,corundum/bixbyite-like (A2O3),ag-c9b85a6eb23d,1.92314,13.7281,3.95526,1.7122584514902367e-28
aflow,,O24Sc16,40,160.512,78.4062,test,corundum/bixbyite-like (A2O3),ag-a617f1128761,1.9357,4.23674,3.61456,5.06850034367101e-28
aflow,,O24Sc16,40,166.643,79.4366,train,corundum/bixbyite-like (A2O3),ag-41bae54feb1c,1.95501,4.10931,3.76097,4.87118977344129e-28
aflow,,Er16O24,40,145.077,67.82,train,corundum/bixbyite-like (A2O3),ag-1e79e7d9fdf1,1.97586,2.30729,8.66313,5.865622182350987e-28
aflow,,Ho16O24,40,145.194,65.7443,train,corundum/bixbyite-like (A2O3),ag-0dbf333d56d4,1.99368,2.16045,8.41601,5.964340493703393e-28
aflow,,O24Tb16,40,138.939,61.7629,train,corundum/bixbyite-like (A2O3),ag-254e98026a32,2.00687,2.05475,7.84462,6.195393948184989e-28
aflow,,As8O12,20,5.13889,5.17245,test,corundum/bixbyite-like (A2O3),ag-8f6257240271,2.02312,7.92942,3.38715,3.879643637758437e-28
aflow,,O6Ti4,10,214.413,84.1226,train,corundum/bixbyite-like (A2O3),ag-134fbf81d7c6,2.02479,9.07885,4.51271,1.057780948602345e-28
