source,mb_id,formula,n_sites,K_VRH,G_VRH,split,family,gid,gamma,kappa_agl,density_g_cm3,volume_m3
matbench,mb-00014,CaHgO2,4,64.99999999999999,13.999999999999998,train,delafossite-like (ABO2),,,,,
matbench,mb-00016,RbAuO2,8,28.0,12.000000000000002,val,delafossite-like (ABO2),,,,,
matbench,mb-00017,RbCuO2,8,32.00000000000001,13.999999999999998,train,delafossite-like (ABO2),,,,,
matbench,mb-00045,AlAgO2,8,154.0,60.0,train,delafossite-like (ABO2),,,,,
matbench,mb-00051,RbLuO2,4,93.0,52.99999999999999,train,delafossite-like (ABO2),,,,,
matbench,mb-00053,RbTmO2,4,83.99999999999999,50.99999999999999,train,delafossite-like (ABO2),,,,,
matbench,mb-00054,RbErO2,4,82.0,49.99999999999999,test,delafossite-like (ABO2),,,,,
matbench,mb-00055,RbDyO2,4,79.99999999999999,47.99999999999999,test,delafossite-like (ABO2),,,,,
matbench,mb-00094,NaPrO2,8,89.0,38.99999999999999,test,delafossite-like (ABO2),,,,,
matbench,mb-00097,NaAlO2,16,81.0,45.00000000000001,val,delafossite-like (ABO2),,,,,
matbench,mb-00119,KYO2,4,79.99999999999999,49.99999999999999,train,delafossite-like (ABO2),,,,,
matbench,mb-00189,KScO2,4,98.0,62.0,test,delafossite-like (ABO2),,,,,
matbench,mb-00191,KTlO2,4,88.00000000000001,27.000000000000004,train,delafossite-like (ABO2),,,,,
matbench,mb-00192,RbTlO2,4,115.00000000000004,38.99999999999999,train,delafossite-like (ABO2),,,,,
matbench,mb-00233,LiCuO2,4,81.0,39.99999999999999,train,delafossite-like (ABO2),,,,,
matbench,mb-00319,CsAuO2,8,26.0,10.0,train,delafossite-like (ABO2),,,,,
matbench,mb-00444,NaMoO2,4,93.99999999999996,63.0,train,delafossite-like (ABO2),,,,,
matbench,mb-00477,CoPtO2,4,179.00000000000006,59.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-00502,SrZnO2,16,90.00000000000003,48.99999999999999,test,delafossite-like (ABO2),,,,,
matbench,mb-00687,CsSmO2,8,68.99999999999999,36.0,val,delafossite-like (ABO2),,,,,
matbench,mb-00688,RbSmO2,4,70.00000000000001,42.00000000000001,test,delafossite-like (ABO2),,,,,
matbench,mb-00689,RbGdO2,4,72.00000000000001,42.99999999999999,val,delafossite-like (ABO2),,,,,
matbench,mb-00690,RbNdO2,4,68.00000000000001,39.99999999999999,train,delafossite-like (ABO2),,,,,
matbench,mb-00737,NaInO2,4,90.00000000000003,57.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-00827,NaNbO2,8,146.00000000000003,97.0,test,delafossite-like (ABO2),,,,,
matbench,mb-00854,KErO2,4,91.0,52.99999999999999,test,delafossite-like (ABO2),,,,,
matbench,mb-00858,RbScO2,8,95.0,55.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-00862,NaCrO2,4,119.99999999999996,79.99999999999999,train,delafossite-like (ABO2),,,,,
matbench,mb-00870,BaCdO2,16,79.99999999999999,36.0,train,delafossite-like (ABO2),,,,,
matbench,mb-00916,SrCuO2,8,88.00000000000001,42.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-00929,SrAgO2,8,77.0,30.0,val,delafossite-like (ABO2),,,,,
matbench,mb-00935,BaCuO2,8,77.0,33.0,val,delafossite-like (ABO2),,,,,
matbench,mb-00942,AgAuO2,8,64.99999999999999,17.0,val,delafossite-like (ABO2),,,,,
matbench,mb-00976,NaCuO2,8,50.99999999999999,22.0,val,delafossite-like (ABO2),,,,,
matbench,mb-00983,CuPdO2,8,156.0,28.0,train,delafossite-like (ABO2),,,,,
matbench,mb-00985,TlAgO2,8,88.00000000000001,19.0,train,delafossite-like (ABO2),,,,,
matbench,mb-00987,MnAgO2,4,85.99999999999999,37.99999999999999,val,delafossite-like (ABO2),,,,,
matbench,mb-00993,CuAgO2,4,106.00000000000004,16.0,train,delafossite-like (ABO2),,,,,
matbench,mb-01127,BaZnO2,12,83.00000000000001,33.0,train,delafossite-like (ABO2),,,,,
matbench,mb-01525,ScCuO2,8,136.99999999999997,46.0,val,delafossite-like (ABO2),,,,,
matbench,mb-01703,LiNbO2,8,154.0,100.0,train,delafossite-like (ABO2),,,,,
matbench,mb-01724,KCuO2,8,36.0,19.0,val,delafossite-like (ABO2),,,,,
matbench,mb-01977,LiFeO2,16,126.0,79.99999999999999,train,delafossite-like (ABO2),,,,,
matbench,mb-02007,CrAuO2,4,156.99999999999994,62.0,val,delafossite-like (ABO2),,,,,
matbench,mb-02063,CsGdO2,8,70.00000000000001,37.0,train,delafossite-like (ABO2),,,,,
matbench,mb-02067,NaLaO2,8,88.00000000000001,34.0,train,delafossite-like (ABO2),,,,,
matbench,mb-02084,RbCrO2,4,108.00000000000004,67.0,train,delafossite-like (ABO2),,,,,
matbench,mb-02085,KHoO2,4,83.00000000000001,52.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-02094,NaTmO2,4,83.99999999999999,58.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-02113,ScHO2,8,77.99999999999999,48.99999999999999,val,delafossite-like (ABO2),,,,,
matbench,mb-02263,CsNdO2,8,66.00000000000001,34.0,train,delafossite-like (ABO2),,,,,
matbench,mb-02265,CsCuO2,8,29.0,11.000000000000002,test,delafossite-like (ABO2),,,,,
matbench,mb-02422,NaAgO2,4,56.00000000000001,26.0,val,delafossite-like (ABO2),,,,,
matbench,mb-02434,KNdO2,4,68.99999999999999,42.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-02436,CsHoO2,8,83.00000000000001,40.99999999999999,train,delafossite-like (ABO2),,,,,
matbench,mb-02437,CsDyO2,8,83.99999999999999,39.99999999999999,val,delafossite-like (ABO2),,,,,
matbench,mb-02440,SmAgO2,8,100.0,27.000000000000004,train,delafossite-like (ABO2),,,,,
matbench,mb-02442,CsErO2,8,89.0,42.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-02451,NaScO2,4,103.99999999999996,70.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-02454,KTmO2,4,86.99999999999999,54.000000000000014,test,delafossite-like (ABO2),,,,,
matbench,mb-02501,NaVO2,4,114.00000000000004,49.99999999999999,train,delafossite-like (ABO2),,,,,
matbench,mb-02539,KInO2,4,50.99999999999999,39.99999999999999,test,delafossite-like (ABO2),,,,,
matbench,mb-02590,PdPbO2,8,83.99999999999999,22.0,test,delafossite-like (ABO2),,,,,
matbench,mb-02646,FeAgO2,4,131.00000000000006,40.99999999999999,train,delafossite-like (ABO2),,,,,
matbench,mb-02733,GaCuO2,4,150.99999999999994,59.00000000000001,test,delafossite-like (ABO2),,,,,
matbench,mb-02877,CoCuO2,4,208.0,27.000000000000004,train,delafossite-like (ABO2),,,,,
matbench,mb-02900,CuRhO2,4,164.00000000000003,45.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-02919,CrAgO2,4,140.00000000000006,45.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-03067,MnCuO2,4,111.99999999999996,40.99999999999999,test,delafossite-like (ABO2),,,,,
matbench,mb-03183,AlCuO2,4,158.99999999999994,79.99999999999999,train,delafossite-like (ABO2),,,,,
matbench,mb-03184,KCrO2,4,111.00000000000004,70.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-03474,CrCuO2,4,154.99999999999997,58.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-03476,NaFeO2,4,114.00000000000004,72.00000000000001,test,delafossite-like (ABO2),,,,,
matbench,mb-03489,FeCuO2,4,143.00000000000003,49.99999999999999,val,delafossite-like (ABO2),,,,,
matbench,mb-03638,LiTiO2,8,170.99999999999991,123.00000000000004,val,delafossite-like (ABO2),,,,,
matbench,mb-03639,CsScO2,8,63.0,15.000000000000004,train,delafossite-like (ABO2),,,,,
matbench,mb-03728,BaAgO2,4,82.0,44.0,train,delafossite-like (ABO2),,,,,
matbench,mb-03782,AlHO2,8,114.00000000000004,82.0,train,delafossite-like (ABO2),,,,,
matbench,mb-03924,LiVO2,4,119.99999999999996,62.0,train,delafossite-like (ABO2),,,,,
matbench,mb-04174,ScAgO2,8,123.00000000000004,38.99999999999999,train,delafossite-like (ABO2),,,,,
matbench,mb-04481,NaNiO2,4,100.0,68.00000000000001,val,delafossite-like (ABO2),,,,,
matbench,mb-04527,InAgO2,4,109.00000000000004,31.0,train,delafossite-like (ABO2),,,,,
matbench,mb-04612,KPrO2,4,67.0,39.99999999999999,test,delafossite-like (ABO2),,,,,
matbench,mb-04627,KCoO2,8,63.0,21.0,train,delafossite-like (ABO2),,,,,
matbench,mb-04702,LiLuO2,8,112.99999999999994,68.99999999999999,train,delafossite-like (ABO2),,,,,
matbench,mb-05036,CoPdO2,4,153.00000000000003,36.0,val,delafossite-like (ABO2),,,,,
matbench,mb-05063,NaRhO2,4,116.00000000000004,64.99999999999999,test,delafossite-like (ABO2),,,,,
matbench,mb-05161,CrHO2,4,138.99999999999997,63.0,test,delafossite-like (ABO2),,,,,
matbench,mb-05188,LiRhO2,4,121.00000000000006,47.99999999999999,test,delafossite-like (ABO2),,,,,
matbench,mb-05373,LiAlO2,16,93.0,52.00000000000001,test,delafossite-like (ABO2),,,,,
matbench,mb-05417,LiMnO2,8,116.00000000000004,70.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-05434,LiScO2,8,118.99999999999996,78.99999999999999,train,delafossite-like (ABO2),,,,,
matbench,mb-05528,BaCoO2,12,78.99999999999999,31.0,train,delafossite-like (ABO2),,,,,
matbench,mb-05621,CdHgO2,4,77.0,13.999999999999998,val,delafossite-like (ABO2),,,,,
matbench,mb-05699,NaSmO2,8,88.00000000000001,48.99999999999999,test,delafossite-like (ABO2),,,,,
matbench,mb-06129,RbAlO2,8,92.0,42.99999999999999,train,delafossite-like (ABO2),,,,,
matbench,mb-06436,LiCrO2,4,148.00000000000003,83.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-06540,CsAlO2,8,93.0,47.99999999999999,test,delafossite-like (ABO2),,,,,
matbench,mb-06616,LuAgO2,4,123.00000000000004,37.0,test,delafossite-like (ABO2),,,,,
matbench,mb-06646,GaCuO2,8,150.99999999999994,59.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-06657,ScAgO2,4,132.00000000000006,39.99999999999999,train,delafossite-like (ABO2),,,,,
matbench,mb-06662,InAgO2,8,109.00000000000004,31.0,train,delafossite-like (ABO2),,,,,
matbench,mb-06672,FeAgO2,8,131.00000000000006,42.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-06700,LaAgO2,4,107.0,20.000000000000004,train,delafossite-like (ABO2),,,,,
matbench,mb-06716,ScCuO2,4,135.0,46.0,val,delafossite-like (ABO2),,,,,
matbench,mb-06718,YCuO2,8,114.00000000000004,35.0,train,delafossite-like (ABO2),,,,,
matbench,mb-06734,SmAgO2,4,105.00000000000004,26.0,train,delafossite-like (ABO2),,,,,
matbench,mb-06738,AlCuO2,8,181.99999999999997,77.0,test,delafossite-like (ABO2),,,,,
matbench,mb-06775,CrCuO2,8,154.0,58.00000000000001,val,delafossite-like (ABO2),,,,,
matbench,mb-06832,CoAuO2,4,148.00000000000003,47.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-06833,LiMnO2,4,102.0,63.0,test,delafossite-like (ABO2),,,,,
matbench,mb-06843,FeCuO2,8,144.00000000000003,49.99999999999999,train,delafossite-like (ABO2),,,,,
matbench,mb-06862,YCuO2,4,132.00000000000006,32.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-07041,LiMnO2,16,102.0,66.00000000000001,test,delafossite-like (ABO2),,,,,
matbench,mb-07057,RbScO2,4,95.0,58.00000000000001,val,delafossite-like (ABO2),,,,,
matbench,mb-07121,YAuO2,8,124.00000000000004,28.0,val,delafossite-like (ABO2),,,,,
matbench,mb-07235,LiMnO2,8,102.99999999999996,67.0,train,delafossite-like (ABO2),,,,,
matbench,mb-07244,NaMnO2,8,92.0,61.000000000000014,train,delafossite-like (ABO2),,,,,
matbench,mb-07291,CrPtO2,4,191.00000000000009,79.99999999999999,test,delafossite-like (ABO2),,,,,
matbench,mb-07335,SrAgO2,8,126.0,45.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-07368,AgAuO2,8,91.0,17.0,test,delafossite-like (ABO2),,,,,
matbench,mb-07409,InCuO2,8,122.00000000000004,37.0,test,delafossite-like (ABO2),,,,,
matbench,mb-07429,InCuO2,4,121.00000000000006,37.0,val,delafossite-like (ABO2),,,,,
matbench,mb-07441,LiNiO2,20,114.00000000000004,42.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-07503,CuPtO2,8,154.99999999999997,38.99999999999999,train,delafossite-like (ABO2),,,,,
matbench,mb-07524,GaAuO2,8,161.99999999999994,64.99999999999999,train,delafossite-like (ABO2),,,,,
matbench,mb-07533,KNdO2,8,66.00000000000001,37.0,train,delafossite-like (ABO2),,,,,
matbench,mb-07541,RbAgO2,8,28.0,9.0,train,delafossite-like (ABO2),,,,,
matbench,mb-07554,NaCuO2,4,63.0,31.0,test,delafossite-like (ABO2),,,,,
matbench,mb-07613,CuBiO2,8,46.0,20.000000000000004,train,delafossite-like (ABO2),,,,,
matbench,mb-07616,NaTiO2,4,98.0,70.99999999999999,val,delafossite-like (ABO2),,,,,
matbench,mb-07624,DyHO2,8,100.0,56.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-07653,CsTmO2,8,84.99999999999999,42.99999999999999,train,delafossite-like (ABO2),,,,,
matbench,mb-07673,SrAgO2,8,79.99999999999999,37.99999999999999,test,delafossite-like (ABO2),,,,,
matbench,mb-07787,SrCuO2,4,109.99999999999996,63.0,train,delafossite-like (ABO2),,,,,
matbench,mb-07794,LiRhO2,16,119.99999999999996,42.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-07882,SrFeO2,4,101.0,59.00000000000001,train,delafossite-like (ABO2),,,,,
matbench,mb-07895,MnHO2,8,114.00000000000004,62.0,train,delafossite-like (ABO2),,,,,
matbench,mb-07954,CaAgO2,8,98.0,31.0,train,delafossite-like (ABO2),,,,,
matbench,mb-07986,AlAuO2,8,171.99999999999991,72.00000000000001,val,delafossite-like (ABO2),,,,,
matbench,mb-08044,CrHO2,8,168.99999999999997,101.0,test,delafossite-like (ABO2),,,,,
matbench,mb-08059,ScAuO2,8,134.00000000000003,42.99999999999999,train,delafossite-like (ABO2),,,,,
matbench,mb-08198,TlAuO2,4,98.0,17.999999999999996,train,delafossite-like (ABO2),,,,,
matbench,mb-08209,GaHO2,8,174.00000000000009,91.0,train,delafossite-like (ABO2),,,,,
