source,mb_id,formula,n_sites,K_VRH,G_VRH,split,family,gid,gamma,kappa_agl,density_g_cm3,volume_m3
matbench,mb-00263,SiO2,48,27.000000000000004,34.0,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-00408,ZrO2,12,182.99999999999991,84.99999999999999,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-00528,ThO2,3,188.00000000000009,88.00000000000001,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-01348,HfO2,12,204.99999999999997,99.0,val,fluorite/rutile-like (AO2),,,,,
matbench,mb-01617,IrO2,6,270.00000000000006,103.99999999999996,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-01745,PaO2,3,203.00000000000003,102.99999999999996,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-02087,KO2,3,25.000000000000007,10.0,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-02180,NbO2,24,205.99999999999997,79.99999999999999,test,fluorite/rutile-like (AO2),,,,,
matbench,mb-02305,TiO2,12,181.00000000000003,61.000000000000014,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-02340,BiO2,12,40.99999999999999,23.999999999999996,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-02472,GeO2,9,37.99999999999999,28.0,test,fluorite/rutile-like (AO2),,,,,
matbench,mb-02970,RhO2,6,234.00000000000009,93.99999999999996,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-02971,OsO2,6,280.99999999999994,102.99999999999996,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-03124,MoO2,12,219.00000000000009,89.0,test,fluorite/rutile-like (AO2),,,,,
matbench,mb-03617,CrO2,6,179.00000000000006,107.0,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-04178,PtO2,6,204.0,86.99999999999999,test,fluorite/rutile-like (AO2),,,,,
matbench,mb-04224,SrO2,3,70.99999999999999,37.99999999999999,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-04905,VO2,12,232.99999999999997,118.99999999999996,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-04971,PbO2,6,116.00000000000004,45.00000000000001,test,fluorite/rutile-like (AO2),,,,,
matbench,mb-05096,RbO2,3,21.0,7.999999999999999,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-05149,SnO2,6,171.99999999999991,86.99999999999999,val,fluorite/rutile-like (AO2),,,,,
matbench,mb-05152,RuO2,6,252.00000000000009,93.0,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-05335,TcO2,12,256.0,111.00000000000004,val,fluorite/rutile-like (AO2),,,,,
matbench,mb-05435,CsO2,3,17.999999999999996,5.000000000000001,val,fluorite/rutile-like (AO2),,,,,
matbench,mb-05467,SbO2,24,96.0,55.00000000000001,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-06017,PuO2,3,191.00000000000009,76.0,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-06067,UO2,24,200.00000000000003,89.0,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-06095,CeO2,3,177.00000000000009,72.00000000000001,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-06147,BaO2,3,67.0,35.0,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-06773,GeO2,12,23.0,25.000000000000007,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-06908,SiO2,12,26.0,33.0,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-06944,VO2,6,232.99999999999997,118.00000000000004,test,fluorite/rutile-like (AO2),,,,,
matbench,mb-06979,SbO2,12,97.0,67.0,val,fluorite/rutile-like (AO2),,,,,
matbench,mb-07033,SnO2,6,171.99999999999991,85.99999999999999,train,fluorite/rutile-like (AO2),,,,,
matbench,mb-07063,ReO2,12,277.00000000000006,150.99999999999994,train,fluorite/rutile-like (AO2),,,,,
