material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,space_group,crystal_system,p95_p05_ratio,confidence_old,confidence,family
034fa20312,VCl8,9,405.0293428063881,1.371651446320822,334.56550000000004,2.4330540166402046,0.8995849814205764,0.4479862086944035,0.0944609409762192,0.3354166231775873,2.0157229401565546,0.0298444186310886,0.0049524151870065,0.030102262754066,0.1538523831799549,I-4m2,tetragonal,31.06613185090212,moderate,wide,non-oxide
32e397f80a,HfRuI6,8,357.03519554847594,4.841537490961708,1040.98682,7.750571108560947,2.69948779295144,0.0714875607347152,0.085742189942607,0.3439674652854658,2.082384244418772,0.0834238970814932,0.033947106247391,0.0804909875367262,0.1950850564620943,P-31m,trigonal,5.746735967431306,tight,wide,non-oxide
9c397a9901,GdTiI6,8,373.348519533582,4.298888815571731,966.54382,5.810323190549864,2.309572234087759,0.2203661687085236,0.0745549411151703,0.3245054069324092,1.935498787853859,0.0821521605469157,0.0254678863820881,0.0808766774625735,0.23503609268196,P-31m,trigonal,9.228723937109418,tight,wide,non-oxide
5fbe5bcacf,PdSe2I5Br,9,391.17629016743314,4.154852439608664,978.76635,4.272736509074029,1.859816666951612,0.2837672985437565,0.129769673187589,0.3099386822504261,1.8360469874462548,0.0601032511540474,0.0106559442074155,0.060535976144663,0.2617923670151096,P1,triclinic,24.56773064116898,moderate,wide,non-oxide
332f7fe495,TeClF5,7,150.12568792945518,2.85423391904414,258.045016,9.242494881734372,3.8326574727326026,0.061920590858758,0.0317757780927313,0.3178402940133866,1.8889631021724225,0.190301923330261,0.1261537716526987,0.1878436166024941,0.2775867537117811,P1,triclinic,2.200384103267061,tight,moderate,non-oxide
f58888cfa6,LuSbI6,8,374.73304892784034,4.688953280379853,1058.15382,7.603769622316254,2.204244933026358,0.1466928890197311,0.1967919618698366,0.3678275353814943,2.288568316838369,0.0518887180388975,0.0070854673038355,0.0510018227084517,0.3960880682228946,R3,trigonal,55.90147427657731,moderate,wide,non-oxide
d5a979b06c,PtCl8,9,352.65469184624345,2.254084108290088,478.708,2.31028469626458,1.2686358213115505,0.4808891731586471,0.2075330773187791,0.2679180348009124,1.589871329298729,0.0565096348725345,0.0041338876750658,0.0574031988749416,0.4225463471096042,P-1,triclinic,102.2152463547217,moderate,wide,non-oxide
6176895e50,SmSbI6,8,398.585660128172,4.305836977718011,1033.54682,5.644160971001876,2.460932666383797,0.2750878963182867,0.1214076637307114,0.3096570980772065,1.8342044769999355,0.1019165601596123,0.0191605494256376,0.0997505898163838,0.4346765359618964,,,22.686016267376992,moderate,wide,non-oxide
3b333fcade,SrZrBr6,8,341.850592332415,3.1975364569704223,658.268,6.549108959973228,3.210726558382521,0.1878723612790713,0.0600631837385949,0.2893044632792889,1.708311605807226,0.1894298801084239,0.0760468283118872,0.187604757079713,0.4351805939062204,P312,trigonal,5.72253443787866,tight,wide,non-oxide
9811b7fd74,GdGaI6,8,350.8512457961647,4.677984007436113,988.39982,5.429645681844373,2.552107100937213,0.4408950087351054,0.0903645066047526,0.2968180201879636,1.7531739436318827,0.1071416099479494,0.0173827291834669,0.1094488767309402,0.4473029639026706,R3,trigonal,25.73260845184821,moderate,wide,non-oxide
