source,mb_id,formula,n_sites,K_VRH,G_VRH,split,family,gid,gamma,kappa_agl,density_g_cm3,volume_m3
matbench,mb-00000,Ca(AgGe)2,5,50.99999999999999,28.0,train,non-oxide,,,,,
matbench,mb-00001,Ba(MgGe)2,5,42.99999999999999,33.0,test,non-oxide,,,,,
matbench,mb-00002,Sr(CuSi)2,5,81.0,55.00000000000001,train,non-oxide,,,,,
matbench,mb-00003,DyPd3,4,131.00000000000006,50.99999999999999,train,non-oxide,,,,,
matbench,mb-00004,Ba(MgSi)2,5,48.99999999999999,39.99999999999999,test,non-oxide,,,,,
matbench,mb-00005,TiAl,2,115.00000000000004,70.00000000000001,test,non-oxide,,,,,
matbench,mb-00006,ErPd,2,99.0,31.0,val,non-oxide,,,,,
matbench,mb-00007,TePd,4,98.0,20.000000000000004,val,non-oxide,,,,,
matbench,mb-00008,MnNbSi,9,209.0000000000001,105.00000000000004,train,non-oxide,,,,,
matbench,mb-00010,TmAl3,4,77.0,59.00000000000001,train,non-oxide,,,,,
matbench,mb-00011,Ba3N,8,12.999999999999998,6.0,val,non-oxide,,,,,
matbench,mb-00012,TlPd2Se3,12,21.0,12.000000000000002,train,non-oxide,,,,,
matbench,mb-00013,TbCo3B2,6,209.0000000000001,118.00000000000004,val,non-oxide,,,,,
matbench,mb-00015,LuPt3,4,184.0,75.00000000000001,train,non-oxide,,,,,
matbench,mb-00018,FeSb3,16,82.0,44.0,train,non-oxide,,,,,
matbench,mb-00019,RbHg2,6,11.000000000000002,5.000000000000001,train,non-oxide,,,,,
matbench,mb-00020,Ba3(AlSi)2,7,35.0,22.0,train,non-oxide,,,,,
matbench,mb-00021,ZrSiRu,9,191.00000000000009,100.0,val,non-oxide,,,,,
matbench,mb-00022,HoGa2Pd,8,93.99999999999996,47.99999999999999,val,non-oxide,,,,,
matbench,mb-00023,Li2Sb,18,32.00000000000001,23.0,train,non-oxide,,,,,
matbench,mb-00024,Rb(ThSe3)2,9,38.99999999999999,19.0,val,non-oxide,,,,,
matbench,mb-00025,CaSbPt,12,82.0,35.0,train,non-oxide,,,,,
matbench,mb-00026,Sr(SbPd)2,10,77.0,17.999999999999996,train,non-oxide,,,,,
matbench,mb-00027,SiPd2,9,179.99999999999997,50.99999999999999,train,non-oxide,,,,,
matbench,mb-00028,Te2Pd,3,52.99999999999999,22.0,train,non-oxide,,,,,
matbench,mb-00030,Ca(AlGa)2,5,58.00000000000001,28.0,train,non-oxide,,,,,
matbench,mb-00031,Y4C5,18,101.0,52.00000000000001,train,non-oxide,,,,,
matbench,mb-00033,CsCu3S2,6,15.000000000000004,7.999999999999999,train,non-oxide,,,,,
matbench,mb-00034,K2CuP,8,22.0,11.000000000000002,train,non-oxide,,,,,
matbench,mb-00035,Ca3N2,40,68.00000000000001,34.0,train,non-oxide,,,,,
matbench,mb-00036,Cs2KCuF6,10,33.0,13.999999999999998,train,non-oxide,,,,,
matbench,mb-00037,YbAgSb,12,52.00000000000001,25.000000000000007,train,non-oxide,,,,,
matbench,mb-00038,ZrCoP,12,193.00000000000009,115.00000000000004,test,non-oxide,,,,,
matbench,mb-00039,CuBSe2,8,77.0,48.99999999999999,train,non-oxide,,,,,
matbench,mb-00040,Yb3Ge5,8,26.0,29.0,val,non-oxide,,,,,
matbench,mb-00041,Na3Cd,8,12.000000000000002,5.000000000000001,train,non-oxide,,,,,
matbench,mb-00042,CsSbF6,8,15.000000000000004,5.000000000000001,train,non-oxide,,,,,
matbench,mb-00043,Th2TeN2,5,84.99999999999999,37.99999999999999,train,non-oxide,,,,,
matbench,mb-00046,ErF3,16,72.00000000000001,44.0,train,non-oxide,,,,,
matbench,mb-00047,TiSiRh,12,187.00000000000003,88.00000000000001,train,non-oxide,,,,,
matbench,mb-00049,Ti2MnBe,4,153.00000000000003,52.99999999999999,train,non-oxide,,,,,
matbench,mb-00050,K3Cu3P2,8,28.0,12.000000000000002,train,non-oxide,,,,,
matbench,mb-00052,Ba3FeN3,14,33.0,19.0,val,non-oxide,,,,,
matbench,mb-00056,NbAs2,6,124.00000000000004,90.00000000000003,train,non-oxide,,,,,
matbench,mb-00057,Er(PRu)2,5,158.0,100.0,train,non-oxide,,,,,
matbench,mb-00058,KPS3,10,9.0,1.0,train,non-oxide,,,,,
matbench,mb-00062,NbSnS2,8,70.99999999999999,30.0,train,non-oxide,,,,,
matbench,mb-00063,TiRe2W,4,285.0,146.00000000000003,train,non-oxide,,,,,
matbench,mb-00064,K2ZnF4,7,44.0,21.0,test,non-oxide,,,,,
matbench,mb-00066,NaBeAs,6,45.00000000000001,33.0,train,non-oxide,,,,,
matbench,mb-00068,Sr(MgSb)2,5,38.99999999999999,25.000000000000007,train,non-oxide,,,,,
matbench,mb-00069,Ca(MgSb)2,5,38.99999999999999,26.0,train,non-oxide,,,,,
matbench,mb-00070,Ag2S,6,12.000000000000002,7.0,train,non-oxide,,,,,
matbench,mb-00071,Li(TiSe2)3,10,22.0,13.999999999999998,train,non-oxide,,,,,
matbench,mb-00072,Ca(MgAs)2,5,49.99999999999999,36.0,val,non-oxide,,,,,
matbench,mb-00073,SrAgAs,6,39.99999999999999,31.0,train,non-oxide,,,,,
matbench,mb-00074,LiBeAs,6,54.000000000000014,37.99999999999999,test,non-oxide,,,,,
matbench,mb-00075,As2Ru,6,149.0,105.00000000000004,train,non-oxide,,,,,
matbench,mb-00076,SrZnSi,6,48.99999999999999,38.99999999999999,train,non-oxide,,,,,
matbench,mb-00078,TmCu,2,76.0,42.99999999999999,val,non-oxide,,,,,
matbench,mb-00079,ScMnSi,9,118.00000000000004,75.00000000000001,train,non-oxide,,,,,
matbench,mb-00080,ScFeGe,9,101.0,52.99999999999999,train,non-oxide,,,,,
matbench,mb-00081,ZnGeN2,16,162.99999999999994,95.0,train,non-oxide,,,,,
matbench,mb-00082,Ba3MnN3,14,34.0,21.0,train,non-oxide,,,,,
matbench,mb-00084,Li2Ca,12,16.0,9.0,train,non-oxide,,,,,
matbench,mb-00085,Li3Pd,4,37.0,11.000000000000002,train,non-oxide,,,,,
matbench,mb-00086,Rb3Sb2Au3,8,16.0,6.0,train,non-oxide,,,,,
matbench,mb-00087,CaTiF6,8,49.99999999999999,25.000000000000007,train,non-oxide,,,,,
matbench,mb-00088,TlPt2S3,12,29.0,16.0,train,non-oxide,,,,,
matbench,mb-00089,BaNaBi,9,23.0,16.0,test,non-oxide,,,,,
matbench,mb-00091,LiPrGe,9,40.99999999999999,37.0,train,non-oxide,,,,,
matbench,mb-00092,LiFeAs,6,68.00000000000001,39.99999999999999,train,non-oxide,,,,,
matbench,mb-00093,TlTe3Pt2,12,22.0,15.000000000000004,train,non-oxide,,,,,
matbench,mb-00095,ScSiPt,12,149.0,60.0,train,non-oxide,,,,,
matbench,mb-00096,K2AgSb,8,13.999999999999998,9.0,train,non-oxide,,,,,
matbench,mb-00098,Tm2Fe2Si2C,7,135.99999999999997,85.99999999999999,test,non-oxide,,,,,
matbench,mb-00099,SmF3,16,111.99999999999996,47.99999999999999,train,non-oxide,,,,,
