source,mb_id,formula,n_sites,K_VRH,G_VRH,split,family,gid,gamma,kappa_agl,density_g_cm3,volume_m3
matbench,mb-00347,Ta2O5,14,199.00000000000009,61.000000000000014,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-00684,Cs2O,3,5.000000000000001,2.0,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-01486,Cu2O,6,111.00000000000004,7.999999999999999,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-01662,Li2O2,8,70.99999999999999,49.99999999999999,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-01898,V3O5,32,185.0,84.99999999999999,val,other binary oxide (uncommon ratio),,,,,
matbench,mb-02001,Ni3O4,14,146.00000000000003,77.99999999999999,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-02049,UO3,4,150.00000000000003,63.0,test,other binary oxide (uncommon ratio),,,,,
matbench,mb-02064,H2O,12,16.0,7.0,test,other binary oxide (uncommon ratio),,,,,
matbench,mb-02179,ReO3,8,237.99999999999997,124.00000000000004,val,other binary oxide (uncommon ratio),,,,,
matbench,mb-02342,OsO4,10,4.0,3.0,val,other binary oxide (uncommon ratio),,,,,
matbench,mb-02375,As2O5,28,93.0,47.00000000000001,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-02455,Rb2O,3,5.000000000000001,4.0,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-02759,Mn3O4,14,127.0,47.00000000000001,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-02780,K2O2,8,32.00000000000001,15.000000000000004,val,other binary oxide (uncommon ratio),,,,,
matbench,mb-03220,PaO3,4,250.99999999999991,57.00000000000001,val,other binary oxide (uncommon ratio),,,,,
matbench,mb-03649,Pt3O4,14,212.99999999999997,58.00000000000001,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-03957,Ti2O,3,184.0,106.00000000000004,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-04136,Sb2O5,14,127.0,75.00000000000001,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-04352,Ti3O5,16,170.99999999999991,76.0,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-05236,Na2O2,12,48.99999999999999,29.0,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-05361,MoO3,32,33.0,36.0,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-05378,Fe3O4,14,176.00000000000006,63.99999999999999,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-05493,Pb3O4,28,39.99999999999999,11.000000000000002,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-05851,K2O,3,27.000000000000004,12.000000000000002,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-06197,Na2O,3,46.0,30.0,test,other binary oxide (uncommon ratio),,,,,
matbench,mb-06201,Li2O,3,77.99999999999999,70.00000000000001,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-06645,WO3,32,61.000000000000014,54.000000000000014,test,other binary oxide (uncommon ratio),,,,,
matbench,mb-06654,WO3,16,59.00000000000001,85.99999999999999,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-06655,WO3,16,56.00000000000001,59.00000000000001,test,other binary oxide (uncommon ratio),,,,,
matbench,mb-06681,WO3,8,197.0,101.0,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-06684,WO3,32,194.0,82.0,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-06723,Zr3O,8,132.00000000000006,56.00000000000001,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-06741,WO3,16,193.00000000000009,66.00000000000001,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-06744,WO3,32,63.0,47.99999999999999,val,other binary oxide (uncommon ratio),,,,,
matbench,mb-06774,ReO3,24,243.0,126.0,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-06805,ReO3,16,239.99999999999997,124.99999999999994,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-06818,WO3,16,192.00000000000003,89.0,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-06915,WO3,16,199.00000000000009,101.0,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-06921,WO3,8,228.00000000000009,124.99999999999994,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-07119,Rb2O,3,23.0,7.999999999999999,test,other binary oxide (uncommon ratio),,,,,
matbench,mb-07264,Zr3O,8,134.00000000000003,55.00000000000001,val,other binary oxide (uncommon ratio),,,,,
matbench,mb-07272,WO3,24,150.00000000000003,73.0,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-07288,ReO3,8,237.99999999999997,124.00000000000004,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-07297,WO3,24,161.99999999999994,88.00000000000001,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-07360,WO3,16,49.99999999999999,95.0,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-07365,WO3,16,47.99999999999999,90.00000000000003,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-07400,WO3,12,170.00000000000006,109.99999999999996,test,other binary oxide (uncommon ratio),,,,,
matbench,mb-07537,Zr2O,18,153.00000000000003,77.99999999999999,val,other binary oxide (uncommon ratio),,,,,
matbench,mb-07605,Ta2O5,14,128.99999999999994,70.99999999999999,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-07631,Mn5O8,13,135.99999999999997,52.99999999999999,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-07805,MoO3,16,37.99999999999999,27.000000000000004,test,other binary oxide (uncommon ratio),,,,,
matbench,mb-08663,W3O8,11,225.99999999999991,126.0,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-08688,Sb6O13,38,118.99999999999996,70.99999999999999,val,other binary oxide (uncommon ratio),,,,,
matbench,mb-08793,Cr5O12,68,59.00000000000001,40.99999999999999,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-09070,MoO3,16,31.0,26.0,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-09097,CrO3,8,9.0,5.000000000000001,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-09337,Ti4O5,9,207.00000000000003,92.0,test,other binary oxide (uncommon ratio),,,,,
matbench,mb-09340,MoO3,8,30.0,25.000000000000007,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-09451,Ni15O16,31,168.99999999999997,81.0,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-09554,Nb2O5,7,138.99999999999997,48.99999999999999,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-09692,Ni5O6,11,124.99999999999994,63.0,test,other binary oxide (uncommon ratio),,,,,
matbench,mb-09719,Mn3O4,28,138.99999999999997,60.0,test,other binary oxide (uncommon ratio),,,,,
matbench,mb-09789,Mo2O5,14,111.00000000000004,38.99999999999999,test,other binary oxide (uncommon ratio),,,,,
matbench,mb-09798,Ti3O4,7,178.00000000000003,89.0,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-10115,Sm2O,6,84.99999999999999,42.99999999999999,test,other binary oxide (uncommon ratio),,,,,
matbench,mb-10255,KO3,4,13.999999999999998,5.000000000000001,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-10277,NaO3,4,19.0,15.000000000000004,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-10292,Na2O,9,47.00000000000001,25.000000000000007,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-10385,Li2O,12,62.0,30.0,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-10595,Nb2O5,28,56.00000000000001,23.999999999999996,val,other binary oxide (uncommon ratio),,,,,
matbench,mb-10677,ReO3,8,182.99999999999991,106.00000000000004,test,other binary oxide (uncommon ratio),,,,,
matbench,mb-10729,IrO3,4,178.00000000000003,97.0,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-10750,UO3,4,167.0,39.99999999999999,test,other binary oxide (uncommon ratio),,,,,
matbench,mb-10760,Ag2O,3,83.99999999999999,23.0,val,other binary oxide (uncommon ratio),,,,,
matbench,mb-10823,WO3,56,96.0,48.99999999999999,val,other binary oxide (uncommon ratio),,,,,
matbench,mb-10869,TaO3,16,188.00000000000009,70.00000000000001,train,other binary oxide (uncommon ratio),,,,,
matbench,mb-10914,Pd2O,6,154.99999999999997,2.0,val,other binary oxide (uncommon ratio),,,,,
aflow,,O2Zr6,8,131.946,56.269,train,other binary oxide (uncommon ratio),ag-5c347009c594,1.82978,7.73648,6.60304,1.456937035597892e-28
aflow,,Li2O1,3,79.1389,69.4753,train,other binary oxide (uncommon ratio),ag-ebc85927767e,1.84982,19.3402,1.97273,2.5152571342607067e-29
aflow,,Li2O1,3,78.766,69.926,test,other binary oxide (uncommon ratio),ag-d267f0d29051,1.84984,19.6103,1.96985,2.5189345414473807e-29
aflow,,O2Ti6,8,137.415,48.3095,val,other binary oxide (uncommon ratio),ag-b37325c3560b,1.92157,6.73611,4.49022,1.1804441619563698e-28
aflow,,Li4O4,8,72.1072,50.5331,train,other binary oxide (uncommon ratio),ag-29d7166e40e1,1.92728,7.8613,2.25919,6.744617390025743e-29
aflow,,O1Ta4,5,205.384,65.3302,train,other binary oxide (uncommon ratio),ag-e3da235a5626,1.9503,7.12301,15.2225,8.06997355083564e-29
aflow,,O10Ti6,16,164.44,63.4889,train,other binary oxide (uncommon ratio),ag-1ad28cdb1e2a,1.96294,5.9605,3.66531,2.025985328464042e-28
aflow,,Nb8O10,18,228.789,113.328,train,other binary oxide (uncommon ratio),ag-8e322aaec561,2.02358,8.71805,6.85676,2.187437908914239e-28
aflow,,O10Ta4,14,206.946,99.7348,train,other binary oxide (uncommon ratio),ag-f655cf59d480,2.02405,39.2307,7.73171,1.8981058297005395e-28
aflow,,O10V4,14,46.2306,28.3432,train,other binary oxide (uncommon ratio),ag-8cb278392e65,2.03427,11.2568,3.06906,1.968152108027917e-28
aflow,,Na2O1,3,47.15,28.7977,train,other binary oxide (uncommon ratio),ag-74c981a95255,2.04737,4.91614,2.38016,4.32401388080134e-29
aflow,,Na6O6,12,51.1232,30.6567,train,other binary oxide (uncommon ratio),ag-5972ae12ae31,2.05819,2.63226,2.55043,1.5231087800187559e-28
aflow,,Na2O1,3,47.9621,31.556,train,other binary oxide (uncommon ratio),ag-805f953da9ad,2.05832,5.38184,2.3889,4.3081940970857354e-29
aflow,,Cr2O6,8,8.78513,7.48585,train,other binary oxide (uncommon ratio),ag-c8acdbf66750,2.07696,19.7069,2.37894,1.3959531689518892e-28
aflow,,K2O1,3,27.3661,12.5009,train,other binary oxide (uncommon ratio),ag-02918067ce67,2.08919,1.76966,2.29266,6.82247424029091e-29
aflow,,K2O1,3,27.45,12.534,train,other binary oxide (uncommon ratio),ag-9e183a9afc99,2.09138,1.76563,2.29606,6.812371537218258e-29
aflow,,K4O4,8,30.3473,16.6413,train,other binary oxide (uncommon ratio),ag-afaf34e9dd44,2.10382,1.85977,2.31067,1.5838156609088586e-28
aflow,,O6W2,8,165.298,93.6305,val,other binary oxide (uncommon ratio),ag-c3b0031834ea,2.10517,15.3918,6.67335,1.1537725077516511e-28
