source,mb_id,formula,n_sites,K_VRH,G_VRH,split,family,gid,gamma,kappa_agl,density_g_cm3,volume_m3
matbench,mb-00009,MgSO4,12,70.00000000000001,47.99999999999999,test,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00029,CdSO4,12,58.00000000000001,26.0,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00115,Na3PSO3,16,37.99999999999999,21.0,val,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00123,BAsO4,6,46.0,40.99999999999999,val,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00139,CsNa2BO3,14,47.00000000000001,22.0,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00154,Sr4P2O,7,67.0,34.0,test,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00197,NpSO,6,99.0,38.99999999999999,test,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00199,ThSO,6,135.0,63.0,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00211,TlClO4,6,52.99999999999999,7.0,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00255,ZnCO3,10,117.0,48.99999999999999,test,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00262,Sc2SO2,10,140.00000000000006,67.0,test,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00274,ZrSO,12,130.00000000000006,49.99999999999999,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00344,InOF,12,118.99999999999996,59.00000000000001,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00355,Sr(NO3)2,36,32.00000000000001,12.000000000000002,val,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00391,LiTiPO5,32,96.0,58.00000000000001,test,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00400,KSO2F,10,12.000000000000002,7.0,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00438,KBaPO4,28,54.000000000000014,26.0,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00481,NiSeO4,12,68.99999999999999,42.00000000000001,test,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00486,ZnSO4,24,68.00000000000001,32.00000000000001,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00494,Li2CO3,12,55.00000000000001,27.000000000000004,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00495,SrCO3,20,60.0,30.0,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00504,Ag2SO4,14,47.99999999999999,11.000000000000002,test,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00540,K4Br2O,7,17.0,9.0,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00551,Sr6Sn2NO,10,13.999999999999998,17.999999999999996,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00586,BaSO4,24,52.00000000000001,19.0,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00587,TlNO3,40,21.0,7.0,val,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00593,SrSO4,24,59.00000000000001,23.999999999999996,val,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00601,Cs2CO3,24,20.000000000000004,7.0,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00626,EuClO,6,52.99999999999999,22.0,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00648,Ca(ClO3)2,36,22.0,12.999999999999998,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00665,ThTeO,6,84.99999999999999,33.0,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00666,KIO4,12,20.000000000000004,11.000000000000002,test,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00717,WOF4,6,12.999999999999998,7.999999999999999,test,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00720,Pr2SO2,5,100.0,52.99999999999999,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00725,LiIn(IO3)4,18,29.0,20.000000000000004,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00734,USeO,6,103.99999999999996,58.00000000000001,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00738,Nd2SO2,5,105.00000000000004,55.00000000000001,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00743,NbI2O,8,12.999999999999998,7.999999999999999,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00822,DyPO4,12,138.99999999999997,61.000000000000014,test,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00842,NbBr3O,20,7.999999999999999,4.0,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00889,Dy2SO2,5,124.99999999999994,64.99999999999999,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00900,K2TeO3,12,28.0,15.000000000000004,train,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00933,KCaCO3F,7,49.99999999999999,29.0,test,other oxide (mixed-anion / molecular-ion),,,,,
matbench,mb-00943,KHCO3,24,23.999999999999996,10.0,test,other oxide (mixed-anion / molecular-ion),,,,,
