source,mb_id,formula,n_sites,K_VRH,G_VRH,split,family,gid,gamma,kappa_agl,density_g_cm3,volume_m3
matbench,mb-00090,SmAlO3,20,181.00000000000003,109.99999999999996,train,perovskite-like (ABO3),,,,,
matbench,mb-00148,KNbO3,5,102.99999999999996,40.99999999999999,val,perovskite-like (ABO3),,,,,
matbench,mb-00405,CaVO3,20,167.0,85.99999999999999,val,perovskite-like (ABO3),,,,,
matbench,mb-00421,OsPbO3,20,159.99999999999991,73.0,train,perovskite-like (ABO3),,,,,
matbench,mb-00482,TbRhO3,20,186.00000000000009,67.0,val,perovskite-like (ABO3),,,,,
matbench,mb-00484,LaRhO3,20,173.00000000000003,58.00000000000001,train,perovskite-like (ABO3),,,,,
matbench,mb-00505,BaRuO3,15,105.00000000000004,39.99999999999999,train,perovskite-like (ABO3),,,,,
matbench,mb-00509,SrSnO3,20,138.0,74.00000000000001,train,perovskite-like (ABO3),,,,,
matbench,mb-00589,RbTaO3,20,68.99999999999999,27.000000000000004,train,perovskite-like (ABO3),,,,,
matbench,mb-00650,CaSiO3,60,92.0,47.00000000000001,train,perovskite-like (ABO3),,,,,
matbench,mb-00729,GdFeO3,20,101.0,70.00000000000001,train,perovskite-like (ABO3),,,,,
matbench,mb-00736,KTcO3,5,111.99999999999996,92.0,train,perovskite-like (ABO3),,,,,
matbench,mb-00754,MnFeO3,40,164.00000000000003,75.00000000000001,train,perovskite-like (ABO3),,,,,
matbench,mb-00899,SrTiO3,10,168.0,102.0,val,perovskite-like (ABO3),,,,,
matbench,mb-01008,PaAgO3,5,141.99999999999994,45.00000000000001,train,perovskite-like (ABO3),,,,,
matbench,mb-01023,CaTiO3,40,171.99999999999991,101.0,val,perovskite-like (ABO3),,,,,
matbench,mb-01052,NaTcO3,5,288.0000000000001,88.00000000000001,train,perovskite-like (ABO3),,,,,
matbench,mb-01184,LaScO3,20,154.0,78.99999999999999,test,perovskite-like (ABO3),,,,,
matbench,mb-01188,SmScO3,20,161.99999999999994,81.0,train,perovskite-like (ABO3),,,,,
matbench,mb-01261,PrAlO3,10,177.00000000000009,121.00000000000006,train,perovskite-like (ABO3),,,,,
matbench,mb-01306,BaNbO3,5,167.0,90.00000000000003,test,perovskite-like (ABO3),,,,,
matbench,mb-01397,SrPbO3,20,105.00000000000004,49.99999999999999,train,perovskite-like (ABO3),,,,,
matbench,mb-01606,SrRuO3,20,165.99999999999997,70.00000000000001,train,perovskite-like (ABO3),,,,,
matbench,mb-01762,CeAlO3,10,189.00000000000009,93.0,test,perovskite-like (ABO3),,,,,
matbench,mb-01773,KUO3,5,130.00000000000006,66.00000000000001,train,perovskite-like (ABO3),,,,,
matbench,mb-01867,NaPuO3,5,73.0,55.00000000000001,train,perovskite-like (ABO3),,,,,
matbench,mb-01929,MgMnO3,10,156.0,86.99999999999999,val,perovskite-like (ABO3),,,,,
matbench,mb-01965,PaTlO3,5,132.00000000000006,56.00000000000001,train,perovskite-like (ABO3),,,,,
matbench,mb-01984,BaPaO3,5,96.0,40.99999999999999,train,perovskite-like (ABO3),,,,,
matbench,mb-02339,CsVO3,20,19.0,10.0,train,perovskite-like (ABO3),,,,,
matbench,mb-02373,EuFeO3,20,156.0,70.00000000000001,train,perovskite-like (ABO3),,,,,
matbench,mb-02465,SrTcO3,5,176.00000000000006,60.0,train,perovskite-like (ABO3),,,,,
matbench,mb-02490,TiSnO3,10,26.0,19.0,val,perovskite-like (ABO3),,,,,
matbench,mb-02523,AcCrO3,5,175.0,109.00000000000004,train,perovskite-like (ABO3),,,,,
matbench,mb-02531,EuGeO3,5,162.99999999999994,72.00000000000001,train,perovskite-like (ABO3),,,,,
matbench,mb-02532,NaPaO3,5,133.0,57.00000000000001,train,perovskite-like (ABO3),,,,,
matbench,mb-02540,AcFeO3,5,165.99999999999997,95.0,train,perovskite-like (ABO3),,,,,
matbench,mb-02686,TmFeO3,30,162.99999999999994,74.00000000000001,train,perovskite-like (ABO3),,,,,
matbench,mb-02757,LaFeO3,20,158.0,77.0,val,perovskite-like (ABO3),,,,,
matbench,mb-02822,SrHfO3,20,156.99999999999994,91.0,val,perovskite-like (ABO3),,,,,
matbench,mb-02852,NaVO3,20,34.0,17.999999999999996,val,perovskite-like (ABO3),,,,,
matbench,mb-02870,CaZrO3,20,148.00000000000003,84.99999999999999,train,perovskite-like (ABO3),,,,,
matbench,mb-02880,YbFeO3,20,154.99999999999997,77.0,train,perovskite-like (ABO3),,,,,
matbench,mb-02882,TbFeO3,20,175.0,83.00000000000001,train,perovskite-like (ABO3),,,,,
