source,material_id,formula,split,has_ground_truth,true_K_GPa,pred_K_GPa,true_G_GPa,pred_G_GPa,true_gamma,pred_gamma,true_kappa,pred_kappa
matbench,mb-03056,SmMnO3,test,True,146.00001278983993,145.87772696245756,67.00000554419019,71.58904957640442,,,,
matbench,mb-01762,CeAlO3,test,True,189.00001545035252,188.32758911091932,93.00000484759757,114.3357384672754,,,,
matbench,mb-01184,LaScO3,test,True,154.0000076521985,153.2545441323688,79.00000435827837,73.19976751543372,,,,
matbench,mb-08175,CeAlO3,test,True,190.99996053461436,187.6419654144315,98.00000031304394,131.66522121630558,,,,
matbench,mb-09126,NdGaO3,test,True,162.0000299214991,167.90125648294438,76.00000111158127,83.66264005304869,,,,
matbench,mb-08766,RbNbO3,test,True,64.00000387884855,66.39694911857544,19.00000163248472,27.60774781180791,,,,
matbench,mb-08508,MgGeO3,test,True,163.9999629748447,157.11349289183408,93.00000484759757,93.75367072661712,,,,
matbench,mb-09183,ZnGeO3,test,True,162.0000299214991,154.35507331126587,48.00000403461751,68.01452454141517,,,,
matbench,mb-08436,TbScO3,test,True,163.9999629748447,154.30858755892888,81.99999566455243,79.0949679803159,,,,
matbench,mb-05043,MgTiO3,test,True,162.99997155299653,152.91586076745074,84.00000891635074,72.94822647845471,,,,
matbench,mb-08920,TiZnO3,test,True,171.00004526652222,160.02650604963026,51.0000022429626,56.39062068550968,,,,
matbench,mb-08502,SrZrO3,test,True,143.99996568744513,154.4103321832076,84.00000891635074,83.30361219698986,,,,
matbench,mb-06644,CaSiO3,test,True,93.00000484759757,86.59640856619552,46.9999939641035,43.39826737185229,,,,
matbench,mb-09872,AgAuO3,test,True,126.00002913022396,116.6444749622236,55.99999894170232,30.751371811850444,,,,
matbench,mb-08666,MnGeO3,test,True,147.0000188512115,159.70868358995972,68.99999633797009,71.42079090634944,,,,
matbench,mb-07543,BaRuO3,test,True,116.99998505577592,127.18838250009397,52.99999485089853,58.41450473072344,,,,
matbench,mb-03629,SrFeO3,test,True,130.9999665981996,145.76159828442832,83.00000368325276,77.73608338050073,,,,
matbench,mb-09207,BaTaO3,test,True,165.9999786664589,149.0853512130776,89.00000965306188,101.58796381282536,,,,
matbench,mb-09409,HfPbO3,test,True,167.00003797363718,189.74719040774747,88.00000242854486,92.54775616579856,,,,
matbench,mb-04146,BaHfO3,test,True,159.0000205889139,138.80850597396272,102.9999873944699,101.25128378907957,,,,
matbench,mb-10854,CaVO3,test,True,159.0000205889139,137.98337857259278,73.99999679089139,89.7264810278003,,,,
matbench,mb-01306,BaNbO3,test,True,167.00003797363718,144.52652288868651,89.99999138760265,94.67596075959406,,,,
matbench,mb-08609,ScBiO3,test,True,98.00000031304394,114.10594616620853,46.0000044330862,58.31446778408317,,,,
matbench,mb-09328,NaReO3,test,True,269.0000432654575,230.5457531165838,72.99999897828913,95.45960119842584,,,,
matbench,mb-08712,NaNbO3,test,True,122.99997511517802,144.20757654000764,85.9999956543673,79.88424434854505,,,,
matbench,mb-10671,PrTiO3,test,True,178.00003739051346,151.6771375449006,66.0000033689451,92.33628628142932,,,,
