material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_r9_pred,G_r9_pred,gamma_r9_pred,K_r9_spread_log10,G_r9_spread_log10,Kappa_r9_gamma,Kappa_r9_p05,Kappa_r9_p50,Kappa_r9_p95,Kappa_cal_derived_matbench,id_unverifiable,has_oxygen,stoichiometry_pattern,family
4f7d62f350,Cs2Cr2O7,22,480.6967556715399,3.328692751441826,963.5978076,46.77885076861918,15.831114437868518,2.1602859411661526,0.2218708246027584,0.0631763734271006,0.5304486914539464,0.3608070528354928,0.5302156679175274,0.7924462657413781,0.2838413914405192,False,True,A2B2O7-type (pyrochlore-like),pyrochlore-like (A2B2O7)
3dd9494950,Pr2W2O7,22,308.8008708697438,8.189651270240379,1522.9822,157.5000964881557,66.81259004125367,2.120021574314794,0.052015179250011,0.0201134200539465,2.6248666186800147,2.4188521056562555,2.621648305462279,2.8408284822731784,4.057004136678027,False,True,A2B2O7-type (pyrochlore-like),pyrochlore-like (A2B2O7)
64a1c94eed,Pr2Bi2O7,22,355.5575747397875,7.582338562118546,1623.5438,160.01224184649865,60.552681566569845,2.102124050211318,0.1193102387032402,0.0112680733130234,2.5165420552830318,2.2193988405586085,2.5156953206958947,2.8482615069614186,1.4942482675182136,False,True,A2B2O7-type (pyrochlore-like),pyrochlore-like (A2B2O7)
794dbeacf0,Pr2Mo2O7,22,303.85019949541623,6.401594966755335,1171.3822,158.11805877474342,67.5202246001569,2.12045475614155,0.0562835295800719,0.0271590775428501,2.998292398079812,2.5816113724848444,2.9924500710951247,3.446753701006596,3.008945558113359,False,True,A2B2O7-type (pyrochlore-like),pyrochlore-like (A2B2O7)
5d9d0045d7,Lu2Bi2O7,22,311.0255643474419,9.39532234747942,1759.7812,170.23275596179244,77.01565209775134,2.106648689346092,0.0499983420945373,0.0235228022481806,3.076851123090227,2.6622499052128976,3.059389695875093,3.54823513961542,3.4517514348162,False,True,A2B2O7-type (pyrochlore-like),pyrochlore-like (A2B2O7)
b272a9e6db,Sm2Bi2O7,22,339.68436930313146,8.12148613589395,1661.3532000000002,172.36625338126754,67.04855644849381,2.0937923224993584,0.114233962781382,0.035235533595857,2.812557565774959,2.1439304671681017,2.805766169704329,3.6446690176138383,2.3302867429291885,False,True,A2B2O7-type (pyrochlore-like),pyrochlore-like (A2B2O7)
193e349d90,Gd2Bi2O7,22,333.6243493233568,8.40618005940718,1688.9132000000002,174.28958516365356,68.6922252669029,2.093045205787315,0.1093698243517727,0.0329062037294723,2.851092865725572,2.221021496112342,2.864113576419872,3.651320961428979,2.473009119278959,False,True,A2B2O7-type (pyrochlore-like),pyrochlore-like (A2B2O7)
0c4714eeb3,Bi2Pb2O7,22,338.9586603846733,9.25269782169202,1888.7132,170.56069466521714,68.69666897558376,2.094827817396294,0.1264969055072724,0.0446921650040841,2.72612864962878,1.994703046123382,2.724478136429514,3.659345069979526,0.694353368825464,False,True,A2B2O7-type (pyrochlore-like),pyrochlore-like (A2B2O7)
3f5e3f04f1,Nd2Bi2O7,22,349.4415240169922,7.778426423210307,1636.8812,168.75911742710693,63.89162333660904,2.0972397459980723,0.1265232621512212,0.0412623905047584,2.690768003780199,1.959662446627984,2.6649496688166985,3.6920217552523873,2.18407242671965,False,True,A2B2O7-type (pyrochlore-like),pyrochlore-like (A2B2O7)
14ade50acf,La2Pd2O7,22,298.240046744073,6.710825507521554,1205.29348,158.75980104604136,73.23119234084385,2.132125452523216,0.0580929068981836,0.0529087526246083,3.243731607318946,2.4957681282738484,3.252063765336919,4.266810744333956,1.927706184130644,False,True,A2B2O7-type (pyrochlore-like),pyrochlore-like (A2B2O7)
ef2b4c9c9f,Lu2Pd2O7,22,258.35938865862806,8.673821541727165,1349.5396,171.21159525347633,82.20754284850068,2.1089631243284432,0.0537163027206035,0.0556894785511313,3.307848750928976,2.518150867012689,3.307536561488443,4.319639119712215,2.8438536615495784,False,True,A2B2O7-type (pyrochlore-like),pyrochlore-like (A2B2O7)
99cb8cba64,Bi2Pd2O7,22,290.26571864579233,8.49871476601132,1485.5932,166.1843658796061,77.96766474739654,2.137711870325477,0.068899413410936,0.0687169297160776,3.119406234038374,2.1711353305692844,3.10875813713638,4.402780617576607,1.933647037730096,False,True,A2B2O7-type (pyrochlore-like),pyrochlore-like (A2B2O7)
16b06cfe63,Nd2Pd2O7,22,290.1285008592899,7.020623528028614,1226.6396,165.2892209541684,76.91963074986698,2.135839812874878,0.0625792688358548,0.0649739471268723,3.36949884239303,2.390885398044704,3.382762348210839,4.721656116353003,2.7336164627061903,False,True,A2B2O7-type (pyrochlore-like),pyrochlore-like (A2B2O7)
5aee295407,Er2Pd2O7,22,265.5257365170905,8.246904872593333,1318.7076,175.86399767557936,83.86262407626651,2.1111448529161017,0.0704076694030569,0.0734075186310438,3.5202269639181245,2.465718198742922,3.542912515214895,4.998731086499151,2.981487261127491,False,True,A2B2O7-type (pyrochlore-like),pyrochlore-like (A2B2O7)
