source,mb_id,formula,n_sites,K_VRH,G_VRH,split,family,gid,gamma,kappa_agl,density_g_cm3,volume_m3
matbench,mb-00328,Er2Si2O7,11,162.99999999999994,63.99999999999999,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-00480,Sc2Si2O7,11,158.99999999999994,72.00000000000001,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-00500,Y2Si2O7,11,138.99999999999997,59.00000000000001,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-00507,Mg2As2O7,11,103.99999999999996,47.99999999999999,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-01067,Y2Fe2O7,22,167.0,70.99999999999999,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-02043,Sc2Ti2O7,11,136.99999999999997,47.99999999999999,test,pyrochlore-like (A2B2O7),,,,,
matbench,mb-02879,Mn2V2O7,11,96.0,32.00000000000001,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-03121,V2Cd2O7,11,84.99999999999999,26.0,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-03796,Tl2Pt2O7,22,168.0,83.00000000000001,val,pyrochlore-like (A2B2O7),,,,,
matbench,mb-06027,Hg2Pt2O7,22,193.00000000000009,70.99999999999999,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-06276,La2Hf2O7,22,165.0,89.0,val,pyrochlore-like (A2B2O7),,,,,
matbench,mb-06373,Y2Pb2O7,22,140.99999999999991,70.99999999999999,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-06649,Y2Hf2O7,22,170.99999999999991,96.0,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-07313,In2Si2O7,11,152.00000000000003,61.000000000000014,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-07385,Nb2Cd2O7,22,117.0,45.00000000000001,test,pyrochlore-like (A2B2O7),,,,,
matbench,mb-07475,Ho2Ge2O7,11,135.0,48.99999999999999,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-07510,Gd2Zr2O7,22,160.99999999999994,84.99999999999999,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-07556,Dy2Ge2O7,11,119.99999999999996,48.99999999999999,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-07699,Y2Ti2O7,22,186.00000000000009,99.0,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-07791,La2Ce2O7,22,130.00000000000006,60.0,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-08201,Yb2Si2O7,11,92.0,31.0,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-08271,Y2Mo2O7,22,177.00000000000009,64.99999999999999,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-08358,Gd2Ru2O7,22,167.0,81.0,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-08838,Co2As2O7,11,111.00000000000004,38.99999999999999,test,pyrochlore-like (A2B2O7),,,,,
matbench,mb-08881,Zn2As2O7,11,103.99999999999996,26.0,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-09038,V2Zn2O7,11,111.00000000000004,22.0,val,pyrochlore-like (A2B2O7),,,,,
matbench,mb-09041,Ni2As2O7,11,115.00000000000004,45.00000000000001,test,pyrochlore-like (A2B2O7),,,,,
matbench,mb-09098,V2Zn2O7,11,111.00000000000004,22.0,test,pyrochlore-like (A2B2O7),,,,,
matbench,mb-09101,Sc2V2O7,11,138.99999999999997,50.99999999999999,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-09262,Sm2Zr2O7,22,161.99999999999994,86.99999999999999,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-09361,Ce2Y2O7,44,144.00000000000003,63.0,test,pyrochlore-like (A2B2O7),,,,,
matbench,mb-09708,Nb2Pb2O7,22,144.99999999999997,77.0,test,pyrochlore-like (A2B2O7),,,,,
matbench,mb-09975,Tb2Bi2O7,22,132.00000000000006,23.999999999999996,val,pyrochlore-like (A2B2O7),,,,,
matbench,mb-10293,Y2Zr2O7,22,132.00000000000006,85.99999999999999,train,pyrochlore-like (A2B2O7),,,,,
matbench,mb-10325,Y2V2O7,11,124.99999999999994,37.99999999999999,test,pyrochlore-like (A2B2O7),,,,,
matbench,mb-10858,In2Si2O7,22,228.00000000000009,93.99999999999996,test,pyrochlore-like (A2B2O7),,,,,
aflow,,Bi4O14Ru4,22,171.556,71.6833,train,pyrochlore-like (A2B2O7),ag-fb5e653ad146,1.43411,6.47422,8.40279,2.89350324076892e-28
aflow,,Gd4O14Zr4,22,176.817,68.4787,train,pyrochlore-like (A2B2O7),ag-f1287d45c31c,1.96407,3.66031,6.88743,2.936291096283685e-28
aflow,,Er4O14Ti4,22,187.311,103.383,train,pyrochlore-like (A2B2O7),ag-741f2418db81,1.97424,6.62512,6.84679,2.630206726591303e-28
aflow,,Gd4O14Ti4,22,179.628,98.4684,train,pyrochlore-like (A2B2O7),ag-4ce95fbe3fce,1.97634,6.45483,6.3214,2.7436421825630555e-28
aflow,,Hf4O14Y4,22,169.083,95.3711,train,pyrochlore-like (A2B2O7),ag-868f500a39cc,1.98906,6.43897,7.36826,2.915249764635198e-28
aflow,,Gd4O14Zr4,22,160.117,85.9873,train,pyrochlore-like (A2B2O7),ag-f3e28f6e1c84,1.99572,5.79357,6.64662,3.0426742291987716e-28
aflow,,O14Y4Zr4,22,160.711,86.5563,test,pyrochlore-like (A2B2O7),ag-574859fb725b,2.00198,6.58133,5.25984,2.9818348359140823e-28
aflow,,Ca4O14Ta4,22,148.233,97.7883,train,pyrochlore-like (A2B2O7),ag-54ff4abcf9aa,2.01917,8.30922,6.24837,2.944824388230554e-28
aflow,,Hf4La4O14,22,164.978,89.6564,test,pyrochlore-like (A2B2O7),ag-76fb1c0b95c6,2.0226,5.26227,7.73588,3.206018077294004e-28
aflow,,La4O14Ti4,22,169.15,87.087,train,pyrochlore-like (A2B2O7),ag-5419805aeec1,2.0271,5.5638,5.40576,2.982963976187893e-28
aflow,,O14V4Y4,22,190.011,95.2391,train,pyrochlore-like (A2B2O7),ag-de4894bbdb49,2.03061,6.22808,5.014,2.594405174575538e-28
