source,mb_id,formula,n_sites,K_VRH,G_VRH,split,family,gid,gamma,kappa_agl,density_g_cm3,volume_m3
matbench,mb-00683,CdO,2,126.0,45.00000000000001,train,rock-salt-like (AO),,,,,
matbench,mb-00716,BeO,4,208.0,156.0,test,rock-salt-like (AO),,,,,
matbench,mb-01065,ZnO,4,130.00000000000006,40.99999999999999,test,rock-salt-like (AO),,,,,
matbench,mb-01435,NbO,6,243.0,140.00000000000006,test,rock-salt-like (AO),,,,,
matbench,mb-02292,SnO,4,32.00000000000001,20.000000000000004,train,rock-salt-like (AO),,,,,
matbench,mb-02748,HgO,8,23.999999999999996,10.0,train,rock-salt-like (AO),,,,,
matbench,mb-03202,CoO,4,128.99999999999994,31.0,train,rock-salt-like (AO),,,,,
matbench,mb-03334,MgO,2,150.99999999999994,118.99999999999996,train,rock-salt-like (AO),,,,,
matbench,mb-03419,PdO,4,158.99999999999994,34.0,test,rock-salt-like (AO),,,,,
matbench,mb-03492,AgO,4,112.99999999999994,10.0,val,rock-salt-like (AO),,,,,
matbench,mb-03517,CuO,4,143.00000000000003,25.000000000000007,test,rock-salt-like (AO),,,,,
matbench,mb-05165,NiO,4,204.0,68.99999999999999,train,rock-salt-like (AO),,,,,
matbench,mb-05397,CeO,2,126.0,84.99999999999999,train,rock-salt-like (AO),,,,,
matbench,mb-05693,YbO,2,128.0,89.0,val,rock-salt-like (AO),,,,,
matbench,mb-05722,CaO,2,105.00000000000004,74.00000000000001,train,rock-salt-like (AO),,,,,
matbench,mb-06024,BaO,2,68.00000000000001,37.99999999999999,test,rock-salt-like (AO),,,,,
matbench,mb-06026,SrO,2,86.99999999999999,56.00000000000001,train,rock-salt-like (AO),,,,,
matbench,mb-06268,MnO,4,143.00000000000003,64.99999999999999,val,rock-salt-like (AO),,,,,
matbench,mb-06839,SnO,8,34.0,21.0,train,rock-salt-like (AO),,,,,
matbench,mb-06890,CuO,4,146.00000000000003,25.000000000000007,train,rock-salt-like (AO),,,,,
matbench,mb-07508,CoO,4,130.00000000000006,33.0,train,rock-salt-like (AO),,,,,
