source,mb_id,formula,n_sites,K_VRH,G_VRH,split,family,gid,gamma,kappa_agl,density_g_cm3,volume_m3
matbench,mb-00044,LuAsO4,12,135.99999999999997,63.0,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-00556,HfGeO4,12,231.00000000000009,91.0,test,scheelite/zircon-like (ABO4),,,,,
matbench,mb-00674,ZrGeO4,12,202.00000000000009,84.99999999999999,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-00745,NaReO4,12,25.000000000000007,10.0,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-00797,ThSiO4,12,170.00000000000006,63.0,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-00805,DyAsO4,12,127.0,55.00000000000001,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-00852,TaFeO4,12,168.0,61.000000000000014,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-00956,TaVO4,12,209.0000000000001,98.0,test,scheelite/zircon-like (ABO4),,,,,
matbench,mb-01057,KTcO4,12,4.0,10.0,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-01183,ErTaO4,12,134.00000000000003,67.0,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-01340,ReBiO4,12,135.0,66.00000000000001,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-01691,NbAlO4,12,171.99999999999991,74.00000000000001,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-01810,ErNbO4,12,146.99999999999997,58.00000000000001,test,scheelite/zircon-like (ABO4),,,,,
matbench,mb-01812,YTaO4,12,181.99999999999997,66.00000000000001,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-01978,AlSbO4,6,197.99999999999991,118.99999999999996,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-02023,AlAsO4,6,23.999999999999996,19.0,val,scheelite/zircon-like (ABO4),,,,,
matbench,mb-02029,FeSbO4,6,178.00000000000003,93.0,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-02142,UCdO4,6,109.00000000000004,40.99999999999999,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-02154,ScAsO4,12,140.99999999999991,67.0,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-02272,ScNbO4,12,167.0,61.000000000000014,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-02324,PbWO4,24,68.99999999999999,23.0,val,scheelite/zircon-like (ABO4),,,,,
matbench,mb-02407,ScTaO4,12,177.00000000000009,72.00000000000001,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-02408,NdTaO4,12,146.00000000000003,66.00000000000001,val,scheelite/zircon-like (ABO4),,,,,
matbench,mb-02639,VSbO4,12,185.0,101.0,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-02766,LuTaO4,12,132.00000000000006,57.00000000000001,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-02784,MgWO4,12,135.99999999999997,70.00000000000001,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-02868,MgCrO4,12,63.99999999999999,40.99999999999999,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-02876,YVO4,12,124.99999999999994,47.00000000000001,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-02886,CrPbO4,24,33.0,17.999999999999996,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-03068,ScVO4,12,148.00000000000003,30.0,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-03076,NiWO4,12,152.00000000000003,73.0,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-03078,VInO4,12,76.0,38.99999999999999,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-03084,CaMoO4,12,75.00000000000001,33.0,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-03102,MnWO4,12,127.0,55.00000000000001,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-03106,FeWO4,12,140.99999999999991,54.000000000000014,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-04210,SmTaO4,12,148.00000000000003,68.00000000000001,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-04598,MoPbO4,12,64.99999999999999,23.0,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-04630,YbTaO4,12,59.00000000000001,37.0,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-04780,ZrSiO4,12,203.00000000000003,96.0,test,scheelite/zircon-like (ABO4),,,,,
matbench,mb-04821,GdTaO4,12,140.00000000000006,64.99999999999999,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-05241,SrWO4,12,63.0,29.0,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-05310,CdWO4,12,118.00000000000004,40.99999999999999,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-05323,BaWO4,12,56.00000000000001,23.999999999999996,train,scheelite/zircon-like (ABO4),,,,,
matbench,mb-05326,YNbO4,12,132.00000000000006,50.99999999999999,train,scheelite/zircon-like (ABO4),,,,,
