source,mb_id,formula,n_sites,K_VRH,G_VRH,split,family,gid,gamma,kappa_agl,density_g_cm3,volume_m3
matbench,mb-00143,Ba2ZrO4,7,106.00000000000004,56.00000000000001,train,spinel-like (AB2O4),,,,,
matbench,mb-00596,Mg2SiO4,28,118.99999999999996,74.00000000000001,train,spinel-like (AB2O4),,,,,
matbench,mb-00740,Zn(RhO2)2,14,174.00000000000009,58.00000000000001,train,spinel-like (AB2O4),,,,,
matbench,mb-00769,LiTi2O4,14,132.00000000000006,64.99999999999999,test,spinel-like (AB2O4),,,,,
matbench,mb-00786,K2UO4,7,61.000000000000014,30.0,train,spinel-like (AB2O4),,,,,
matbench,mb-00806,Zn(GaO2)2,14,168.99999999999997,77.99999999999999,test,spinel-like (AB2O4),,,,,
matbench,mb-00836,Cs2WO4,14,21.0,7.0,train,spinel-like (AB2O4),,,,,
matbench,mb-00879,SrSc2O4,28,140.00000000000006,81.0,train,spinel-like (AB2O4),,,,,
matbench,mb-00880,Cs2NpO4,7,45.00000000000001,31.0,train,spinel-like (AB2O4),,,,,
matbench,mb-00888,Cs2PuO4,7,31.0,20.000000000000004,val,spinel-like (AB2O4),,,,,
matbench,mb-00890,Eu2TiO4,7,122.00000000000004,70.00000000000001,train,spinel-like (AB2O4),,,,,
matbench,mb-00897,K2PuO4,7,72.00000000000001,26.0,train,spinel-like (AB2O4),,,,,
matbench,mb-00962,Ga2FeO4,14,173.00000000000003,74.00000000000001,train,spinel-like (AB2O4),,,,,
matbench,mb-01024,Mn(AsO2)2,28,47.99999999999999,19.0,train,spinel-like (AB2O4),,,,,
matbench,mb-01086,Sr2IrO4,28,128.99999999999994,47.00000000000001,train,spinel-like (AB2O4),,,,,
matbench,mb-01119,Cs2UO4,7,36.0,20.000000000000004,train,spinel-like (AB2O4),,,,,
matbench,mb-01156,Ba2PbO4,7,84.99999999999999,44.0,train,spinel-like (AB2O4),,,,,
matbench,mb-01162,Gd(PdO2)2,14,152.00000000000003,52.99999999999999,train,spinel-like (AB2O4),,,,,
matbench,mb-01211,Cs2RuO4,28,17.999999999999996,7.0,train,spinel-like (AB2O4),,,,,
matbench,mb-01249,Mg(SbO2)2,28,48.99999999999999,19.0,val,spinel-like (AB2O4),,,,,
matbench,mb-01337,Cu(BiO2)2,28,58.00000000000001,27.000000000000004,train,spinel-like (AB2O4),,,,,
matbench,mb-01580,Mn2SnO4,14,128.0,47.99999999999999,train,spinel-like (AB2O4),,,,,
matbench,mb-01614,Al2NiO4,14,203.00000000000003,109.00000000000004,train,spinel-like (AB2O4),,,,,
matbench,mb-01624,Bi2PdO4,28,52.00000000000001,17.0,train,spinel-like (AB2O4),,,,,
matbench,mb-01630,NaTi2O4,28,144.00000000000003,77.0,train,spinel-like (AB2O4),,,,,
matbench,mb-01638,Sn(PbO2)2,28,46.0,17.0,val,spinel-like (AB2O4),,,,,
matbench,mb-01701,Cd2GeO4,28,100.0,34.0,train,spinel-like (AB2O4),,,,,
