source,mb_id,formula,n_sites,K_VRH,G_VRH,split,family,gid,gamma,kappa_agl,density_g_cm3,volume_m3
matbench,mb-00048,Li2PdO3,12,105.00000000000004,57.00000000000001,train,ternary oxide (other ratio),,,,,
matbench,mb-00059,Na5ReO6,12,64.99999999999999,36.0,train,ternary oxide (other ratio),,,,,
matbench,mb-00061,Na2GeO3,12,52.99999999999999,28.0,train,ternary oxide (other ratio),,,,,
matbench,mb-00065,Cd(PtO2)3,10,192.00000000000003,70.00000000000001,train,ternary oxide (other ratio),,,,,
matbench,mb-00067,K2ZnO2,10,42.99999999999999,11.000000000000002,train,ternary oxide (other ratio),,,,,
matbench,mb-00083,Zn(PtO2)3,10,193.00000000000009,64.99999999999999,train,ternary oxide (other ratio),,,,,
matbench,mb-00108,Li4TiO4,18,79.99999999999999,42.99999999999999,train,ternary oxide (other ratio),,,,,
matbench,mb-00206,K3AuO,5,19.0,12.000000000000002,test,ternary oxide (other ratio),,,,,
matbench,mb-00224,Ba4As2O,7,37.0,22.0,test,ternary oxide (other ratio),,,,,
matbench,mb-00229,Ba(CuO)2,10,58.00000000000001,22.0,train,ternary oxide (other ratio),,,,,
matbench,mb-00242,RbCuO,12,26.0,11.000000000000002,train,ternary oxide (other ratio),,,,,
matbench,mb-00259,Sr4Cu2O7,26,95.0,52.99999999999999,train,ternary oxide (other ratio),,,,,
matbench,mb-00279,Cs2HgO2,5,20.000000000000004,9.0,train,ternary oxide (other ratio),,,,,
matbench,mb-00289,Ba2CuO3,6,81.0,38.99999999999999,train,ternary oxide (other ratio),,,,,
matbench,mb-00290,Ca4As2O,7,52.99999999999999,39.99999999999999,train,ternary oxide (other ratio),,,,,
matbench,mb-00299,Ca3CdO4,8,102.99999999999996,62.0,val,ternary oxide (other ratio),,,,,
matbench,mb-00302,Na3VO4,16,45.00000000000001,17.0,test,ternary oxide (other ratio),,,,,
matbench,mb-00308,Yb4As2O,7,63.0,45.00000000000001,train,ternary oxide (other ratio),,,,,
matbench,mb-00313,CsAuO,12,22.0,9.0,train,ternary oxide (other ratio),,,,,
matbench,mb-00332,Na2Pd3O4,9,93.0,35.0,train,ternary oxide (other ratio),,,,,
matbench,mb-00443,RbAgO,12,23.999999999999996,10.0,train,ternary oxide (other ratio),,,,,
matbench,mb-00514,Na2ZrO3,24,82.0,50.99999999999999,val,ternary oxide (other ratio),,,,,
matbench,mb-00565,Ca2Sn3O8,13,107.0,45.00000000000001,train,ternary oxide (other ratio),,,,,
matbench,mb-00595,Li2TiO3,24,109.99999999999996,73.0,train,ternary oxide (other ratio),,,,,
matbench,mb-00623,Rb2Bi2O5,9,59.00000000000001,35.0,train,ternary oxide (other ratio),,,,,
matbench,mb-00651,La2SiO5,32,98.0,42.99999999999999,train,ternary oxide (other ratio),,,,,
matbench,mb-00663,Sr4Sb2O,7,37.0,28.0,test,ternary oxide (other ratio),,,,,
matbench,mb-00704,Li2HfO3,12,106.00000000000004,68.00000000000001,train,ternary oxide (other ratio),,,,,
matbench,mb-00708,Ca(HO)2,5,20.000000000000004,23.0,train,ternary oxide (other ratio),,,,,
matbench,mb-00798,Li4Ti5O12,42,108.00000000000004,60.0,train,ternary oxide (other ratio),,,,,
matbench,mb-00843,RbHO,6,21.0,10.0,train,ternary oxide (other ratio),,,,,
matbench,mb-00939,Li2SiO3,12,76.0,50.99999999999999,val,ternary oxide (other ratio),,,,,
matbench,mb-00955,Cd(HO)2,10,57.00000000000001,20.000000000000004,val,ternary oxide (other ratio),,,,,
matbench,mb-01006,Yb4Sb2O,7,54.000000000000014,36.0,train,ternary oxide (other ratio),,,,,
matbench,mb-01021,LiV2O5,32,74.00000000000001,36.0,test,ternary oxide (other ratio),,,,,
matbench,mb-01048,Na5BiO5,11,54.000000000000014,37.0,val,ternary oxide (other ratio),,,,,
matbench,mb-01055,LiAl5O8,56,195.99999999999997,121.00000000000006,train,ternary oxide (other ratio),,,,,
matbench,mb-01070,Na2HgO2,5,30.0,17.999999999999996,train,ternary oxide (other ratio),,,,,
matbench,mb-01079,Li3CuO3,28,77.99999999999999,35.0,train,ternary oxide (other ratio),,,,,
matbench,mb-01123,Li8SiO6,30,81.0,58.00000000000001,train,ternary oxide (other ratio),,,,,
matbench,mb-01135,Rb3CuO2,24,23.999999999999996,9.0,train,ternary oxide (other ratio),,,,,
matbench,mb-01142,Na5OsO6,12,64.99999999999999,37.99999999999999,train,ternary oxide (other ratio),,,,,
matbench,mb-01155,Rb5Au3O2,20,17.999999999999996,10.0,train,ternary oxide (other ratio),,,,,
matbench,mb-01174,Li8CoO6,30,73.0,47.99999999999999,train,ternary oxide (other ratio),,,,,
matbench,mb-01182,Mg4Ta2O9,30,149.0,76.0,train,ternary oxide (other ratio),,,,,
matbench,mb-01196,Ge3(BiO3)4,38,50.99999999999999,40.99999999999999,val,ternary oxide (other ratio),,,,,
matbench,mb-01230,Sr4Bi2O,7,37.99999999999999,25.000000000000007,train,ternary oxide (other ratio),,,,,
matbench,mb-01253,LiAg3O2,12,74.00000000000001,19.0,train,ternary oxide (other ratio),,,,,
matbench,mb-01269,Ag2BiO3,24,100.0,21.0,train,ternary oxide (other ratio),,,,,
matbench,mb-01315,Ba3In2O6,11,86.99999999999999,37.99999999999999,train,ternary oxide (other ratio),,,,,
matbench,mb-01320,Ce2SbO2,5,78.99999999999999,35.0,train,ternary oxide (other ratio),,,,,
matbench,mb-01366,Na2SiO3,12,62.0,35.0,train,ternary oxide (other ratio),,,,,
matbench,mb-01368,Na3AgO2,12,49.99999999999999,28.0,train,ternary oxide (other ratio),,,,,
matbench,mb-01393,BaSi2O5,32,56.00000000000001,33.0,train,ternary oxide (other ratio),,,,,
matbench,mb-01403,Sr(HO)2,20,39.99999999999999,22.0,val,ternary oxide (other ratio),,,,,
matbench,mb-01428,Rb3AuO,5,16.0,9.0,val,ternary oxide (other ratio),,,,,
matbench,mb-01494,As2Pb3O8,26,40.99999999999999,21.0,train,ternary oxide (other ratio),,,,,
matbench,mb-01554,BaNb4O6,11,185.0,109.00000000000004,train,ternary oxide (other ratio),,,,,
matbench,mb-01573,Na2PtO2,5,70.00000000000001,27.000000000000004,train,ternary oxide (other ratio),,,,,
matbench,mb-01574,Sr8Fe8O23,39,124.00000000000004,74.00000000000001,train,ternary oxide (other ratio),,,,,
matbench,mb-01618,Ca3SnO,5,42.99999999999999,33.0,train,ternary oxide (other ratio),,,,,
matbench,mb-01669,Mn(ReO4)2,11,13.999999999999998,10.0,train,ternary oxide (other ratio),,,,,
matbench,mb-01682,Li5SbO5,11,97.0,64.99999999999999,test,ternary oxide (other ratio),,,,,
matbench,mb-01698,Cu2PbO2,10,50.99999999999999,17.0,train,ternary oxide (other ratio),,,,,
matbench,mb-01740,Sr3(FeO3)2,11,109.00000000000004,55.00000000000001,train,ternary oxide (other ratio),,,,,
matbench,mb-01767,Li2Si2O5,18,78.99999999999999,49.99999999999999,val,ternary oxide (other ratio),,,,,
matbench,mb-01768,K3CoO2,24,27.000000000000004,9.0,train,ternary oxide (other ratio),,,,,
matbench,mb-01772,Rb3CoO2,24,23.0,7.999999999999999,val,ternary oxide (other ratio),,,,,
matbench,mb-01775,Na3CoO3,14,50.99999999999999,25.000000000000007,train,ternary oxide (other ratio),,,,,
matbench,mb-01869,Tl3VO4,8,16.0,7.999999999999999,train,ternary oxide (other ratio),,,,,
matbench,mb-01891,Na2FeO3,12,52.99999999999999,36.0,train,ternary oxide (other ratio),,,,,
matbench,mb-01901,Bi2AuO5,32,121.00000000000006,49.99999999999999,train,ternary oxide (other ratio),,,,,
matbench,mb-01906,Ba3Zr2O7,12,118.99999999999996,66.00000000000001,test,ternary oxide (other ratio),,,,,
matbench,mb-01916,Li5TaO5,11,93.0,68.00000000000001,train,ternary oxide (other ratio),,,,,
matbench,mb-01935,Ti3PdO,10,167.0,42.00000000000001,train,ternary oxide (other ratio),,,,,
matbench,mb-01939,Li2FeO2,5,83.99999999999999,46.0,val,ternary oxide (other ratio),,,,,
matbench,mb-01954,LiHO,6,13.999999999999998,7.999999999999999,train,ternary oxide (other ratio),,,,,
