material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_r9_pred,G_r9_pred,gamma_r9_pred,K_r9_spread_log10,G_r9_spread_log10,Kappa_r9_gamma,Kappa_r9_p05,Kappa_r9_p50,Kappa_r9_p95,Kappa_cal_derived_matbench,id_unverifiable,has_oxygen,stoichiometry_pattern,family
d21a5586b6,Pr2RuO6,36,527.5544828885055,6.029343304121907,1915.5268,146.14253392389085,60.90678894831531,2.1275353241952675,0.0534447048227422,0.065520358652535,1.931252630510532,1.3652560616652636,1.9248367912592472,2.8006784262644246,1.612642763670697,False,True,"ternary oxide (A-B-O, other ratio)",trirutile-like (AB2O6)
e71393f28d,La2IrO6,36,544.8856144566215,6.899837364706082,2264.09736,144.28394667215744,65.13514661296264,2.141715263705438,0.0863297494119234,0.0938158985193898,1.986537613380904,1.2113745773567848,2.003133834804753,3.3792707311281105,1.4417617477347462,False,True,"ternary oxide (A-B-O, other ratio)",trirutile-like (AB2O6)
77b14c7fa9,Dy2IrO6,36,480.0872770475569,8.483997447692404,2452.8536,178.71218369961082,88.94566231439208,2.1174473129394946,0.0556949625636377,0.0461877142742278,2.8018967412779965,2.3133397428699536,2.806788231431196,3.394485555665349,2.348203694525224,False,True,"ternary oxide (A-B-O, other ratio)",trirutile-like (AB2O6)
e508014042,Er2IrO6,36,469.2745396354769,8.81419921009559,2490.9256,183.22044114848103,92.87327901770176,2.10755547495986,0.051407659602161,0.036181128626071,2.9384973734272872,2.563485263369893,2.9339993582589687,3.412575120902933,2.776458713806839,False,True,"ternary oxide (A-B-O, other ratio)",trirutile-like (AB2O6)
c7e03df6fe,Bi2PdO6,27,381.6484804198758,8.097717907330727,1861.1316,161.97524870155095,77.74225734545817,2.099741179162939,0.0588431242799663,0.044529845203788,2.9486847243301364,2.4115972994761705,2.950853667021122,3.5784446872151348,1.545049032690616,False,True,"ternary oxide (A-B-O, other ratio)",trirutile-like (AB2O6)
d5f5ca0496,Y2IrO6,36,484.446063807096,6.389589623793448,1864.1004,178.23908642179236,87.7619385438448,2.117628151336888,0.0554402090387475,0.0494507132678524,3.1741270704427453,2.564593435910621,3.1904221004784143,3.970463809127224,2.826287111649313,False,True,"ternary oxide (A-B-O, other ratio)",trirutile-like (AB2O6)
3155d04f38,Sm2CrO6,18,240.4121902239401,6.198559534512059,897.4250000000001,143.70115618521413,64.92131492247618,2.061072542470652,0.0553483488742622,0.035275180207993,3.4417242787761384,2.867159866854069,3.450689248963749,4.14905933835556,3.84810176950244,False,True,"ternary oxide (A-B-O, other ratio)",trirutile-like (AB2O6)
0033d0c8ce,K(WO3)2,18,290.07993370916824,5.756186038373636,1005.5494,142.53430053863775,71.8517787894748,2.1452456291281234,0.0726910251867887,0.0409956603645775,4.060137016515977,3.234655575223713,4.078396349679331,5.120238658815784,6.224532237319515,False,True,"ternary oxide (A-B-O, other ratio)",trirutile-like (AB2O6)
408c1aff84,Dy2CrO6,18,226.7468258878843,6.927748800721891,945.985,150.59519528105767,71.9255724623119,2.050960600603045,0.0712011473589757,0.0715947101278552,3.756125765114,2.621552815059299,3.784518552482659,5.40990986268125,4.176008135180105,False,True,"ternary oxide (A-B-O, other ratio)",trirutile-like (AB2O6)
372f011292,Ti2BiO6,18,230.75753890357785,5.767056988904915,801.4216,162.89227638221524,69.18056412065992,2.07200968757675,0.04780978552968,0.087310750090175,3.834960810748553,2.629494665251184,3.858910892670079,5.669089316114581,2.689984583006509,False,True,"ternary oxide (A-B-O, other ratio)",trirutile-like (AB2O6)
dcd9cb1f7d,Co2AsO6,18,211.8282204961293,4.527609786515603,577.56878,170.27644752136283,82.63516940722631,2.0942635274221657,0.0540305271661678,0.0593009190628543,5.355233179282695,3.856513907592295,5.349789727813546,7.351701965360515,4.137282157322883,False,True,"ternary oxide (A-B-O, other ratio)",trirutile-like (AB2O6)
7d97bbb79c,V2PtO6,18,191.4522603050318,6.816645333055775,785.9268,196.0903826940164,107.63099639101684,2.100134029331357,0.044088210551423,0.0333194485521662,6.217848254365264,4.865997767938918,6.230386656400281,8.070678859606968,8.625926596637475,False,True,"ternary oxide (A-B-O, other ratio)",trirutile-like (AB2O6)
a4f396c0d1,CeMn2O6,9,106.61410063869192,5.3888500826796975,345.98849,163.66320109313642,79.98591320196525,2.116716712870893,0.0169542855808724,0.0210027924376289,7.270418557065013,6.553414779485791,7.281956345558871,8.08023904724919,6.53804252344722,False,True,"ternary oxide (A-B-O, other ratio)",trirutile-like (AB2O6)
