source,mb_id,formula,n_sites,K_VRH,G_VRH,split,family,gid,gamma,kappa_agl,density_g_cm3,volume_m3
matbench,mb-00238,Ba(SbO3)2,9,75.00000000000001,42.00000000000001,train,trirutile-like (AB2O6),,,,,
matbench,mb-00239,Ca(SbO3)2,9,105.00000000000004,48.99999999999999,train,trirutile-like (AB2O6),,,,,
matbench,mb-00499,ThTi2O6,9,156.99999999999994,63.0,train,trirutile-like (AB2O6),,,,,
matbench,mb-01877,MnV2O6,18,48.99999999999999,25.000000000000007,train,trirutile-like (AB2O6),,,,,
matbench,mb-02307,Nb2CoO6,36,143.00000000000003,62.0,val,trirutile-like (AB2O6),,,,,
matbench,mb-02359,V2CdO6,9,46.0,27.000000000000004,val,trirutile-like (AB2O6),,,,,
matbench,mb-02441,Hg(SbO3)2,9,131.00000000000006,34.0,train,trirutile-like (AB2O6),,,,,
matbench,mb-02566,Cs(OsO3)2,18,133.0,83.00000000000001,train,trirutile-like (AB2O6),,,,,
matbench,mb-02690,Lu2WO6,36,165.99999999999997,79.99999999999999,train,trirutile-like (AB2O6),,,,,
matbench,mb-03090,Nd2WO6,36,124.99999999999994,52.99999999999999,train,trirutile-like (AB2O6),,,,,
matbench,mb-03097,Ni(AsO3)2,9,148.00000000000003,81.0,val,trirutile-like (AB2O6),,,,,
matbench,mb-04531,Co(AsO3)2,9,143.00000000000003,73.0,val,trirutile-like (AB2O6),,,,,
matbench,mb-04594,BaNb2O6,18,88.00000000000001,35.0,train,trirutile-like (AB2O6),,,,,
matbench,mb-06608,Cd(SbO3)2,9,114.00000000000004,48.99999999999999,train,trirutile-like (AB2O6),,,,,
matbench,mb-06730,Bi2WO6,36,67.0,48.99999999999999,train,trirutile-like (AB2O6),,,,,
matbench,mb-07324,U(SbO3)2,9,25.000000000000007,25.000000000000007,train,trirutile-like (AB2O6),,,,,
matbench,mb-08060,Na(WO3)2,9,179.99999999999997,102.99999999999996,train,trirutile-like (AB2O6),,,,,
matbench,mb-08235,As2PdO6,9,141.99999999999994,72.00000000000001,train,trirutile-like (AB2O6),,,,,
matbench,mb-08248,MnV2O6,9,42.99999999999999,27.000000000000004,train,trirutile-like (AB2O6),,,,,
matbench,mb-08284,UTi2O6,9,150.99999999999994,58.00000000000001,val,trirutile-like (AB2O6),,,,,
matbench,mb-08302,V2CdO6,9,84.99999999999999,42.00000000000001,train,trirutile-like (AB2O6),,,,,
matbench,mb-08494,V2CuO6,9,46.0,28.0,train,trirutile-like (AB2O6),,,,,
