run,mae_log_K,mae_log_G,mae_log_ratio,residual_corr,kappa_mae_total
BASELINE 1 model each,0.0696,0.0836,0.0993,0.263,0.2065
BASELINE 3-model ens.,0.063,0.0781,0.0887,0.297,0.1897
r7_mb_a00_ens,0.06939976084911004,0.08361321559761327,0.08105755075093043,0.4572866490970619,0.1867823007132664
r7_af_a00_ens,0.07227002306290453,0.08430016200829288,0.08191469073058252,0.4751768218301684,0.18741575458242307
r7_mb_a04_ens,0.07350870230784788,0.08812767188027913,0.08488431453116908,0.4285143782944128,0.19652997718648368
r7_af_a04_ens,0.07345320385699838,0.09047124867819578,0.08412227397572816,0.44492702601407824,0.20053835059829533
r7_mb_a00_s2,0.07644370198249817,0.09179209172725677,0.08598987758159637,0.5014160520351484,0.20155397057533264
r7_af_a00_s42,0.08280784636735916,0.09426046907901764,0.08708072453737259,0.5257094006254316,0.20172622799873352
r7_mb_a00_s42,0.08273567259311676,0.09498242288827896,0.08634306490421295,0.5049737669510677,0.20497502386569977
r7_af_a00_s1,0.08195284754037857,0.09320948272943497,0.08920767903327942,0.48163675226778674,0.20723798871040344
r7_mb_a00_s1,0.07727079838514328,0.09304435551166534,0.08953603357076645,0.45864813793628484,0.207462340593338
r7_af_a00_s2,0.0822862982749939,0.09564079344272614,0.0898171216249466,0.5125732600807232,0.20764508843421936
r7_mb_a04_s2,0.08069286495447159,0.09560644626617432,0.09011209011077881,0.44840131587758564,0.2098812311887741
r7_mb_a04_s42,0.08639651536941528,0.09926873445510864,0.0930744856595993,0.4942216416753233,0.21700148284435272
r7_mb_a04_s1,0.08542466163635254,0.1004229262471199,0.0931936502456665,0.46264445147669486,0.2177809327840805
r7_af_a04_s2,0.08135372400283813,0.09946857392787933,0.09087689220905304,0.46730572399111897,0.2191806137561798
r7_af_a04_s42,0.0860530212521553,0.10388527065515518,0.09040988981723785,0.49247045082254987,0.22153238952159882
r7_af_a04_s1,0.08773913234472275,0.10291816294193268,0.09165873378515244,0.5099111264002709,0.22234521806240082
