material_id,formula,provenance,Number of Atoms_ours,Volume (A3)_ours,Density (g cm-3)_ours,Atomic mass (amu)_ours,K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio_ours,Gruneisen parameter_ours,Kappa_Slack (W m-1 K-1)_ours,Kappa_cal (W m-1 K-1)_ours,Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,Bulk modulus (GPa),Shear modulus (GPa),Number of Atoms_ref,Volume (A3)_ref,Density (g cm-3)_ref,Atomic mass (amu)_ref,Sound velocity longitudinal (m s-1),Sound velocity transverse (m s-1),Speed of sound (m s-1),Acoustic Debye Temperature (K),Poisson ratio_ref,Gruneisen parameter_ref,Kappa_Slack (W m-1 K-1)_ref,Kappa_cal (W m-1 K-1)_ref
mp-30140,BeI2,unseen,48,1707.24962,4.09008,4205.13795,4.6409,1.4701,0.1584,0.0667,0.35674,2.18882,0.01034,0.00922,0.00377,0.00938,0.02348,3.6781898,1.669427,48,1707.2496243340556,4.0900848709912605,4205.137952,1201.4630726665157,638.8774530227943,713.8733616501536,17.78274134128358,0.3028856189340801,1.7907552180835768,0.0189681827647454,0.0165022578425558
mp-570005,SbBr3,unseen,16,580.08195,4.13899,1445.888,4.9359,1.5501,0.1279,0.0554,0.35786,2.19853,0.02308,0.02059,0.00959,0.02095,0.04407,2.812862,1.8259461,16,580.0819480218846,4.138990226243035,1445.888,1125.9710519488235,664.1967946820188,735.9536429862118,26.272247062708303,0.2331666649826786,1.4223375550083963,0.0728318863373988,0.0563049975185226
mp-29264,SICl7,unseen,36,1054.79951,2.5638,1628.56188,3.1228,1.4858,0.1133,0.08,0.29467,1.74016,0.02424,0.02088,0.00826,0.02107,0.0497,2.8229203,1.0954399,36,1054.7995096395034,2.563795871329182,1628.5618800000002,1292.5817267050263,653.6609758953108,732.7890457585955,21.432140080083915,0.3281968470478222,1.9620609727383125,0.0119642035353856,0.0106354240434705
mp-557635,Sb2TeSeF10,unseen,112,2276.65235,3.73479,5120.51226,13.023,4.383,0.0687,0.0923,0.3487,2.12078,0.02805,0.02506,0.00922,0.02425,0.0655,16.225792,4.9855266,112,2276.652345135975,3.7347865923129553,5120.512256,2474.743549543616,1155.3740838909075,1300.8742878035555,29.44057589685277,0.3606432144257701,2.223102844671353,0.030866077144084,0.0274931634313544
mp-977242,Hg3Sb,unseen,8,210.08081,11.43798,1447.06,27.5884,3.9955,0.1361,0.0919,0.43092,3.0349,0.04212,0.03197,0.01249,0.03147,0.09108,37.273132,6.1799335,8,210.0808058659556,11.437978139728632,1447.06,1994.772181171137,735.0506593793773,834.52102103936,41.79442610716986,0.4214410744472969,2.8982315050864025,0.0890811016274894,0.0704129753728972
mp-31105,RbBi,unseen,32,1465.04354,5.33983,4711.1712,18.2055,3.9483,0.0685,0.0771,0.39887,2.61186,0.03941,0.03337,0.01558,0.03313,0.07252,23.17232,6.531831,32,1465.043541182554,5.3398302631033605,4711.1712,2443.4595561710835,1105.996459094823,1247.0658264080637,32.6900620256073,0.3711649973464107,2.32006303128593,0.1070905771491795,0.0946991343405479
mp-541654,ReSbOF9,unseen,48,776.41352,4.23428,1979.80812,7.8726,3.4018,0.0481,0.136,0.31115,1.84399,0.03924,0.03444,0.00895,0.03534,0.12297,10.749592,5.556999,48,776.413520043076,4.234275472266469,1979.8081152,2070.882710797611,1145.5936903532688,1276.3368704278892,41.34384169304301,0.2795178414290944,1.6524883430085624,0.1028767907550641,0.0867243291734214
mp-706630,B5H7,unseen,96,846.83763,0.95864,488.88464,10.2585,3.8951,0.1553,0.0307,0.33148,1.98619,0.04458,0.03969,0.0192,0.03992,0.07755,24.00262,6.9886274,96,846.837626263381,0.9586395546652312,488.88464,5895.626579795268,2700.0280257335544,3042.807954556132,95.75270197887563,0.3672986392188436,2.283641728335787,0.0802522756164398,0.0711925134601291
mp-556171,CdP2Xe5F22,unseen,120,2301.52653,3.60398,4995.15358,13.2456,5.3844,0.1545,0.0376,0.321,1.91082,0.0452,0.04,0.01872,0.04034,0.07864,14.77033,3.8253083,120,2301.526529648356,3.6039765625154994,4995.1535776,2348.097094494135,1030.2490997235368,1163.1911840355515,26.22943790704736,0.3807975943686411,2.415087409191865,0.0166689521480041,0.014582363408756
mp-648469,SbP2SN3Cl10,unseen,68,1913.87419,2.12508,2449.2905,5.5224,2.8275,0.0842,0.0514,0.28132,1.66255,0.04963,0.04195,0.02264,0.04192,0.07432,3.9944818,1.6712242,68,1913.874187885147,2.1250835532907644,2449.290496,1711.2136786003216,886.8075002678968,992.6299274644092,23.802693999194325,0.3164117870189752,1.8792197675348676,0.0174867756544141,0.0154180079136641
